Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
92,90.592,18.172,18.172,0.772,0.907,1.0012,-0.055
93,72.925,-17.667,-17.667,0.391,0.7829,0.0061,-0.055
94,82.456,9.53,9.53,0.983,0.4827,0.937,-0.055
95,95.844,13.389,13.389,-0.113,0.7009,0.0026,-0.005
96,76.86,-18.985,-18.985,-0.93,0.8345,0.0089,-0.005
97,96.024,19.165,19.165,0.949,0.9407,0.9362,-0.055
98,80.005,-16.019,-16.019,0.549,0.7133,0.0072,-0.055
99,69.196,-10.809,-10.809,0.6,0.4089,0.9424,-0.055
100,84.115,14.919,14.919,0.417,0.7569,0.9494,-0.055
101,102.174,18.058,18.058,0.801,0.8998,0.0052,-0.055
102,119.227,17.054,17.054,-0.738,0.8912,0.0092,-0.005
103,120.0,3.602,3.602,0.559,0.2503,0.9669,-0.055
104,120.0,1.399,1.399,0.831,0.11,0.9552,-0.055
105,120.0,16.309,16.309,0.165,0.8587,0.9523,-0.055
106,120.0,13.683,13.683,0.203,0.7365,0.9667,-0.055
107,115.847,-4.153,-4.153,0.59,0.2304,0.9656,-0.055
108,98.015,-17.832,-17.832,-0.408,0.713,0.9851,-0.005
109,95.466,-2.549,-2.549,0.891,0.0794,0.9456,-0.055
110,108.131,12.665,12.665,0.474,0.6503,0.9851,-0.055
111,120.0,15.489,15.489,-0.586,0.8126,0.0116,-0.005
112,120.0,12.837,12.837,0.192,0.6974,0.9664,-0.055
113,109.176,-10.824,-10.824,0.746,0.4842,0.9651,-0.055
114,120.0,18.516,18.516,0.045,0.9428,0.9612,-0.055
115,116.269,-3.731,-3.731,-0.137,0.2515,0.9672,-0.005
116,120.0,11.336,11.336,0.623,0.5851,0.9869,-0.055
117,118.553,-1.447,-1.447,0.015,0.1537,0.9643,-0.055
118,110.734,-7.819,-7.819,0.462,0.3243,0.9516,-0.055
119,120.0,10.408,10.408,-0.26,0.5668,0.9705,-0.005
120,120.0,18.985,18.985,0.046,0.9945,0.9634,-0.055
121,105.857,-14.143,-14.143,-0.561,0.654,0.9673,-0.005
122,91.226,-14.632,-14.632,0.308,0.5611,0.9544,-0.055
123,105.337,14.111,14.111,-0.497,0.7478,0.9496,-0.005
124,95.684,-9.652,-9.652,-0.943,0.4364,0.011,-0.005
125,108.281,12.597,12.597,0.371,0.6476,0.9613,-0.055
126,92.041,-16.24,-16.24,-0.081,0.7049,0.0116,-0.005
127,111.26,19.219,19.219,-0.692,1.0024,0.9462,-0.005
128,120.0,17.842,17.842,-0.773,0.93,0.0097,-0.005
129,100.935,-19.065,-19.065,0.455,0.8525,0.9673,-0.055
130,112.125,11.191,11.191,0.126,0.5913,0.945,-0.055
131,120.0,18.724,18.724,-0.87,0.9751,0.0121,-0.005
132,120.0,8.015,8.015,0.196,0.4701,0.9673,-0.055
133,120.0,15.498,15.498,-0.765,0.8484,0.9614,-0.005
134,120.0,3.691,3.691,-0.852,0.2871,0.9664,-0.005
135,120.0,15.344,15.344,-0.435,0.831,0.9553,-0.005
136,120.0,13.778,13.778,-0.586,0.7607,0.9663,-0.005
137,120.0,17.803,17.803,-0.712,0.9591,0.9656,-0.005
138,102.246,-17.754,-17.754,0.794,0.7941,0.9673,-0.055
