Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,75.638,18.477,18.477,0.521,0.9178,0.9347,-0.055
2,58.173,-17.465,-17.465,0.175,0.7839,0.0028,-0.055
3,74.238,16.065,16.065,0.659,0.7885,0.9473,-0.055
4,64.678,-9.561,-9.561,0.42,0.4434,0.0026,-0.055
5,81.056,16.378,16.378,0.699,0.8188,0.9503,-0.055
6,99.991,18.935,18.935,0.929,0.9386,0.004,-0.055
7,117.438,17.447,17.447,-0.447,0.9038,0.0082,-0.005
8,99.626,-17.812,-17.812,0.248,0.7997,0.9667,-0.055
9,97.59,-2.036,-2.036,-0.671,0.0418,0.9462,-0.005
10,110.712,13.122,13.122,0.505,0.6706,0.9876,-0.055
11,108.262,-2.45,-2.45,0.471,0.1482,0.0117,-0.055
12,107.983,-0.278,-0.278,0.934,0.0794,0.9897,-0.055
13,97.466,-10.517,-10.517,0.024,0.4168,0.997,-0.055
14,92.935,-4.532,-4.532,0.087,0.1415,0.9595,-0.055
15,73.63,-19.304,-19.304,0.287,0.7905,0.9765,-0.055
16,79.975,6.344,6.344,0.368,0.3581,0.9342,-0.055
17,67.062,-12.913,-12.913,-0.631,0.5513,0.9999,-0.005
18,54.962,-12.099,-12.099,-0.143,0.4612,0.9438,-0.005
19,63.06,8.097,8.097,0.215,0.4109,0.938,-0.055
20,77.265,14.205,14.205,0.812,0.7158,0.9949,-0.055
21,91.657,14.392,14.392,0.029,0.7457,0.0033,-0.055
22,92.523,0.866,0.866,-0.213,0.1328,0.0075,-0.005
23,100.003,7.48,7.48,0.911,0.3992,0.9942,-0.055
24,106.312,6.309,6.309,0.612,0.3559,0.0065,-0.055
25,120.0,14.559,14.559,0.559,0.7381,0.007,-0.055
26,120.0,19.671,19.671,0.848,0.9913,0.9536,-0.055
27,120.0,15.498,15.498,-0.494,0.8239,0.9555,-0.005
28,102.124,-17.876,-17.876,-0.118,0.7629,0.954,-0.005
29,115.428,13.304,13.304,0.005,0.692,0.9544,-0.055
30,120.0,19.129,19.129,-0.691,0.9844,1.0013,-0.005
31,107.437,-12.563,-12.563,-0.32,0.5553,0.9554,-0.005
32,96.138,-11.299,-11.299,0.121,0.4058,0.9561,-0.055
33,87.074,-9.064,-9.064,-0.971,0.2945,0.9519,-0.005
34,103.116,16.042,16.042,-0.833,0.8442,0.9494,-0.005
35,103.217,0.101,0.101,0.423,0.0898,0.9972,-0.055
36,99.501,-3.716,-3.716,-0.035,0.1238,0.9698,-0.005
37,94.505,-4.996,-4.996,-0.151,0.1668,0.9613,-0.005
38,77.529,-16.976,-16.976,0.553,0.6775,0.9573,-0.055
39,97.086,19.557,19.557,0.51,0.9756,0.9453,-0.055
40,116.754,19.668,19.668,0.596,0.9788,0.9934,-0.055
41,106.029,-10.725,-10.725,0.553,0.4686,1.0024,-0.055
42,97.078,-8.951,-8.951,0.478,0.3156,0.9569,-0.055
43,96.176,-0.902,-0.902,0.894,0.0708,0.9541,-0.055
44,112.123,15.947,15.947,-0.962,0.841,0.9653,-0.005
45,101.206,-10.918,-10.918,0.981,0.4684,1.0011,-0.055
46,118.895,17.69,17.69,-0.88,0.9262,0.9546,-0.005
47,120.0,11.026,11.026,-0.821,0.6224,0.9549,-0.005
48,120.0,16.273,16.273,0.576,0.8331,0.9512,-0.055
49,106.481,-13.519,-13.519,-0.705,0.5834,0.9544,-0.005
50,120.0,19.241,19.241,0.697,0.9511,0.9556,-0.055
51,120.0,14.737,14.737,-0.54,0.7887,0.9555,-0.005
52,120.0,16.686,16.686,0.744,0.8495,0.9537,-0.055
53,111.764,-8.236,-8.236,0.831,0.3691,0.9546,-0.055
54,107.664,-4.099,-4.099,0.079,0.12,0.9619,-0.055
55,98.563,-9.101,-9.101,-0.738,0.3177,0.9641,-0.005
56,109.178,10.615,10.615,0.938,0.524,0.9546,-0.055
57,106.823,-2.355,-2.355,-0.324,0.0963,0.9974,-0.005
58,120.0,19.716,19.716,-0.307,1.0076,0.9664,-0.005
59,102.491,-17.509,-17.509,0.037,0.761,0.9555,-0.055
60,118.709,16.218,16.218,0.63,0.8059,0.9545,-0.055
61,120.0,11.737,11.737,0.754,0.6135,0.9539,-0.055
62,120.0,14.335,14.335,-0.78,0.7774,0.9517,-0.005
63,101.615,-18.385,-18.385,-0.505,0.7809,0.9534,-0.005
64,104.933,3.318,3.318,-0.525,0.2444,0.9543,-0.005
65,120.0,19.613,19.613,0.668,0.9734,0.9794,-0.055
66,116.193,-3.807,-3.807,-0.655,0.2228,0.9555,-0.005
67,120.0,11.754,11.754,-0.375,0.6281,0.9686,-0.005
68,102.058,-17.942,-17.942,0.835,0.7512,0.9517,-0.055
69,120.0,18.261,18.261,0.353,0.917,0.9544,-0.055
70,111.679,-8.321,-8.321,0.586,0.3754,0.9553,-0.055
71,110.204,-1.475,-1.475,0.245,0.0626,0.9618,-0.055
72,120.0,18.955,18.955,-0.401,0.972,0.9695,-0.005
73,120.0,4.078,4.078,0.374,0.2914,0.9554,-0.055
74,120.0,1.116,1.116,-0.789,0.1292,0.9439,-0.005
75,120.0,18.631,18.631,-0.684,0.9897,0.9407,-0.005
76,111.56,-8.44,-8.44,-0.935,0.381,0.9554,-0.005
77,120.0,15.619,15.619,0.673,0.7776,0.9616,-0.055
78,100.842,-19.158,-19.158,0.97,0.8131,0.954,-0.055
79,88.61,-12.232,-12.232,-0.493,0.4153,0.9544,-0.005
80,88.286,-0.324,-0.324,0.502,0.063,0.9488,-0.055
81,79.451,-8.835,-8.835,-0.381,0.3328,0.9632,-0.005
82,95.486,16.035,16.035,0.689,0.7992,0.9465,-0.055
83,115.281,19.795,19.795,-0.408,1.0096,0.9933,-0.005
84,119.659,4.378,4.378,-0.03,0.2773,1.0017,-0.005
85,120.0,4.91,4.91,0.863,0.2905,0.944,-0.055
86,120.0,10.427,10.427,-0.818,0.5958,0.9446,-0.005
87,101.383,-18.617,-18.617,0.349,0.7778,0.9508,-0.055
88,81.928,-19.455,-19.455,-0.65,0.7288,0.9543,-0.005
89,97.831,15.903,15.903,0.621,0.7926,0.9482,-0.055
90,93.338,-4.493,-4.493,-0.408,0.1991,0.9946,-0.005
91,78.645,-14.693,-14.693,0.931,0.5832,0.9577,-0.055
92,94.473,15.828,15.828,0.342,0.8013,0.9452,-0.055
93,85.775,-8.698,-8.698,-0.465,0.38,0.9927,-0.005
94,94.891,9.116,9.116,-0.681,0.5151,0.9492,-0.005
95,99.251,4.36,4.36,-0.763,0.2858,0.9898,-0.005
96,109.209,9.958,9.958,-0.473,0.5453,0.9799,-0.005
97,120.0,19.391,19.391,-0.595,0.9962,0.9964,-0.005
98,120.0,19.185,19.185,-0.856,1.0169,0.9555,-0.005
99,104.355,-15.645,-15.645,0.545,0.679,0.9554,-0.055
100,105.54,1.185,1.185,0.38,0.0974,0.955,-0.055
101,120.0,16.929,16.929,-0.034,0.8632,0.9734,-0.005
102,108.434,-11.566,-11.566,-0.497,0.5063,0.9548,-0.005
103,93.536,-14.898,-14.898,0.906,0.5674,0.9572,-0.055
104,101.548,8.012,8.012,-0.124,0.4447,0.9507,-0.005
105,101.622,0.075,0.075,0.989,0.0786,0.9897,-0.055
106,97.108,-4.515,-4.515,0.898,0.1759,0.9692,-0.055
107,110.144,13.036,13.036,0.346,0.6666,0.959,-0.055
108,116.672,6.528,6.528,0.304,0.3704,0.9991,-0.055
109,114.627,-2.046,-2.046,0.853,0.1037,0.9924,-0.055
110,116.636,2.009,2.009,0.278,0.1398,0.9702,-0.055
111,107.061,-9.575,-9.575,0.768,0.3765,0.98,-0.055
112,114.967,7.907,7.907,0.958,0.3938,0.9584,-0.055
113,120.0,18.466,18.466,0.644,0.9172,0.9944,-0.055
114,120.0,17.712,17.712,-0.437,0.9311,0.9554,-0.005
115,114.995,-5.005,-5.005,-0.35,0.2543,0.9553,-0.005
116,117.292,2.297,2.297,-0.474,0.1755,0.9672,-0.005
117,112.313,-4.979,-4.979,0.778,0.2276,0.9409,-0.055
118,99.798,-12.515,-12.515,-0.002,0.4748,0.9657,-0.005
119,90.528,-9.27,-9.27,-0.326,0.3148,0.9532,-0.005
120,103.814,13.286,13.286,-0.824,0.7114,0.9507,-0.005
121,114.658,10.845,10.845,-0.207,0.5788,0.9963,-0.005
122,99.268,-15.391,-15.391,0.222,0.6379,0.9994,-0.055
123,98.834,-0.434,-0.434,0.147,0.0557,0.953,-0.055
124,105.434,6.601,6.601,0.451,0.3592,0.9671,-0.055
125,105.621,0.187,0.187,-0.13,0.0821,0.988,-0.005
126,116.96,11.339,11.339,0.305,0.5862,0.971,-0.055
127,116.835,-0.125,-0.125,-0.62,0.0798,1.0008,-0.005
128,120.0,7.483,7.483,0.393,0.4041,0.9752,-0.055
129,120.0,14.292,14.292,0.575,0.7387,0.9477,-0.055
130,109.811,-10.189,-10.189,0.506,0.4397,0.9534,-0.055
131,120.0,12.163,12.163,-0.283,0.6473,0.9592,-0.005
132,113.846,-6.154,-6.154,-0.133,0.277,0.9519,-0.005
133,120.0,13.26,13.26,-0.97,0.7141,0.9654,-0.005
134,118.848,-1.152,-1.152,-0.075,0.1476,0.9527,-0.005
135,115.311,-3.537,-3.537,0.189,0.1603,0.9396,-0.055
136,120.0,19.637,19.637,0.608,0.9751,0.9684,-0.055
137,102.091,-17.909,-17.909,0.067,0.7775,0.9555,-0.055
138,87.436,-14.655,-14.655,0.758,0.5386,0.9544,-0.055
139,104.858,17.422,17.422,-0.487,0.9019,0.9482,-0.005
140,91.302,-13.556,-13.556,0.466,0.5805,0.9979,-0.055
141,78.523,-12.779,-12.779,-0.479,0.4589,0.9498,-0.005
142,71.898,-6.625,-6.625,0.741,0.2247,0.9454,-0.055
143,88.696,16.798,16.798,-0.408,0.8682,0.9469,-0.005
144,103.136,14.44,14.44,0.954,0.7145,0.9893,-0.055
145,87.294,-15.842,-15.842,-0.473,0.6693,0.9969,-0.005
146,77.841,-9.453,-9.453,0.359,0.3249,0.9481,-0.055
147,70.275,-7.566,-7.566,-0.576,0.253,0.9455,-0.005
148,52.761,-17.514,-17.514,-0.276,0.6924,0.9452,-0.005
149,52.608,-0.153,-0.153,-0.791,-0.0006,0.9479,-0.005
150,65.703,13.095,13.095,-0.317,0.6679,0.9378,-0.005
151,54.969,-10.734,-10.734,0.931,0.4616,0.9774,-0.055
152,72.4,17.431,17.431,-0.943,0.8988,0.9473,-0.005
153,84.813,12.413,12.413,0.671,0.628,0.9796,-0.055
154,104.557,19.744,19.744,-0.85,1.0179,0.9872,-0.005
155,91.354,-13.203,-13.203,-0.814,0.5766,0.9971,-0.005
156,82.88,-8.474,-8.474,0.491,0.2935,0.9499,-0.055
157,87.629,4.748,4.748,0.663,0.2574,0.9482,-0.055
158,87.612,-0.017,-0.017,0.482,0.0771,0.9752,-0.055
159,96.234,8.621,8.621,0.496,0.4511,0.9635,-0.055
160,77.834,-18.399,-18.399,-0.246,0.7673,0.9891,-0.005
161,68.116,-9.718,-9.718,0.806,0.3332,0.9462,-0.055
162,57.749,-10.367,-10.367,-0.77,0.3678,0.9424,-0.005
163,55.302,-2.447,-2.447,-0.324,0.0226,0.9479,-0.005
164,72.725,17.422,17.422,-0.232,0.877,0.9408,-0.005
165,82.162,9.437,9.437,0.85,0.481,0.9798,-0.055
166,100.186,18.024,18.024,-0.959,0.9367,0.984,-0.005
167,116.967,16.781,16.781,0.391,0.8437,0.9954,-0.055
168,120.0,9.485,9.485,-0.246,0.5217,1.0029,-0.005
169,104.419,-15.581,-15.581,-0.726,0.6452,0.9499,-0.005
170,118.466,14.047,14.047,-0.812,0.7494,0.955,-0.005
171,102.233,-16.233,-16.233,-0.219,0.6906,0.9528,-0.005
172,90.82,-11.413,-11.413,-0.14,0.3969,0.9543,-0.005
173,79.66,-11.16,-11.16,-0.165,0.403,0.9496,-0.005
174,95.503,15.843,15.843,0.28,0.8041,0.9457,-0.055
175,98.808,3.305,3.305,0.222,0.2173,0.9933,-0.055
176,79.817,-18.991,-18.991,-0.549,0.7728,0.9769,-0.005
177,67.995,-11.821,-11.821,0.866,0.4216,0.9472,-0.055
178,86.727,18.732,18.732,0.012,0.9539,0.9418,-0.055
179,75.728,-10.999,-10.999,0.818,0.4821,0.9877,-0.055
180,77.15,1.422,1.422,-0.058,0.1048,0.9445,-0.005
181,95.188,18.038,18.038,-0.703,0.9345,0.962,-0.005
182,112.455,17.267,17.267,-0.597,0.8871,0.9928,-0.005
183,107.304,-5.152,-5.152,0.462,0.2374,1.0011,-0.055
184,108.077,0.774,0.774,-0.947,0.0484,0.9628,-0.005
185,88.63,-19.448,-19.448,-0.729,0.7804,0.9734,-0.005
186,85.06,-3.57,-3.57,-0.149,0.0815,0.9504,-0.005
187,104.519,19.459,19.459,0.404,0.9786,0.956,-0.055
188,90.268,-14.25,-14.25,0.963,0.6149,0.9971,-0.055
189,104.665,14.397,14.397,-0.127,0.7452,0.9493,-0.005
190,120.0,19.147,19.147,-0.506,0.9803,0.9974,-0.005
191,120.0,11.078,11.078,-0.134,0.6091,0.9554,-0.005
192,120.0,16.891,16.891,0.013,0.8794,0.9513,-0.055
193,101.273,-18.727,-18.727,-0.494,0.8036,0.9548,-0.005
194,115.718,14.445,14.445,-0.248,0.7522,0.9543,-0.005
195,110.636,-5.082,-5.082,-0.559,0.2176,1.0017,-0.005
196,92.664,-17.971,-17.971,-0.318,0.7037,0.9647,-0.005
197,78.741,-13.923,-13.923,0.661,0.5095,0.951,-0.055
198,72.224,-6.516,-6.516,0.824,0.2165,0.9454,-0.055
199,59.326,-12.899,-12.899,-0.694,0.4874,0.9471,-0.005
