Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,31.162,-12.295,-12.295,0.215,0.4728,0.9324,-0.055
2,18.727,-12.435,-12.435,0.06,0.4564,0.9296,-0.055
3,0.0,-19.773,-19.773,0.245,0.7667,0.9277,-0.055
4,9.405,9.405,9.405,0.893,0.47,0.9273,-0.055
5,18.215,8.81,8.81,0.923,0.437,0.9406,-0.055
6,10.667,-7.548,-7.548,-0.896,0.3139,0.9409,-0.005
7,0.0,-17.894,-17.894,-0.936,0.7012,0.9285,-0.005
8,17.773,17.773,17.773,-0.767,0.9515,0.9247,-0.005
9,23.569,5.795,5.795,0.728,0.3053,0.9534,-0.055
10,33.0,9.432,9.432,-0.758,0.5029,0.9379,-0.005
11,34.743,1.743,1.743,-0.528,0.1255,0.9441,-0.005
12,43.091,8.347,8.347,-0.212,0.4363,0.9336,-0.005
13,33.239,-9.851,-9.851,0.392,0.3878,0.9455,-0.055
14,47.655,14.416,14.416,0.77,0.7089,0.9294,-0.055
15,41.779,-5.876,-5.876,-0.648,0.2575,0.9504,-0.005
16,32.835,-8.945,-8.945,0.098,0.3154,0.9288,-0.055
17,51.846,19.011,19.011,-0.866,0.977,0.9286,-0.005
18,41.898,-9.948,-9.948,-0.604,0.4349,0.9513,-0.005
19,60.756,18.858,18.858,0.808,0.9262,0.9318,-0.055
20,55.162,-5.593,-5.593,-0.511,0.2947,0.0012,-0.005
21,68.823,13.661,13.661,-0.043,0.6948,0.9323,-0.005
22,69.576,0.752,0.752,-0.282,0.1265,0.001,-0.005
23,76.903,7.327,7.327,-0.65,0.4328,0.9826,-0.005
24,85.677,8.775,8.775,0.728,0.4665,1.0,-0.055
25,71.452,-14.225,-14.225,0.714,0.609,0.003,-0.055
26,55.447,-16.005,-16.005,-0.741,0.6221,0.9429,-0.005
27,66.338,10.891,10.891,0.236,0.548,0.944,-0.055
28,84.681,18.343,18.343,0.887,0.9122,1.0003,-0.055
29,101.023,16.341,16.341,0.581,0.8257,0.0044,-0.055
30,86.284,-14.739,-14.739,0.082,0.656,0.0095,-0.055
31,82.257,-4.027,-4.027,0.659,0.1199,0.9474,-0.055
32,64.271,-17.986,-17.986,0.419,0.7409,0.9748,-0.055
33,61.304,-2.967,-2.967,0.899,0.0918,0.9326,-0.055
34,75.666,14.361,14.361,0.92,0.7138,0.9669,-0.055
35,93.09,17.424,17.424,0.311,0.8863,0.0029,-0.055
36,101.29,8.201,8.201,-0.138,0.4634,0.0071,-0.005
37,90.076,-11.214,-11.214,-0.65,0.4783,0.0076,-0.005
38,99.438,9.361,9.361,0.866,0.482,0.956,-0.055
39,104.884,5.446,5.446,-0.79,0.3571,0.0079,-0.005
40,96.076,-8.807,-8.807,0.879,0.3682,0.0056,-0.055
41,114.521,18.445,18.445,0.406,0.9273,0.9637,-0.055
42,120.0,13.832,13.832,0.946,0.699,0.0101,-0.055
43,108.87,-11.13,-11.13,0.257,0.4795,0.9532,-0.055
44,120.0,14.9,14.9,-0.009,0.7656,0.9578,-0.005
45,120.0,16.508,16.508,-0.984,0.8894,0.9537,-0.005
46,120.0,5.703,5.703,0.235,0.3597,0.9545,-0.055
47,111.736,-8.264,-8.264,-0.256,0.3427,0.9454,-0.005
48,93.806,-17.931,-17.931,0.33,0.7023,0.9619,-0.055
49,111.873,18.067,18.067,0.115,0.9177,0.9514,-0.055
50,120.0,13.512,13.512,0.659,0.6799,1.0008,-0.055
51,120.0,3.104,3.104,-0.688,0.2553,0.9529,-0.005
52,120.0,0.075,0.075,-0.159,0.11,0.9427,-0.005
53,120.0,10.894,10.894,0.305,0.58,0.9401,-0.055
54,115.565,-4.435,-4.435,-0.861,0.2039,0.9511,-0.005
55,120.0,12.318,12.318,0.629,0.6211,0.9678,-0.055
56,106.703,-13.297,-13.297,-0.985,0.5564,0.952,-0.005
57,91.318,-15.386,-15.386,0.354,0.5807,0.9557,-0.055
58,82.98,-8.337,-8.337,-0.307,0.2713,0.9497,-0.005
59,94.687,11.707,11.707,0.551,0.5947,0.9484,-0.055
60,106.786,12.099,12.099,-0.126,0.6332,0.9918,-0.005
61,100.018,-6.769,-6.769,-0.046,0.2903,0.9973,-0.005
62,100.595,0.578,0.578,0.433,0.0724,0.9577,-0.055
63,94.751,-5.844,-5.844,0.625,0.2265,0.9699,-0.055
64,86.996,-7.755,-7.755,0.894,0.2847,0.9563,-0.055
