episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
1,1.0,-3.38,500,0,0,0,176,nan,nan,nan
2,1.0,-3.475,500,0,0,0,195,nan,nan,nan
3,1.0,-3.47,500,0,0,0,194,nan,nan,nan
4,1.0,-3.44,500,0,0,0,188,nan,nan,nan
5,1.0,-3.375,500,0,1,0,175,0.042565,0.001872,nan
6,1.0,-3.305,500,0,1,0,161,nan,nan,nan
7,1.0,-3.34,500,0,1,0,168,nan,nan,nan
8,1.0,-3.395,500,0,1,0,179,nan,nan,nan
9,1.0,-3.425,500,0,1,0,185,0.022962,0.006734,nan
10,1.0,98.22,252,0,1,0,104,nan,nan,nan
11,1.0,-3.43,500,0,1,0,186,nan,nan,nan
12,1.0,-3.575,500,0,1,0,215,nan,nan,nan
13,1.0,-3.585,500,0,1,0,217,162.464651,0.00111,nan
14,1.0,-3.67,500,0,1,0,234,nan,nan,nan
15,1.0,-3.685,500,0,1,0,237,nan,nan,nan
16,1.0,-3.665,500,0,1,0,233,nan,nan,nan
17,1.0,-3.64,500,0,1,0,228,0.878937,-0.002022,nan
18,1.0,-3.66,500,0,0,0,232,nan,nan,nan
19,1.0,-3.75,500,0,0,0,250,nan,nan,nan
20,1.0,-3.785,500,0,0,0,257,nan,nan,nan
21,1.0,-3.75,500,0,1,0,250,0.072865,0.006753,nan
22,1.0,-3.88,500,0,0,0,276,nan,nan,nan
23,1.0,97.945,265,0,1,0,146,nan,nan,nan
24,1.0,-3.865,500,0,0,0,273,nan,nan,nan
25,1.0,-3.78,500,0,1,0,256,nan,nan,nan
26,1.0,97.255,371,0,1,0,178,154.775866,0.002663,nan
27,1.0,-3.725,500,0,0,0,245,nan,nan,nan
28,1.0,99.34,92,0,1,0,40,nan,nan,nan
29,1.0,-3.76,500,0,0,0,252,nan,nan,nan
30,1.0,-3.645,500,0,0,0,229,nan,nan,nan
31,1.0,-3.685,500,0,0,0,237,66.231544,0.002843,nan
32,1.0,98.93,151,0,1,0,63,nan,nan,nan
33,1.0,-3.77,500,0,0,0,254,nan,nan,nan
34,1.0,-3.67,500,0,1,0,234,nan,nan,nan
35,1.0,-3.755,500,0,0,0,251,nan,nan,nan
36,1.0,-3.76,500,0,0,0,252,56.470087,-0.00462,nan
37,1.0,98.72,170,0,1,0,86,nan,nan,nan
38,1.0,98.465,209,0,1,0,98,nan,nan,nan
39,1.0,98.98,144,0,1,0,60,nan,nan,nan
40,1.0,98.24,233,0,1,0,119,nan,nan,nan
41,1.0,98.755,171,0,1,0,78,nan,nan,nan
42,1.0,99.19,110,0,1,0,52,nan,nan,nan
43,1.0,99.275,99,0,1,0,46,nan,nan,nan
44,1.0,-3.815,500,0,0,0,263,nan,nan,nan
45,1.0,98.57,204,0,1,0,82,163.466847,-0.016688,nan
46,1.0,99.435,84,0,1,0,29,nan,nan,nan
47,1.0,99.55,64,0,1,0,26,nan,nan,nan
48,1.0,99.46,70,0,1,0,38,nan,nan,nan
49,1.0,99.495,67,0,1,0,34,nan,nan,nan
50,1.0,99.235,106,0,1,0,47,nan,nan,nan
51,1.0,99.45,78,0,1,0,32,nan,nan,nan
52,1.0,99.56,68,0,1,0,20,nan,nan,nan
53,1.0,99.43,79,0,1,0,35,nan,nan,nan
54,1.0,99.14,123,0,1,0,49,nan,nan,nan
55,1.0,97.565,327,0,1,0,160,nan,nan,nan
56,1.0,98.115,250,0,1,0,127,nan,nan,nan
57,1.0,99.52,69,0,1,0,27,nan,nan,nan
58,1.0,99.185,108,0,1,0,55,nan,nan,nan
59,1.0,98.71,178,0,1,0,80,nan,nan,nan
60,1.0,99.185,119,0,1,0,44,nan,nan,nan
61,1.0,99.63,57,0,1,0,17,nan,nan,nan
62,1.0,99.215,106,0,1,0,51,nan,nan,nan
63,1.0,99.27,101,0,1,0,45,100.094654,-0.027607,nan
64,1.0,99.39,81,0,1,0,41,nan,nan,nan
65,1.0,99.455,77,0,1,0,32,nan,nan,nan
66,1.0,99.225,115,0,1,0,40,nan,nan,nan
67,1.0,98.93,154,0,1,0,60,nan,nan,nan
68,1.0,99.345,92,0,1,0,39,nan,nan,nan
69,1.0,99.485,75,0,1,0,28,nan,nan,nan
70,1.0,99.5,70,0,1,0,30,nan,nan,nan
71,1.0,99.665,47,0,1,0,20,nan,nan,nan
72,1.0,99.535,65,0,1,0,28,nan,nan,nan
73,1.0,99.485,74,0,1,0,29,nan,nan,nan
74,1.0,99.22,110,0,1,0,46,nan,nan,nan
75,1.0,99.55,73,0,1,0,17,nan,nan,nan
76,1.0,99.375,87,0,1,0,38,nan,nan,nan
77,1.0,99.105,120,0,1,0,59,nan,nan,nan
78,1.0,99.33,95,0,1,0,39,nan,nan,nan
79,1.0,99.44,78,0,1,0,34,nan,nan,nan
80,1.0,99.56,60,0,1,0,28,nan,nan,nan
81,1.0,99.3,100,0,1,0,40,nan,nan,nan
82,1.0,99.22,105,0,1,0,51,nan,nan,nan
83,1.0,99.56,67,0,1,0,21,nan,nan,nan
84,1.0,99.495,68,0,1,0,33,nan,nan,nan
85,1.0,99.58,54,0,1,0,30,nan,nan,nan
86,1.0,99.62,51,0,1,0,25,nan,nan,nan
87,1.0,99.575,60,0,1,0,25,nan,nan,nan
88,1.0,99.615,52,0,1,0,25,99.271865,-0.025666,nan
