episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-0.64,500,1,141,500,1,118.0,nan,nan,nan
2,1.0,-0.35,500,1,138,500,1,166.0,nan,nan,nan
3,1.0,-0.82,500,1,149,500,1,77.0,nan,nan,nan
4,1.0,-1.4,500,1,160,500,1,170.0,nan,nan,nan
5,1.0,-0.29,500,1,136,500,1,131.0,nan,nan,nan
6,1.0,-0.49,500,1,145,500,1,291.0,nan,nan,nan
7,1.0,9.08,500,1,151,500,2,196.0,nan,nan,nan
8,1.0,-0.4,500,1,141,500,1,343.0,nan,nan,nan
9,1.0,-0.6,500,1,146,500,1,266.0,nan,nan,nan
10,1.0,-0.73,500,1,148,500,1,316.0,nan,nan,nan
11,1.0,-1.49,500,1,162,500,1,205.0,nan,nan,nan
12,1.0,-10.84,500,0,151,500,0,nan,nan,nan,nan
13,1.0,9.55,500,1,142,500,2,104.0,nan,nan,nan
14,1.0,9.48,500,1,140,500,2,68.0,nan,nan,nan
15,1.0,-0.26,500,1,137,500,1,363.0,nan,nan,nan
16,1.0,0.28,500,1,127,500,1,190.0,nan,nan,nan
17,1.0,8.81,500,1,156,500,2,73.5,nan,nan,nan
18,1.0,-10.22,500,0,136,500,0,nan,nan,nan,nan
19,1.0,0.08,500,1,128,500,1,90.0,nan,nan,nan
20,1.0,-10.6,500,0,145,500,0,nan,nan,nan,nan
21,1.0,-11.01,500,0,153,500,0,nan,nan,nan,nan
22,1.0,8.07,500,1,173,500,2,81.0,nan,nan,nan
23,1.0,-10.27,500,0,139,500,0,nan,nan,nan,nan
24,1.0,-0.57,500,1,143,500,1,154.0,nan,nan,nan
25,1.0,-0.74,500,1,145,500,1,114.0,nan,nan,nan
26,1.0,-9.89,500,0,128,500,0,nan,nan,nan,nan
27,1.0,-10.14,500,0,134,500,0,nan,nan,nan,nan
28,1.0,9.58,500,1,142,500,2,109.0,nan,nan,nan
29,1.0,-0.91,500,1,148,500,1,67.0,nan,nan,nan
30,1.0,-0.83,500,1,145,500,1,59.0,nan,nan,nan
31,1.0,8.73,500,1,160,500,2,187.0,nan,nan,nan
32,1.0,-1.08,500,1,155,500,1,133.0,nan,nan,nan
33,1.0,-10.8,500,0,151,500,0,nan,nan,nan,nan
34,1.0,-0.89,500,1,148,500,1,228.0,nan,nan,nan
35,1.0,-1.09,500,1,154,500,1,321.0,nan,nan,nan
36,1.0,9.45,500,1,140,500,2,106.0,nan,nan,nan
37,1.0,9.14,500,1,149,500,2,141.0,nan,nan,nan
38,1.0,9.43,500,1,141,500,2,156.5,nan,nan,nan
39,1.0,-0.9,500,1,149,500,1,364.0,nan,nan,nan
40,1.0,18.86,500,1,154,500,3,92.66666666666667,nan,nan,nan
41,1.0,-1.84,500,1,171,500,1,324.0,nan,nan,nan
42,1.0,-0.26,500,1,135,500,1,263.0,nan,nan,nan
43,1.0,0.14,500,1,128,500,1,93.0,nan,nan,nan
44,1.0,9.39,500,1,144,500,2,96.5,nan,nan,nan
