episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
86,1.0,-17.85,500,0,307,0,nan,209886.953125,-5382.687988,nan
87,1.0,-17.15,500,0,293,0,nan,718.969055,-5529.080566,nan
88,1.0,-16.65,500,0,283,0,nan,2220.395996,-5449.14209,nan
89,1.0,-17.1,500,0,292,0,nan,114660.453125,-5592.699219,nan
90,1.0,-16.7,500,0,284,0,nan,72231.046875,-5586.810059,nan
91,1.0,-17.3,500,0,296,0,nan,924.619324,-5556.006836,nan
92,1.0,-17.05,500,0,291,0,nan,113642.773438,-5572.681641,nan
93,1.0,-16.65,500,0,283,0,nan,5299.956055,-5512.147461,nan
94,1.0,-16.9,500,0,288,0,nan,1424.136597,-5545.932617,nan
95,1.0,-16.3,500,0,276,0,nan,217655.296875,-5537.785156,nan
96,1.0,-16.7,500,0,284,0,nan,470.772339,-5507.410645,nan
97,1.0,-16.15,500,0,273,0,nan,1085.428345,-5434.252441,nan
98,1.0,-16.3,500,0,276,0,nan,110350.226562,-5450.025879,nan
99,1.0,-16.5,500,0,280,0,nan,221849.421875,-5442.915039,nan
100,1.0,-15.75,500,0,265,0,nan,14550.737305,-5543.117188,nan
101,1.0,-16.8,500,0,286,0,nan,981.73584,-5350.828125,nan
102,1.0,-16.45,500,0,279,0,nan,217207.6875,-5325.243652,nan
103,1.0,-17.15,500,0,293,0,nan,1170.870605,-5261.024902,nan
104,1.0,-16.35,500,0,277,0,nan,1336.520752,-5156.669922,nan
105,1.0,-16.35,500,0,277,0,nan,197277.234375,-5017.739258,nan
106,1.0,-16.6,500,0,282,0,nan,91963.921875,-4878.504395,nan
107,1.0,-17.7,500,0,304,0,nan,86880.0625,-4726.533691,nan
108,1.0,-17.35,500,0,297,0,nan,162776.75,-4593.561035,nan
109,1.0,-17.6,500,0,302,0,nan,484.299652,-4498.639648,nan
110,1.0,-17.2,500,0,294,0,nan,308.382935,-4370.751953,nan
111,1.0,-18.6,500,0,322,0,nan,562.545837,-4168.976074,nan
112,1.0,-17.75,500,0,305,0,nan,606.093872,-4040.112793,nan
113,1.0,-17.9,500,0,308,0,nan,830.040344,-3857.538574,nan
114,1.0,-19.1,500,0,332,0,nan,54452.304688,-3722.506836,nan
115,1.0,-17.8,500,0,306,0,nan,47063.050781,-3578.441406,nan
116,1.0,-18.95,500,0,329,0,nan,454.758667,-3373.830566,nan
117,1.0,-19.0,500,0,330,0,nan,345.601105,-3201.543457,nan
118,1.0,-18.3,500,0,316,0,nan,35843.164062,-3045.443359,nan
119,1.0,-16.85,500,0,287,0,nan,317.812927,-2899.554199,nan
120,1.0,-18.6,500,0,322,0,nan,450.216797,-2742.899414,nan
121,1.0,-17.1,500,0,292,0,nan,285.944061,-2608.969238,nan
122,1.0,-17.8,500,0,306,0,nan,223.818542,-2445.233154,nan
