episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
1,1.0,-3.72,500,0,1,0,244,0.542576,-2.00415,nan
2,1.0,-3.785,500,0,1,0,257,0.453205,-1.822333,nan
3,1.0,-3.7,500,0,1,0,240,0.355848,-1.605602,nan
4,1.0,-3.78,500,0,1,0,256,0.3081,-1.481786,nan
5,1.0,98.795,158,0,1,0,83,3031.459717,142.694366,nan
6,1.0,-3.865,500,0,1,0,273,0.281309,-1.393014,nan
7,1.0,-3.87,500,0,1,0,274,0.349018,-1.573735,nan
8,1.0,-3.87,500,0,1,0,274,0.350908,-1.61027,nan
9,1.0,-3.84,500,0,1,0,268,0.358202,-1.672013,nan
10,1.0,-3.775,500,0,1,0,255,0.383246,-1.694341,nan
11,1.0,-3.85,500,0,1,0,270,0.417797,-1.708364,nan
12,1.0,97.485,329,0,1,0,174,1500.893188,82.555199,nan
13,1.0,99.045,124,0,1,0,67,3678.157227,154.957779,nan
14,1.0,98.135,238,0,1,0,135,2059.760254,102.779282,nan
15,1.0,98.73,168,0,1,0,86,2843.966797,136.413147,nan
16,1.0,-3.84,500,0,0,0,268,0.709945,-2.373964,nan
17,1.0,97.95,273,0,1,0,137,1792.814453,93.611816,nan
18,1.0,97.97,259,0,1,0,147,1883.495728,106.291557,nan
19,1.0,98.96,140,0,1,0,68,3306.027344,150.527496,nan
20,1.0,97.855,290,0,1,0,139,1680.357056,88.589119,nan
21,1.0,-3.85,500,0,0,0,270,1.180868,-3.060826,nan
22,1.0,-3.745,500,0,0,0,249,1.240664,-3.145911,nan
23,1.0,98.39,210,0,1,0,112,2289.229248,116.869423,nan
24,1.0,96.66,446,0,1,0,222,1085.587158,56.962646,nan
25,1.0,99.275,98,0,1,0,47,4296.682617,178.490891,nan
26,1.0,98.09,244,0,1,0,138,1969.823486,100.860588,nan
27,1.0,97.935,277,0,1,0,136,1735.256836,98.64521,nan
28,1.0,98.06,265,0,1,0,123,1811.335083,96.966606,nan
29,1.0,98.105,264,0,1,0,115,1814.386841,92.845177,nan
30,1.0,99.115,121,0,1,0,56,3660.102295,165.550034,nan
31,1.0,97.97,272,0,1,0,134,1754.047607,92.891502,nan
32,1.0,98.925,132,0,1,0,83,3392.787842,147.952286,nan
33,1.0,98.66,173,0,1,0,95,2673.265137,129.011993,nan
34,1.0,97.99,262,0,1,0,140,1809.027954,98.295227,nan
35,1.0,98.955,141,0,1,0,68,3192.046875,150.680862,nan
36,1.0,99.46,72,0,1,0,36,5125.148438,197.412338,nan
37,1.0,98.96,138,0,1,0,70,3241.261475,149.744385,nan
38,1.0,99.245,99,0,1,0,52,4160.137207,177.205841,nan
39,1.0,99.62,49,0,1,0,27,6160.597168,235.586838,nan
40,1.0,99.42,83,0,1,0,33,4676.737793,188.725754,nan
41,1.0,98.69,169,0,1,0,93,2680.790283,137.701431,nan
42,1.0,99.645,46,0,1,0,25,6282.069336,233.544205,nan
43,1.0,99.645,49,0,1,0,22,6104.867188,207.756714,nan
44,1.0,98.76,168,0,1,0,80,2690.069092,133.138611,nan
45,1.0,99.6,53,0,1,0,27,5856.562988,203.346588,nan
46,1.0,99.795,27,0,1,0,14,7394.984375,248.010635,nan
47,1.0,99.405,84,0,1,0,35,4551.327637,191.596588,nan
48,1.0,99.67,43,0,1,0,23,6346.598633,253.483307,nan
49,1.0,99.68,44,0,1,0,20,6278.522949,200.507858,nan
50,1.0,99.505,70,0,1,0,29,5040.755371,205.129517,nan
51,1.0,99.575,56,0,1,0,29,5649.62793,209.910751,nan
52,1.0,99.605,54,0,1,0,25,5720.086914,207.874207,nan
53,1.0,99.275,100,0,1,0,45,3983.01416,176.026871,nan
54,1.0,99.545,57,0,1,0,34,5523.763184,195.995392,nan
55,1.0,99.605,52,0,1,0,27,5745.439453,216.025055,nan
56,1.0,99.6,57,0,1,0,23,5489.31543,211.409012,nan
57,1.0,99.67,44,0,1,0,22,6140.694824,227.93222,nan
58,1.0,99.56,58,0,1,0,30,5420.435547,215.860641,nan
59,1.0,99.21,110,0,1,0,48,3635.238037,160.231323,nan
60,1.0,99.68,44,0,1,0,20,6048.421387,206.082123,nan
61,1.0,99.645,45,0,1,0,26,5959.508301,215.650909,nan
62,1.0,99.585,58,0,1,0,25,5357.052734,198.25354,nan
63,1.0,99.665,47,0,1,0,20,5856.630371,219.290115,nan
64,1.0,99.53,69,0,1,0,25,4823.858398,203.530396,nan
65,1.0,99.495,73,0,1,0,28,4681.077637,197.47963,nan
66,1.0,99.68,41,0,1,0,23,6097.580566,218.6241,nan
67,1.0,99.325,91,0,1,0,44,4004.369141,173.313202,nan
68,1.0,99.52,68,0,1,0,28,4788.836914,196.82811,nan
69,1.0,99.54,67,0,1,0,25,4836.187988,176.769302,nan
70,1.0,99.685,46,0,1,0,17,5786.404297,207.185822,nan
71,1.0,99.76,32,0,1,0,16,6468.037109,205.478149,nan
72,1.0,99.785,30,0,1,0,13,6581.563965,224.55983,nan
73,1.0,99.74,33,0,1,0,19,6381.228516,223.930786,nan
74,1.0,99.755,32,0,1,0,17,6466.283203,239.546555,nan
75,1.0,99.41,81,0,1,0,37,4149.788574,176.840027,nan
76,1.0,99.63,50,0,1,0,24,5370.903809,214.464706,nan
77,1.0,99.56,60,0,1,0,28,4927.302246,191.884964,nan
78,1.0,99.605,53,0,1,0,26,5215.794922,211.498734,nan
79,1.0,99.72,39,0,1,0,17,5862.155273,218.752762,nan
80,1.0,99.71,41,0,1,0,17,5749.458984,201.756104,nan
81,1.0,99.705,39,0,1,0,20,5823.841797,230.912582,nan
82,1.0,99.72,41,0,1,0,15,5650.354004,197.840134,nan
83,1.0,99.705,41,0,1,0,18,5677.12207,211.519485,nan
84,1.0,99.8,28,0,1,0,12,6337.332031,234.711395,nan
85,1.0,99.735,38,0,1,0,15,5694.368164,199.457596,nan
86,1.0,99.705,41,0,1,0,18,5523.790039,202.5513,nan
87,1.0,99.63,50,0,1,0,24,5096.995117,200.900208,nan
88,1.0,99.66,45,0,1,0,23,5269.882812,218.145508,nan
89,1.0,99.77,32,0,1,0,14,5892.76709,215.048492,nan
90,1.0,99.67,41,0,1,0,25,5361.091309,213.911606,nan
91,1.0,99.72,35,0,1,0,21,5740.312988,229.729095,nan
92,1.0,99.515,67,0,1,0,30,4170.838379,189.255325,nan
93,1.0,99.575,59,0,1,0,26,4435.41748,184.542511,nan
94,1.0,99.6,51,0,1,0,29,4718.222168,202.452103,nan
95,1.0,99.715,37,0,1,0,20,5418.293945,196.135483,nan
96,1.0,99.57,56,0,1,0,30,4551.506348,197.175674,nan
97,1.0,99.75,33,0,1,0,17,5536.320801,200.597595,nan
98,1.0,99.675,42,0,1,0,23,5062.674316,202.150879,nan
99,1.0,99.735,37,0,1,0,16,5313.249512,205.835495,nan
100,1.0,99.72,37,0,1,0,19,5286.483887,195.871384,nan
101,1.0,99.71,40,0,1,0,18,5182.510742,195.053513,nan
102,1.0,99.685,41,0,1,0,22,4990.733887,208.927185,nan
103,1.0,99.69,47,0,1,0,15,4826.73584,184.300659,nan
104,1.0,99.675,43,0,1,0,22,4757.459473,186.458603,nan
105,1.0,99.7,42,0,1,0,18,4871.886719,192.350037,nan
106,1.0,99.535,63,0,1,0,30,3886.145264,179.128769,nan
107,1.0,99.76,29,0,1,0,19,5347.9375,256.107941,nan
108,1.0,99.64,42,0,1,0,30,4607.072754,182.265594,nan
109,1.0,99.68,45,0,1,0,19,4540.405273,191.590469,nan
110,1.0,99.7,40,0,1,0,20,4747.574219,213.094818,nan
111,1.0,99.63,48,0,1,0,26,4349.530762,175.536865,nan
112,1.0,99.745,32,0,1,0,19,4999.117188,201.145569,nan
113,1.0,99.765,29,0,1,0,18,5058.86084,203.290955,nan
114,1.0,99.785,28,0,1,0,15,5131.736816,192.861649,nan
115,1.0,99.795,27,0,1,0,14,5106.711914,197.678574,nan
116,1.0,99.625,45,0,1,0,30,4102.27832,166.284882,nan
117,1.0,99.63,45,0,1,0,29,4149.18457,178.361221,nan
118,1.0,99.69,42,0,1,0,20,4239.958008,186.11618,nan
119,1.0,99.6,48,0,1,0,32,4008.018311,175.442993,nan
120,1.0,99.64,52,0,1,0,20,4010.007324,184.317612,nan
121,1.0,99.6,52,0,1,0,28,3751.991211,176.266434,nan
122,1.0,99.755,30,0,1,0,19,4650.08252,184.169662,nan
123,1.0,99.435,75,0,1,0,38,2971.906982,155.964981,nan
124,1.0,99.63,46,0,1,0,28,3771.563965,172.325958,nan
125,1.0,99.785,28,0,1,0,15,4657.293457,173.868561,nan
126,1.0,99.695,39,0,1,0,22,4106.153809,177.97847,nan
127,1.0,99.625,48,0,1,0,27,3631.800537,158.50679,nan
128,1.0,99.755,32,0,1,0,17,4311.206543,170.167816,nan
129,1.0,99.785,25,0,1,0,18,4526.080078,213.405273,nan
130,1.0,99.69,37,0,1,0,25,3806.530762,181.314514,nan
131,1.0,99.725,34,0,1,0,21,4042.295898,187.967789,nan
132,1.0,99.615,49,0,1,0,28,3418.634277,165.239075,nan
133,1.0,99.685,40,0,1,0,23,3612.526123,186.139481,nan
134,1.0,99.695,34,0,1,0,27,3758.57666,172.394012,nan
135,1.0,99.61,47,0,1,0,31,3134.146729,160.591537,nan
136,1.0,99.735,32,0,1,0,21,3708.528564,168.127411,nan
137,1.0,99.595,53,0,1,0,28,2972.106445,157.662674,nan
138,1.0,99.77,29,0,1,0,17,4029.893555,183.453796,nan
139,1.0,99.655,43,0,1,0,26,3338.564941,168.224503,nan
140,1.0,99.73,31,0,1,0,23,3712.90625,167.753036,nan
141,1.0,99.49,66,0,1,0,36,2447.387207,132.227295,nan
142,1.0,99.78,24,0,1,0,20,3838.253662,159.758957,nan
143,1.0,99.705,35,0,1,0,24,3339.593994,164.320709,nan
144,1.0,99.72,35,0,1,0,21,3465.895996,157.683426,nan
145,1.0,99.75,28,0,1,0,22,3528.618896,149.641754,nan
146,1.0,99.72,33,0,1,0,23,3252.741943,148.343887,nan
147,1.0,99.71,36,0,1,0,22,3099.832031,156.195786,nan
148,1.0,99.665,40,0,1,0,27,3029.173096,150.030731,nan
149,1.0,99.775,30,0,1,0,15,3100.916748,156.171127,nan
150,1.0,99.555,56,0,1,0,33,2387.197998,129.529251,nan
151,1.0,99.67,39,0,1,0,27,2950.700928,152.953888,nan
152,1.0,99.725,34,0,1,0,21,2817.416016,144.374496,nan
153,1.0,99.79,24,0,1,0,18,3383.384766,145.926987,nan
154,1.0,99.78,27,0,1,0,17,3216.476318,159.49086,nan
155,1.0,99.695,36,0,1,0,25,2896.435547,143.135681,nan
156,1.0,99.705,38,0,1,0,21,2784.933838,153.033203,nan
157,1.0,99.64,43,0,1,0,29,2582.421143,146.316666,nan
158,1.0,99.715,38,0,1,0,19,2659.47583,136.907669,nan
159,1.0,99.615,45,0,1,0,32,2131.542969,137.081329,nan
160,1.0,99.675,37,0,1,0,28,2543.415039,141.619064,nan
161,1.0,99.605,44,0,1,0,35,2074.038086,122.357735,nan
162,1.0,99.67,40,0,1,0,26,2355.386475,142.031097,nan
163,1.0,99.62,45,0,1,0,31,2200.145752,128.89183,nan
164,1.0,99.655,41,0,1,0,28,2111.49707,132.582062,nan
165,1.0,99.68,39,0,1,0,25,2204.714844,133.525284,nan
166,1.0,99.635,43,0,1,0,30,2086.84082,123.647957,nan
167,1.0,99.8,23,0,1,0,17,2645.293213,127.773201,nan
168,1.0,99.75,30,0,1,0,20,2356.246094,143.16098,nan
169,1.0,99.775,27,0,1,0,18,2406.770508,133.476242,nan
170,1.0,99.775,26,0,1,0,19,2436.519775,131.66539,nan
171,1.0,99.67,40,0,1,0,26,1719.193726,112.523865,nan
172,1.0,99.77,25,0,1,0,21,2253.946533,130.318878,nan
173,1.0,99.66,41,0,1,0,27,1731.408325,113.437866,nan
174,1.0,99.77,27,0,1,0,19,2236.16748,120.108688,nan
175,1.0,99.615,49,0,1,0,28,1538.315796,113.146866,nan
176,1.0,99.645,43,0,1,0,28,1843.084106,127.148994,nan
177,1.0,99.615,44,0,1,0,33,1374.227905,102.076241,nan
178,1.0,99.525,52,0,1,0,43,1072.110352,93.702148,nan
179,1.0,99.725,33,0,1,0,22,1690.495239,120.85585,nan
180,1.0,99.7,35,0,1,0,25,1588.044067,110.330376,nan
181,1.0,99.5,59,0,1,0,41,1129.369019,91.029121,nan
182,1.0,99.55,51,0,1,0,39,1025.763428,97.76078,nan
183,1.0,99.67,39,0,1,0,27,1265.715942,98.491676,nan
184,1.0,99.5,64,0,1,0,36,916.244751,87.104584,nan
185,1.0,99.745,33,0,1,0,18,1321.422363,101.161224,nan
186,1.0,99.68,37,0,1,0,27,1375.208862,110.662262,nan
187,1.0,99.63,44,0,1,0,30,1216.606689,103.626129,nan
188,1.0,99.64,40,0,1,0,32,985.827759,94.339302,nan
189,1.0,99.655,42,0,1,0,27,1263.756592,98.379036,nan
190,1.0,99.805,23,0,1,0,16,1606.582153,116.630608,nan
191,1.0,99.765,28,0,1,0,19,1394.563721,115.19323,nan
192,1.0,99.755,29,0,1,0,20,1340.316772,97.594147,nan
193,1.0,99.715,36,0,1,0,21,1336.684326,108.0924,nan
194,1.0,99.595,49,0,1,0,32,858.627563,77.858658,nan
195,1.0,99.795,23,0,1,0,18,1373.688477,98.577034,nan
196,1.0,99.685,37,0,1,0,26,946.416626,90.655617,nan
197,1.0,99.765,27,0,1,0,20,1368.702637,101.859184,nan
198,1.0,99.775,27,0,1,0,18,1171.687012,91.322235,nan
199,1.0,99.785,27,0,1,0,16,969.789368,100.135101,nan
200,1.0,99.68,37,0,1,0,27,810.016479,76.367844,nan
201,1.0,99.715,34,0,1,0,23,900.539246,82.33622,nan
202,1.0,99.725,32,0,1,0,23,817.749084,78.676636,nan
203,1.0,99.69,36,0,1,0,26,790.647766,72.19252,nan
204,1.0,99.76,28,0,1,0,20,763.858826,73.183838,nan
205,1.0,99.635,46,0,1,0,27,670.636597,72.619865,nan
206,1.0,99.72,36,0,1,0,20,705.435913,72.856438,nan
207,1.0,99.675,39,0,1,0,26,731.147339,78.036636,nan
208,1.0,99.75,30,0,1,0,20,574.070007,65.795029,nan
209,1.0,99.675,38,0,1,0,27,680.963318,72.517113,nan
210,1.0,99.625,43,0,1,0,32,625.438599,65.221786,nan
211,1.0,99.69,36,0,1,0,26,542.450195,67.343033,nan
212,1.0,99.68,37,0,1,0,27,489.035736,61.897369,nan
213,1.0,99.68,39,0,1,0,25,582.787659,70.510818,nan
214,1.0,99.675,34,0,1,0,31,596.775513,72.154671,nan
215,1.0,99.745,30,0,1,0,21,749.822998,77.49485,nan
216,1.0,99.715,31,0,1,0,26,399.828888,60.087605,nan
217,1.0,99.725,30,0,1,0,25,445.45697,56.821247,nan
218,1.0,99.655,42,0,1,0,27,530.781372,65.709045,nan
219,1.0,99.735,32,0,1,0,21,545.541687,56.14632,nan
220,1.0,99.715,33,0,1,0,24,441.515106,53.604252,nan
221,1.0,99.745,30,0,1,0,21,520.493958,62.294857,nan
222,1.0,99.595,48,0,1,0,33,135.646805,32.119267,nan
223,1.0,99.64,41,0,1,0,31,399.982574,53.663181,nan
224,1.0,99.695,39,0,1,0,22,364.411621,49.693996,nan
225,1.0,99.625,45,0,1,0,30,127.349174,27.927248,nan
226,1.0,99.665,38,0,1,0,29,374.948151,49.261452,nan
227,1.0,99.705,34,0,1,0,25,211.453613,39.190777,nan
228,1.0,99.57,49,0,1,0,37,78.598778,24.503193,nan
229,1.0,99.7,34,0,1,0,26,235.327667,39.10849,nan
230,1.0,99.77,27,0,1,0,19,426.698822,52.568478,nan
