episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
89,1.0,396.73,500,0,1,0,154,nan,195.987213,nan
90,1.0,296.625,500,0,1,0,175,nan,153.644165,nan
91,1.0,396.645,500,0,1,0,171,nan,195.489746,nan
92,1.0,396.675,500,0,1,0,165,nan,195.072403,nan
93,1.0,296.615,500,0,1,0,177,nan,147.529419,nan
94,1.0,296.69,500,0,1,0,162,nan,141.373672,nan
95,1.0,396.645,500,0,0,0,171,nan,201.959656,nan
96,1.0,296.6,500,0,0,0,180,nan,139.137024,nan
97,1.0,296.655,500,0,1,0,169,nan,141.743073,nan
98,1.0,296.655,500,0,1,0,169,nan,170.013214,nan
99,1.0,196.635,500,0,1,0,173,nan,87.569214,nan
100,1.0,296.695,500,0,1,0,161,nan,124.075966,nan
101,1.0,396.585,500,0,0,0,183,nan,213.291504,nan
102,1.0,296.595,500,0,1,0,181,nan,155.088074,nan
103,1.0,396.655,500,0,1,0,169,nan,195.179672,nan
104,1.0,596.655,500,0,1,0,169,nan,301.526367,nan
105,1.0,596.58,500,0,0,0,184,nan,294.920807,nan
106,1.0,296.615,500,0,1,0,177,nan,162.387772,nan
107,1.0,596.63,500,0,1,0,174,nan,273.694153,nan
108,1.0,496.645,500,0,1,0,171,nan,244.895874,nan
109,1.0,596.515,500,0,0,0,197,nan,289.19223,nan
110,1.0,696.54,500,0,1,0,192,nan,320.60376,nan
111,1.0,596.545,500,0,1,0,191,nan,284.83432,nan
112,1.0,596.51,500,0,0,0,198,nan,290.299011,nan
113,1.0,696.46,500,0,0,0,208,nan,316.779114,nan
114,1.0,696.585,500,0,0,0,183,nan,333.127197,nan
115,1.0,696.58,500,0,0,0,184,nan,333.050995,nan
116,1.0,696.56,500,0,0,0,188,nan,322.501038,nan
117,1.0,696.565,500,0,0,0,187,nan,328.099823,nan
118,1.0,696.515,500,0,0,0,197,nan,329.370178,nan
119,1.0,796.53,500,0,0,0,194,nan,372.083923,nan
120,1.0,696.605,500,0,0,0,179,nan,331.078949,nan
121,1.0,796.565,500,0,0,0,187,nan,381.121063,nan
122,1.0,796.66,500,0,0,0,168,nan,383.384003,nan
123,1.0,696.62,500,0,1,0,176,nan,333.440796,nan
124,1.0,796.575,500,0,0,0,185,nan,378.190735,nan
125,1.0,696.665,500,0,1,0,167,nan,297.217224,nan
126,1.0,696.505,500,0,1,0,199,nan,334.080811,nan
127,1.0,796.6,500,0,0,0,180,nan,376.102692,nan
128,1.0,796.595,500,0,0,0,181,nan,378.22226,nan
129,1.0,796.495,500,0,1,0,201,nan,371.129944,nan
130,1.0,596.59,500,0,1,0,182,nan,274.565735,nan
131,1.0,896.65,500,0,1,0,170,nan,412.088074,nan
132,1.0,696.52,500,0,1,0,196,nan,331.298431,nan
133,1.0,696.615,500,0,1,0,177,nan,334.956146,nan
134,1.0,596.655,500,0,1,0,169,nan,276.63974,nan
135,1.0,696.48,500,0,1,0,204,nan,328.23291,nan
136,1.0,796.62,500,0,0,0,176,nan,356.289368,nan
137,1.0,796.51,500,0,0,0,198,nan,385.14859,nan
138,1.0,796.555,500,0,0,0,189,nan,369.258057,nan
139,1.0,696.625,500,0,1,0,175,nan,330.656006,nan
140,1.0,796.57,500,0,1,0,186,nan,364.897217,nan
141,1.0,796.54,500,0,0,0,192,nan,374.168091,nan
142,1.0,696.575,500,0,1,0,185,nan,309.687714,nan
143,1.0,796.595,500,0,1,0,181,nan,379.01767,nan
144,1.0,696.53,500,0,1,0,194,nan,336.287628,nan
145,1.0,896.535,500,0,0,0,193,nan,399.077057,nan
146,1.0,996.585,500,0,0,0,183,nan,437.853241,nan
147,1.0,796.55,500,0,0,0,190,nan,384.33963,nan
148,1.0,696.57,500,0,1,0,186,nan,332.725861,nan
149,1.0,796.55,500,0,1,0,190,nan,378.401276,nan
150,1.0,696.54,500,0,1,0,192,nan,331.568176,nan
151,1.0,796.54,500,0,1,0,192,nan,378.172058,nan
152,1.0,796.47,500,0,0,0,206,nan,394.45224,nan
153,1.0,796.545,500,0,1,0,191,nan,364.818634,nan
154,1.0,796.43,500,0,1,0,214,nan,372.539948,nan
155,1.0,896.585,500,0,0,0,183,nan,439.835541,nan
156,1.0,896.55,500,0,0,0,190,nan,402.860107,nan
157,1.0,896.545,500,0,0,0,191,nan,412.939301,nan
158,1.0,796.53,500,0,0,0,194,nan,372.777222,nan
159,1.0,896.525,500,0,0,0,195,nan,415.62854,nan
160,1.0,796.5,500,0,1,0,200,nan,355.677338,nan
161,1.0,896.515,500,0,0,0,197,nan,440.065033,nan
162,1.0,896.45,500,0,0,0,210,nan,408.797333,nan
163,1.0,896.48,500,0,0,0,204,nan,431.613708,nan
164,1.0,796.475,500,0,1,0,205,nan,376.17746,nan
165,1.0,796.42,500,0,1,0,216,nan,358.280304,nan
166,1.0,896.43,500,0,0,0,214,nan,430.421356,nan
167,1.0,896.44,500,0,0,0,212,nan,410.785919,nan
168,1.0,896.53,500,0,1,0,194,nan,420.362518,nan
169,1.0,896.5,500,0,1,0,200,nan,411.614624,nan
170,1.0,896.455,500,0,1,0,209,nan,402.247101,nan
171,1.0,996.445,500,0,0,0,211,nan,487.017456,nan
172,1.0,996.355,500,0,0,0,229,nan,466.812653,nan
173,1.0,796.44,500,0,1,0,212,nan,359.46637,nan
174,1.0,896.245,500,0,0,0,251,nan,412.408905,nan
175,1.0,996.33,500,0,0,0,234,nan,472.899017,nan
176,1.0,896.4,500,0,1,0,220,nan,412.564423,nan
177,1.0,796.295,500,0,1,0,241,nan,366.776337,nan
178,1.0,896.35,500,0,0,0,230,nan,426.221222,nan
