episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
84,1.0,4.18,500,1,52,500,1,46.0,0.722188,0.175867,nan
85,1.0,4.87,500,1,42,500,1,32.0,0.690431,0.285215,nan
86,1.0,-4.76,500,0,34,500,0,nan,0.001545,0.002323,nan
87,1.0,-5.43,500,0,47,500,0,nan,0.002381,-0.044499,nan
88,1.0,-5.53,500,0,45,500,0,nan,0.002735,-0.036704,nan
89,1.0,4.6,500,1,47,500,1,26.0,0.676288,0.428721,nan
90,1.0,4.06,500,1,57,500,1,15.0,0.695711,0.356906,nan
91,1.0,-6.1,500,0,60,500,0,nan,0.002093,-0.057786,nan
92,1.0,14.15,500,1,56,500,2,18.0,1.304633,0.855053,nan
93,1.0,4.48,500,1,49,500,1,26.0,0.663662,0.218299,nan
94,1.0,4.76,500,1,45,500,1,21.0,0.620113,0.229048,nan
95,1.0,-5.61,500,0,50,500,0,nan,0.01095,-0.242151,nan
96,1.0,4.81,500,1,42,500,1,34.0,0.635033,0.056105,nan
97,1.0,4.17,500,1,55,500,1,12.0,0.630626,0.076529,nan
98,1.0,14.34,500,1,54,500,2,13.5,1.21238,0.470041,nan
99,1.0,4.19,500,1,54,500,1,9.0,0.655564,-0.015498,nan
100,1.0,-5.45,500,0,47,500,0,nan,0.030639,-0.456038,nan
101,1.0,-5.41,500,0,48,500,0,nan,0.133872,-0.636365,nan
102,1.0,13.73,500,1,61,500,2,16.5,1.12415,0.322298,nan
103,1.0,23.89,500,1,59,500,3,11.666666666666666,1.763234,0.84206,nan
104,1.0,4.15,500,1,55,500,1,20.0,0.55674,-0.119275,nan
105,1.0,24.13,500,1,56,500,3,18.333333333333332,1.535701,0.52261,nan
106,1.0,32.95,500,1,76,500,4,22.75,2.101742,0.726909,nan
107,1.0,23.83,500,1,61,500,3,10.666666666666666,1.611867,0.802537,nan
108,1.0,43.04,500,1,77,500,5,20.0,2.544546,0.903934,nan
109,1.0,13.84,500,1,64,500,2,19.0,0.926571,0.00625,nan
110,1.0,32.78,500,1,81,500,4,19.75,1.943464,0.205913,nan
111,1.0,23.93,500,1,59,500,3,14.333333333333334,1.372492,0.06042,nan
112,1.0,62.18,500,1,89,500,7,13.571428571428571,3.16408,1.542968,nan
113,1.0,52.33,500,1,87,500,6,15.666666666666666,2.401015,0.794885,nan
114,1.0,61.81,500,1,95,500,7,19.571428571428573,2.841092,0.586438,nan
115,1.0,72.58,500,1,85,500,8,13.125,2.906702,1.414882,nan
116,1.0,70.42,500,1,124,500,8,20.25,3.24476,0.326465,nan
117,1.0,79.86,500,1,136,500,9,17.11111111111111,3.246911,0.684568,nan
118,1.0,71.09,500,1,110,500,8,17.25,2.785062,0.206815,nan
119,1.0,70.64,500,1,118,500,8,12.875,2.439002,0.571287,nan
120,1.0,79.55,500,1,140,500,9,14.88888888888889,3.177727,0.608347,nan
121,1.0,89.36,500,1,144,500,10,13.6,3.002097,0.852096,nan
122,1.0,70.37,500,1,123,500,8,12.875,2.090935,0.357958,nan
123,1.0,60.21,500,1,127,500,7,13.285714285714286,2.214396,-0.235848,nan
124,1.0,69.42,500,1,145,500,8,14.75,2.079557,-0.22116,nan
125,1.0,79.55,500,1,141,500,9,11.11111111111111,2.183329,0.615235,nan
126,1.0,88.21,500,1,167,500,10,13.7,2.66498,0.101914,nan
127,1.0,98.47,500,1,160,500,11,11.818181818181818,2.227064,0.625104,nan
128,1.0,98.89,500,1,154,500,11,11.181818181818182,2.208578,0.658915,nan
129,1.0,108.31,500,1,167,500,12,11.583333333333334,2.377133,0.853398,nan
130,1.0,79.18,500,1,149,500,9,11.333333333333334,1.486138,-0.137502,nan
131,1.0,137.11,500,1,189,500,15,11.266666666666667,2.828955,1.206931,nan
132,1.0,137.32,500,1,185,500,15,11.733333333333333,2.586073,0.624612,nan
133,1.0,137.57,500,1,180,500,15,12.333333333333334,2.845897,0.052461,nan
134,1.0,156.69,500,1,195,500,17,11.058823529411764,3.154358,0.80751,nan
135,1.0,137.35,500,1,182,500,15,12.8,3.195297,-0.846553,nan
136,1.0,125.83,500,1,214,500,14,13.857142857142858,3.911905,-1.718014,nan
137,1.0,156.38,500,1,203,500,17,11.529411764705882,3.399767,-0.120259,nan
138,1.0,154.68,500,1,238,500,17,12.294117647058824,3.123966,0.063843,nan
139,1.0,174.43,500,1,242,500,19,11.105263157894736,2.804098,1.339874,nan
140,1.0,154.52,500,1,242,500,17,12.823529411764707,2.878131,0.02739,nan
141,1.0,165.16,500,1,228,500,18,13.833333333333334,3.597205,-0.269864,nan
142,1.0,164.29,500,1,250,500,18,12.055555555555555,2.823199,0.810236,nan
143,1.0,184.01,500,1,253,500,20,11.2,2.901804,1.728348,nan
144,1.0,183.43,500,1,264,500,20,10.0,3.231286,2.089067,nan
145,1.0,182.94,500,1,273,500,20,10.7,2.67983,1.555294,nan
146,1.0,173.13,500,1,266,500,19,10.157894736842104,2.485947,1.220349,nan
147,1.0,172.76,500,1,277,500,19,11.631578947368421,2.287566,-0.060243,nan
148,1.0,182.98,500,1,273,500,20,11.2,2.851376,0.079409,nan
149,1.0,162.24,500,1,286,500,18,11.777777777777779,2.744799,-1.121577,nan
150,1.0,191.63,500,1,302,500,21,11.142857142857142,2.901093,-0.267055,nan
151,1.0,172.96,500,1,274,500,19,10.578947368421053,1.94326,-0.399483,nan
152,1.0,192.01,500,1,296,500,21,10.80952380952381,2.976695,-0.473482,nan
153,1.0,192.79,500,1,273,500,21,11.476190476190476,3.085258,-0.462523,nan
154,1.0,212.05,500,1,292,500,23,10.91304347826087,2.760944,0.139651,nan
155,1.0,191.68,500,1,299,500,21,11.285714285714286,3.083897,-0.318665,nan
156,1.0,201.77,500,1,297,500,22,10.545454545454545,1.977765,0.587705,nan
157,1.0,212.17,500,1,291,500,23,10.608695652173912,2.128109,0.782534,nan
158,1.0,191.83,500,1,297,500,21,11.0,2.392557,0.027802,nan
159,1.0,201.93,500,1,295,500,22,9.909090909090908,2.204023,1.088201,nan
160,1.0,181.53,500,1,303,500,20,11.45,2.227769,-0.623181,nan
161,1.0,211.11,500,1,310,500,23,11.173913043478262,1.96706,0.213173,nan
162,1.0,190.67,500,1,321,500,21,11.333333333333334,3.71183,-0.701465,nan
163,1.0,222.0,500,1,295,500,24,10.041666666666666,2.4625,1.063533,nan
164,1.0,211.44,500,1,305,500,23,11.0,2.395147,0.27286,nan
165,1.0,201.24,500,1,309,500,22,11.090909090909092,3.123864,-0.309831,nan
166,1.0,191.97,500,1,293,500,21,11.476190476190476,2.468773,-0.690082,nan
167,1.0,201.88,500,1,295,500,22,11.590909090909092,2.258512,-0.383975,nan
168,1.0,220.45,500,1,328,500,24,10.583333333333334,2.05379,0.907007,nan
169,1.0,200.57,500,1,321,500,22,11.954545454545455,2.463975,-0.656433,nan
170,1.0,201.43,500,1,301,500,22,11.636363636363637,2.570076,-0.663075,nan
171,1.0,201.5,500,1,305,500,22,11.409090909090908,1.836509,-0.164602,nan
172,1.0,201.27,500,1,306,500,22,11.318181818181818,2.080496,-0.138832,nan
173,1.0,220.13,500,1,332,500,24,10.333333333333334,1.953394,1.290773,nan
174,1.0,190.42,500,1,327,500,21,11.095238095238095,2.480631,-0.279759,nan
175,1.0,200.65,500,1,321,500,22,11.363636363636363,1.827974,-0.244946,nan
176,1.0,211.41,500,1,305,500,23,10.130434782608695,2.413434,0.567731,nan
177,1.0,220.57,500,1,321,500,24,10.541666666666666,2.173681,1.017947,nan
178,1.0,201.49,500,1,303,500,22,10.772727272727273,2.106037,-0.002217,nan
179,1.0,211.11,500,1,311,500,23,10.565217391304348,2.1887,0.090395,nan
180,1.0,231.33,500,1,306,500,25,9.44,2.030526,1.24929,nan
181,1.0,210.82,500,1,319,500,23,11.043478260869565,2.013594,-0.739826,nan
182,1.0,200.86,500,1,316,500,22,10.818181818181818,2.249198,-0.909936,nan
183,1.0,210.59,500,1,324,500,23,11.0,2.687183,-0.916802,nan
184,1.0,219.71,500,1,341,500,24,10.75,1.884742,-0.322673,nan
185,1.0,200.89,500,1,318,500,22,11.090909090909092,2.033683,-0.944469,nan
186,1.0,211.16,500,1,308,500,23,10.521739130434783,1.501104,-0.127145,nan
187,1.0,210.68,500,1,321,500,23,11.043478260869565,2.186332,-0.297237,nan
188,1.0,210.93,500,1,314,500,23,10.043478260869565,2.689209,0.468584,nan
189,1.0,220.69,500,1,320,500,24,10.0,1.64801,0.82904,nan
190,1.0,220.58,500,1,323,500,24,9.666666666666666,1.716723,1.117516,nan
191,1.0,231.3,500,1,309,500,25,10.2,1.807954,0.774422,nan
192,1.0,231.91,500,1,294,500,25,9.2,2.043977,1.124246,nan
