episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-13.55,500,1,241,1,380.0,4.587865,-5.702871,nan
2,1.0,-12.35,500,1,257,3,88.0,4.062464,-5.419948,nan
3,1.0,-13.65,500,1,263,2,149.5,4.152959,-5.411471,nan
4,1.0,-14.7,500,1,284,2,21.5,4.992354,-6.194949,nan
5,1.0,-12.4,500,1,278,4,67.0,3.176774,-4.66619,nan
6,1.0,-13.65,500,1,283,3,71.0,3.761749,-5.011546,nan
7,1.0,-13.9,500,1,288,3,64.66666666666667,3.63455,-4.90091,nan
8,1.0,-15.65,500,1,303,2,135.5,4.763448,-5.663087,nan
9,1.0,-11.8,500,1,266,4,45.75,2.266117,-3.641561,nan
10,1.0,-13.9,500,1,268,2,153.0,3.516214,-4.520254,nan
11,1.0,-12.6,500,1,282,4,96.25,2.882737,-4.261247,nan
12,1.0,-11.9,500,1,288,5,59.8,1.918693,-3.249777,nan
13,1.0,-13.6,500,1,262,2,63.0,2.759849,-4.138304,nan
14,1.0,-13.0,500,1,270,3,24.333333333333332,2.264614,-3.681019,nan
15,1.0,-12.85,500,1,267,3,63.0,1.869253,-3.346977,nan
16,1.0,-13.4,500,1,278,3,102.33333333333333,1.940063,-3.426444,nan
17,1.0,-11.45,500,1,259,4,88.25,1.256176,-2.040546,nan
18,1.0,-13.35,500,1,277,3,102.66666666666667,2.03096,-3.500607,nan
19,1.0,-12.15,500,1,273,4,67.25,1.392645,-2.30115,nan
20,1.0,-9.8,500,1,266,6,31.5,0.575776,-1.278842,nan
21,1.0,-12.0,500,1,270,4,34.75,0.885118,-2.142798,nan
22,1.0,-12.4,500,1,278,4,32.0,1.254338,-2.288823,nan
23,1.0,-13.55,500,1,281,3,46.0,1.562983,-2.669174,nan
24,1.0,-12.8,500,1,286,4,30.25,0.90886,-1.590487,nan
25,1.0,-11.45,500,1,259,4,28.75,0.87856,-1.638938,nan
26,1.0,-12.25,500,1,275,4,27.75,0.615079,-1.326372,nan
27,1.0,-12.5,500,1,260,3,32.333333333333336,0.77846,-1.448486,nan
28,1.0,-8.55,500,1,241,6,34.833333333333336,0.608101,0.957227,nan
29,1.0,-12.05,500,1,251,3,47.333333333333336,0.627677,-0.985293,nan
30,1.0,-9.5,500,1,260,6,39.166666666666664,0.718621,0.583845,nan
31,1.0,-10.0,500,1,250,5,44.8,0.782011,0.380709,nan
32,1.0,-12.25,500,1,255,3,38.666666666666664,1.028834,-0.55088,nan
33,1.0,-11.7,500,1,244,3,56.333333333333336,0.359064,-0.293824,nan
34,1.0,-12.55,500,1,241,2,71.0,0.447598,-0.506146,nan
35,1.0,-10.2,500,1,254,5,42.6,0.581304,0.810226,nan
36,1.0,-8.2,500,1,234,6,18.5,0.859773,1.529713,nan
37,1.0,-10.3,500,1,236,4,34.75,0.721197,0.62213,nan
38,1.0,-11.05,500,1,251,4,18.0,0.60358,0.428415,nan
39,1.0,-9.9,500,1,248,5,24.4,0.443179,0.563087,nan
40,1.0,-10.25,500,1,235,4,65.75,0.538886,0.439016,nan
41,1.0,-8.4,500,1,238,6,22.0,0.624672,1.38118,nan
42,1.0,-8.2,500,1,214,5,43.0,1.002385,1.972255,nan
43,1.0,-8.75,500,1,225,5,37.2,0.622992,1.488351,nan
44,1.0,-7.65,500,1,223,6,30.0,0.748496,1.897421,nan
45,1.0,-7.65,500,1,223,6,29.666666666666668,0.873137,1.867527,nan
46,1.0,-9.1,500,1,232,5,43.0,0.794292,1.000715,nan
47,1.0,-9.7,500,1,244,5,32.8,0.952136,0.385981,nan
48,1.0,-8.45,500,1,199,4,38.75,0.949008,0.952398,nan
49,1.0,-6.8,500,1,206,6,36.666666666666664,1.196373,2.052504,nan
50,1.0,-7.35,500,1,217,6,29.833333333333332,0.496426,1.323027,nan
51,1.0,-7.0,500,1,210,6,24.166666666666668,0.981088,1.949929,nan
52,1.0,-5.5,500,1,200,7,29.571428571428573,0.750312,2.18788,nan
53,1.0,-6.65,500,1,203,6,35.166666666666664,0.550257,1.513214,nan
54,1.0,-8.35,500,1,217,5,33.2,0.295235,0.257301,nan
55,1.0,-5.5,500,1,200,7,22.714285714285715,0.673385,2.040991,nan
56,1.0,-5.25,500,1,195,7,41.714285714285715,0.969268,1.546008,nan
57,1.0,-6.85,500,1,187,5,45.2,0.399047,1.146066,nan
58,1.0,-6.35,500,1,177,5,50.2,0.379122,0.946971,nan
59,1.0,-4.65,500,1,183,7,28.571428571428573,0.533741,1.562688,nan
60,1.0,-6.8,500,1,206,6,38.333333333333336,0.379977,0.6013,nan
61,1.0,-5.6,500,1,182,6,44.333333333333336,0.279174,1.057664,nan
62,1.0,-4.4,500,1,178,7,37.285714285714285,0.458141,1.390621,nan
63,1.0,-5.95,500,1,189,6,30.166666666666668,0.237756,0.766568,nan
64,1.0,-6.0,500,1,170,5,27.8,0.195869,0.295479,nan
65,1.0,-6.4,500,1,178,5,43.0,0.164511,0.303952,nan
66,1.0,-5.2,500,1,174,6,41.666666666666664,0.673407,1.059301,nan
67,1.0,-2.9,500,1,168,8,20.875,0.570505,1.785549,nan
68,1.0,-4.0,500,1,170,7,30.0,0.29229,1.138697,nan
69,1.0,-4.1,500,1,172,7,33.42857142857143,0.292939,1.001933,nan
70,1.0,-4.75,500,1,145,5,50.8,0.389742,0.856734,nan
71,1.0,-5.6,500,1,162,5,31.2,0.275886,0.40424,nan
72,1.0,-4.1,500,1,152,6,29.833333333333332,0.199955,0.828084,nan
73,1.0,-3.35,500,1,157,7,23.857142857142858,0.35581,1.261175,nan
74,1.0,-4.55,500,1,161,6,29.5,0.261112,0.228911,nan
75,1.0,-4.1,500,1,172,7,30.857142857142858,0.288972,0.689995,nan
76,1.0,-3.15,500,1,133,6,27.5,0.283334,1.115316,nan
77,1.0,-2.8,500,1,146,7,27.571428571428573,0.366228,1.175015,nan
78,1.0,-3.4,500,1,138,6,27.833333333333332,0.207278,0.548831,nan
79,1.0,-5.35,500,1,157,5,28.6,0.150227,-0.197271,nan
80,1.0,-2.75,500,1,145,7,32.857142857142854,0.265378,0.839868,nan
81,1.0,-1.85,500,1,147,8,21.75,0.423938,1.486866,nan
82,1.0,-1.6,500,1,142,8,28.5,0.36206,1.438728,nan
83,1.0,-3.45,500,1,159,7,32.857142857142854,0.208387,0.249997,nan
84,1.0,-1.55,500,1,141,8,24.75,0.310678,1.278746,nan
85,1.0,-2.15,500,1,133,7,28.285714285714285,0.217628,0.940738,nan
86,1.0,-4.7,500,1,164,6,34.333333333333336,0.177517,-0.401746,nan
87,1.0,-1.95,500,1,129,7,41.285714285714285,0.202692,0.812748,nan
88,1.0,-2.25,500,1,135,7,24.428571428571427,0.170527,0.815013,nan
89,1.0,-3.55,500,1,141,6,30.666666666666668,0.185697,0.264751,nan
90,1.0,-0.8,500,1,126,8,31.125,0.648857,1.459396,nan
91,1.0,-1.65,500,1,123,7,18.142857142857142,0.210206,0.83681,nan
92,1.0,-3.2,500,1,134,6,32.333333333333336,0.079609,0.144031,nan
93,1.0,-0.4,500,1,138,9,28.88888888888889,0.301969,1.27078,nan
94,1.0,-1.8,500,1,126,7,30.142857142857142,0.149381,0.703145,nan
95,1.0,-0.5,500,1,140,9,23.333333333333332,0.437443,1.572031,nan
96,1.0,-0.1,500,1,132,9,31.666666666666668,0.384905,1.480743,nan
97,1.0,0.85,500,1,133,10,27.7,0.491551,1.680184,nan
98,1.0,-1.4,500,1,118,7,33.57142857142857,0.210658,0.774541,nan
99,1.0,-1.8,500,1,126,7,31.857142857142858,0.14267,0.493929,nan
100,1.0,-0.5,500,1,140,9,26.333333333333332,0.306162,1.142517,nan
101,1.0,-1.35,500,1,117,7,23.857142857142858,0.183507,0.594549,nan
102,1.0,-3.05,500,1,131,6,28.333333333333332,0.079476,-0.257575,nan
103,1.0,-1.95,500,1,129,7,41.142857142857146,0.07555,-0.004794,nan
104,1.0,-0.0,500,1,130,9,28.0,0.210844,1.070731,nan
105,1.0,-1.05,500,1,131,8,24.875,0.197705,0.644044,nan
106,1.0,0.2,500,1,126,9,26.77777777777778,0.247949,1.128273,nan
107,1.0,-0.25,500,1,135,9,30.22222222222222,0.183731,0.801265,nan
108,1.0,0.35,500,1,123,9,31.22222222222222,0.260893,0.862116,nan
109,1.0,-0.3,500,1,116,8,28.875,0.173644,0.848523,nan
110,1.0,-0.3,500,1,136,9,26.333333333333332,0.147558,0.516382,nan
111,1.0,0.8,500,1,134,10,26.7,0.232455,1.163518,nan
112,1.0,1.3,500,1,124,10,23.3,0.33844,1.302891,nan
113,1.0,0.15,500,1,107,8,32.375,0.167829,0.787335,nan
114,1.0,2.4,500,1,122,11,20.272727272727273,0.519528,1.809091,nan
115,1.0,2.15,500,1,107,10,26.4,0.436545,1.668638,nan
116,1.0,2.05,500,1,109,10,22.2,0.568131,1.895642,nan
117,1.0,0.45,500,1,121,9,21.666666666666668,0.19157,0.782548,nan
118,1.0,1.9,500,1,112,10,22.9,0.427121,1.488321,nan
119,1.0,1.8,500,1,114,10,21.7,0.297799,1.29784,nan
120,1.0,2.1,500,1,128,11,22.272727272727273,0.308834,1.24373,nan
121,1.0,3.05,500,1,109,11,25.727272727272727,0.452157,1.690621,nan
122,1.0,0.9,500,1,132,10,27.7,0.18099,0.803304,nan
123,1.0,2.25,500,1,125,11,22.181818181818183,0.28632,1.232144,nan
124,1.0,1.05,500,1,109,9,26.444444444444443,0.244482,0.817067,nan
125,1.0,1.2,500,1,126,10,21.5,0.134625,0.676873,nan
126,1.0,1.2,500,1,126,10,25.8,0.124959,0.565597,nan
