episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
68,2.0,-27.5,500,0,500,500,0,nan,21.241488,-101.646507,nan
69,2.0,-27.5,500,0,500,500,0,nan,27.899296,-89.090057,nan
70,2.0,-27.5,500,0,500,500,0,nan,28.286011,-80.124878,nan
71,2.0,-27.5,500,0,500,500,0,nan,28.306982,-48.779938,nan
72,2.0,38.85,500,1,369,500,6,41.5,64.812462,37.529366,nan
73,2.0,0.21,500,1,343,500,2,112.5,1.200593,-8.50523,nan
74,2.0,-18.53,500,0,319,500,0,nan,3.238177,-7.688555,nan
75,2.0,-7.6,500,1,299,500,1,181.0,13.486437,-37.422821,nan
76,2.0,-7.23,500,1,292,500,1,20.0,19.958593,-44.682442,nan
77,2.0,-16.99,500,0,287,500,0,nan,8.65609,-26.917366,nan
78,2.0,4.14,500,1,265,500,2,234.5,5.851451,-18.94957,nan
79,2.0,93.05,500,1,286,500,11,26.545454545454547,27.860819,-27.195503,nan
80,2.0,33.6,500,1,276,500,5,10.4,0.439611,-7.510052,nan
81,2.0,62.95,500,1,287,500,8,10.0,0.123755,-1.905002,nan
82,2.0,51.3,500,1,321,500,7,7.428571428571429,0.932725,-5.078422,nan
83,2.0,111.63,500,1,316,500,13,12.0,2.030505,17.403868,nan
84,2.0,121.53,500,1,317,500,14,12.142857142857142,14.85404,60.017326,nan
85,2.0,190.91,500,1,329,500,21,11.714285714285714,41.553017,49.932957,nan
86,2.0,131.31,500,1,322,500,15,23.4,24.154917,64.18866,nan
87,2.0,238.59,500,1,377,500,26,9.307692307692308,380.502869,302.388489,nan
88,2.0,316.69,500,1,415,500,34,7.382352941176471,418.185486,351.894409,nan
89,2.0,326.81,500,1,412,500,35,7.828571428571428,1811.154907,728.489441,nan
90,2.0,307.0,500,1,409,500,33,7.757575757575758,4011.804688,960.356812,nan
91,2.0,335.92,500,1,430,500,36,7.083333333333333,4013.614746,929.171875,nan
92,2.0,365.25,500,1,444,500,39,6.333333333333333,5757.541504,1306.953979,nan
93,2.0,374.93,500,1,450,500,40,6.2,5080.526367,1521.292725,nan
94,2.0,364.91,500,1,451,500,39,6.256410256410256,5755.625,1369.326904,nan
95,2.0,345.18,500,1,445,500,37,6.4324324324324325,5516.59668,1152.990356,nan
96,2.0,374.25,500,1,464,500,40,6.4,4911.83252,1419.781616,nan
97,2.0,373.91,500,1,471,500,40,6.125,6165.563477,1661.963135,nan
98,2.0,383.77,500,1,474,500,41,6.048780487804878,5504.56543,1557.43335,nan
99,2.0,384.06,500,1,468,500,41,6.146341463414634,5477.713867,1572.296143,nan
100,2.0,384.24,500,1,465,500,41,6.0,6443.924805,1493.144897,nan
101,2.0,374.14,500,1,467,500,40,6.25,6357.993164,1556.640381,nan
102,2.0,384.03,500,1,469,500,41,6.097560975609756,5318.669922,1319.990845,nan
