episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-3.25,500,1,215,1,37.0,4.401414,5.190731,nan
2,1.0,-8.9,500,0,128,0,nan,2.878305,4.285503,nan
3,1.0,-6.6,500,0,82,0,nan,1.942995,4.047944,nan
4,1.0,-6.7,500,0,84,0,nan,1.921114,3.70235,nan
5,1.0,-6.65,500,0,83,0,nan,2.088516,3.684804,nan
6,1.0,-6.7,500,0,84,0,nan,1.892473,5.273464,nan
7,1.0,-6.4,500,0,78,0,nan,1.703811,3.990025,nan
8,1.0,-6.9,500,0,88,0,nan,1.435829,3.766964,nan
9,1.0,-6.35,500,0,77,0,nan,1.694951,4.060422,nan
10,1.0,-6.55,500,0,81,0,nan,1.938819,3.350362,nan
11,1.0,-5.9,500,0,68,0,nan,1.472033,3.022159,nan
12,1.0,-7.95,500,0,109,0,nan,1.96844,4.178395,nan
13,1.0,-6.25,500,0,75,0,nan,2.158368,3.763095,nan
14,1.0,-6.3,500,0,76,0,nan,1.42855,4.411793,nan
15,1.0,-6.05,500,0,71,0,nan,2.054171,3.734124,nan
16,1.0,-6.05,500,0,71,0,nan,1.222187,2.664858,nan
17,1.0,-6.7,500,0,84,0,nan,1.521205,3.933403,nan
18,1.0,-5.8,500,0,66,0,nan,1.040286,3.31948,nan
19,1.0,-6.5,500,0,80,0,nan,1.599333,4.520172,nan
20,1.0,-5.95,500,0,69,0,nan,1.223738,3.169817,nan
21,1.0,-5.8,500,0,66,0,nan,1.096856,3.232173,nan
22,1.0,-6.45,500,0,79,0,nan,1.644458,3.799065,nan
23,1.0,-6.35,500,0,77,0,nan,1.891203,5.261428,nan
24,1.0,-5.6,500,0,62,0,nan,1.637118,3.472224,nan
25,1.0,-6.5,500,0,80,0,nan,1.517342,3.124062,nan
26,1.0,-6.75,500,0,85,0,nan,2.327638,4.246331,nan
27,1.0,-6.8,500,0,86,0,nan,1.911722,3.900198,nan
28,1.0,-6.4,500,0,78,0,nan,1.180845,3.283412,nan
29,1.0,-6.45,500,0,79,0,nan,1.69228,3.654144,nan
30,1.0,-5.65,500,0,63,0,nan,1.222344,3.679749,nan
31,1.0,-6.1,500,0,72,0,nan,1.287813,3.628973,nan
32,1.0,-5.55,500,0,61,0,nan,1.240407,3.932737,nan
33,1.0,-5.95,500,0,69,0,nan,1.387345,3.185463,nan
34,1.0,-6.55,500,0,81,0,nan,1.697569,4.541941,nan
35,1.0,-5.85,500,0,67,0,nan,1.587241,2.955536,nan
36,1.0,-6.1,500,0,72,0,nan,1.2952,4.088246,nan
37,1.0,-6.0,500,0,70,0,nan,1.265504,3.62958,nan
38,1.0,-5.85,500,0,67,0,nan,1.255629,4.132601,nan
39,1.0,-5.85,500,0,67,0,nan,1.275431,3.227333,nan
40,1.0,-6.05,500,0,71,0,nan,1.297087,3.653697,nan
41,1.0,-6.25,500,0,75,0,nan,1.151651,4.49506,nan
42,1.0,-6.05,500,0,71,0,nan,1.419768,3.981454,nan
43,1.0,-5.05,500,0,51,0,nan,1.002579,3.878703,nan
44,1.0,-5.9,500,0,68,0,nan,0.998432,2.992036,nan
45,1.0,-5.8,500,0,66,0,nan,1.081229,2.912681,nan
46,1.0,-5.65,500,0,63,0,nan,1.31295,3.216435,nan
47,1.0,-5.35,500,0,57,0,nan,1.20861,3.013315,nan
48,1.0,-5.35,500,0,57,0,nan,0.91051,2.759977,nan
49,1.0,-5.3,500,0,56,0,nan,1.229425,3.917018,nan
50,1.0,-5.8,500,0,66,0,nan,1.158868,2.954969,nan
51,1.0,4.25,500,1,65,1,18.0,25.832474,9.947404,nan
52,1.0,-6.0,500,0,70,0,nan,1.303,3.05194,nan
53,1.0,-5.85,500,0,67,0,nan,1.159762,3.560527,nan
54,1.0,-6.5,500,0,80,0,nan,1.755883,4.749619,nan
55,1.0,-5.65,500,0,63,0,nan,1.099878,3.019199,nan
56,1.0,-5.75,500,0,65,0,nan,1.201578,3.323704,nan
57,1.0,-6.05,500,0,71,0,nan,1.276413,4.63617,nan
58,1.0,-5.6,500,0,62,0,nan,1.28458,3.309143,nan
59,1.0,-5.95,500,0,69,0,nan,1.489601,4.274825,nan
60,1.0,-5.15,500,0,53,0,nan,1.040579,2.983884,nan
61,1.0,-5.05,500,0,51,0,nan,0.867264,2.99497,nan
62,1.0,-5.35,500,0,57,0,nan,1.250797,3.076483,nan
63,1.0,-6.15,500,0,73,0,nan,1.213319,3.934827,nan
64,1.0,-4.75,500,0,45,0,nan,0.854854,2.767365,nan
65,1.0,-5.05,500,0,51,0,nan,0.927571,3.062742,nan
66,1.0,-6.2,500,0,74,0,nan,1.37563,3.687372,nan
67,1.0,-5.1,500,0,52,0,nan,0.841455,3.274933,nan
68,1.0,4.85,500,1,53,1,27.0,0.52189,2.120862,nan
69,1.0,-5.55,500,0,61,0,nan,0.854187,3.088832,nan
70,1.0,-5.15,500,0,53,0,nan,0.832931,3.790606,nan
71,1.0,-5.0,500,0,50,0,nan,0.807112,2.877462,nan
72,1.0,-5.0,500,0,50,0,nan,0.92738,3.558731,nan
73,1.0,-5.45,500,0,59,0,nan,1.047008,3.436217,nan
74,1.0,-6.15,500,0,73,0,nan,1.209499,3.861892,nan
75,1.0,-5.95,500,0,69,0,nan,1.315078,3.929955,nan
76,1.0,-5.25,500,0,55,0,nan,1.123442,4.216907,nan
77,1.0,-5.75,500,0,65,0,nan,1.479386,3.989207,nan
78,1.0,-5.2,500,0,54,0,nan,1.020065,3.834256,nan
79,1.0,-5.3,500,0,56,0,nan,0.801464,3.069672,nan
80,1.0,-5.55,500,0,61,0,nan,1.263607,4.035054,nan
81,1.0,-5.85,500,0,67,0,nan,1.101552,5.608743,nan
82,1.0,-5.55,500,0,61,0,nan,1.491271,4.456566,nan
83,1.0,5.2,500,1,46,1,42.0,0.676326,2.439935,nan
84,1.0,4.85,500,1,53,1,15.0,0.499018,2.266818,nan
85,1.0,-4.75,500,0,45,0,nan,0.322039,1.690721,nan
86,1.0,44.05,500,1,69,5,55.2,0.286718,2.283548,nan
87,1.0,64.8,500,1,54,7,28.142857142857142,0.053521,0.825909,nan
88,1.0,64.4,500,1,62,7,30.285714285714285,0.139695,-1.182869,nan
89,1.0,64.5,500,1,60,7,38.285714285714285,0.002341,0.130789,nan
90,1.0,64.8,500,1,54,7,27.857142857142858,0.00306,0.17329,nan
91,1.0,74.3,500,1,64,8,24.125,0.005737,-0.255466,nan
92,1.0,64.9,500,1,52,7,31.0,0.296163,-1.960308,nan
93,1.0,63.9,500,1,72,7,30.0,0.077598,-0.877222,nan
94,1.0,74.7,500,1,56,8,27.25,0.351016,-2.608372,nan
95,1.0,64.0,500,1,70,7,34.0,0.251466,-1.574137,nan
96,1.0,63.55,500,1,79,7,34.42857142857143,0.006186,-0.246925,nan
97,1.0,73.85,500,1,73,8,28.875,0.063457,-0.951763,nan
98,1.0,93.15,500,1,87,10,22.7,0.288526,-1.804729,nan
99,1.0,73.95,500,1,71,8,20.75,0.413253,-2.212942,nan
100,1.0,64.5,500,1,60,7,29.571428571428573,0.252408,-1.548806,nan
101,1.0,73.05,500,1,89,8,32.25,0.201437,-1.457526,nan
102,1.0,63.35,500,1,83,7,30.571428571428573,0.000365,0.002323,nan
103,1.0,83.3,500,1,84,9,30.0,0.254327,-2.038123,nan
104,1.0,73.95,500,1,71,8,30.0,0.05234,-0.986263,nan
105,1.0,74.2,500,1,66,8,30.875,33.478355,13.604663,nan
106,1.0,73.95,500,1,71,8,32.5,0.231581,-2.108334,nan
107,1.0,74.0,500,1,70,8,37.75,0.000576,0.061768,nan
108,1.0,83.95,500,1,71,9,24.666666666666668,0.002228,-0.115878,nan
109,1.0,63.8,500,1,74,7,25.285714285714285,0.350455,-2.391171,nan
110,1.0,84.05,500,1,69,9,26.22222222222222,81.330338,31.136932,nan
111,1.0,83.65,500,1,77,9,26.11111111111111,0.048531,-0.787324,nan
112,1.0,103.45,500,1,81,11,18.363636363636363,0.064645,-0.859366,nan
113,1.0,43.45,500,1,81,5,56.6,0.049898,-0.710824,nan
114,1.0,74.05,500,1,69,8,29.625,0.093933,-1.060677,nan
115,1.0,93.05,500,1,89,10,27.3,0.000905,-0.094063,nan
116,1.0,73.35,500,1,83,8,37.375,0.209888,-1.679987,nan
117,1.0,93.2,500,1,86,10,24.1,0.139808,-1.639898,nan
118,1.0,83.15,500,1,87,9,24.88888888888889,0.03335,-0.701445,nan
119,1.0,83.25,500,1,85,9,23.444444444444443,0.025883,-0.593526,nan
120,1.0,103.0,500,1,90,11,19.818181818181817,0.050968,-0.885792,nan
121,1.0,82.55,500,1,99,9,21.0,0.03684,-0.857029,nan
122,1.0,72.8,500,1,94,8,28.875,0.145737,-1.394602,nan
123,1.0,73.2,500,1,86,8,24.125,1.141448,-3.685445,nan
124,1.0,82.85,500,1,93,9,28.444444444444443,0.1509,-1.426564,nan
125,1.0,82.95,500,1,91,9,26.22222222222222,0.12104,-1.277216,nan
126,1.0,102.85,500,1,93,11,23.454545454545453,0.905739,-3.467667,nan
127,1.0,82.9,500,1,92,9,31.555555555555557,0.122499,-1.25063,nan
128,1.0,83.25,500,1,85,9,22.555555555555557,0.569066,-2.391582,nan
129,1.0,72.55,500,1,99,8,32.0,0.384394,-2.203296,nan
130,1.0,72.35,500,1,103,8,32.375,53.528969,20.940081,nan
131,1.0,62.8,500,1,94,7,36.285714285714285,0.016486,-0.499045,nan
132,1.0,92.55,500,1,99,10,23.2,0.036856,-0.576487,nan
133,1.0,83.25,500,1,85,9,19.333333333333332,0.091305,-1.111223,nan
134,1.0,82.75,500,1,95,9,25.88888888888889,0.005419,-0.288272,nan
135,1.0,102.1,500,1,108,11,24.454545454545453,0.010262,-0.332012,nan
136,1.0,92.85,500,1,93,10,25.8,0.113068,-1.28682,nan
137,1.0,112.1,500,1,108,12,18.916666666666668,1.029753,-4.964684,nan
138,1.0,92.55,500,1,99,10,23.0,0.095852,-1.223104,nan
139,1.0,93.0,500,1,90,10,20.3,0.804091,-3.269652,nan
140,1.0,82.65,500,1,97,9,23.22222222222222,1.074412,-3.819307,nan
141,1.0,72.9,500,1,92,8,31.125,0.999872,-4.640384,nan
142,1.0,72.7,500,1,96,8,31.625,0.50359,-2.764386,nan
143,1.0,82.3,500,1,104,9,28.88888888888889,75.842705,37.526112,nan
144,1.0,102.4,500,1,102,11,22.09090909090909,0.251537,-1.7744,nan
145,1.0,82.35,500,1,103,9,25.22222222222222,0.45321,-2.78852,nan
146,1.0,91.95,500,1,111,10,24.9,0.22578,-1.652814,nan
147,1.0,92.25,500,1,105,10,26.7,1.544759,-5.99035,nan
148,1.0,102.35,500,1,103,11,17.90909090909091,0.256024,-1.847142,nan
149,1.0,82.55,500,1,99,9,27.666666666666668,0.126518,-1.382151,nan
150,1.0,93.05,500,1,89,10,23.2,59.617451,27.169636,nan
151,1.0,82.9,500,1,92,9,28.555555555555557,0.078926,-1.075852,nan
152,1.0,82.4,500,1,102,9,29.555555555555557,0.648608,-2.868794,nan
153,1.0,91.9,500,1,112,10,23.8,79.853317,31.965708,nan
154,1.0,102.3,500,1,104,11,26.545454545454547,64.585289,25.428782,nan
155,1.0,102.25,500,1,105,11,30.363636363636363,83.237587,35.190193,nan
156,1.0,91.75,500,1,115,10,21.6,0.641778,-2.959108,nan
157,1.0,82.55,500,1,99,9,20.11111111111111,0.075087,-0.896889,nan
158,1.0,110.75,500,1,135,12,17.666666666666668,0.052655,-0.800521,nan
159,1.0,90.9,500,1,132,10,22.3,0.093302,-1.090827,nan
160,1.0,82.3,500,1,104,9,23.555555555555557,0.235104,-1.756555,nan
161,1.0,91.6,500,1,118,10,24.3,0.109093,-1.412855,nan
162,1.0,120.2,500,1,146,13,14.307692307692308,0.058658,-0.85706,nan
163,1.0,109.2,500,1,166,12,19.666666666666668,0.927453,-3.502958,nan
164,1.0,99.95,500,1,151,11,18.363636363636363,1.429325,-4.365314,nan
