episode,phase,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
1,1.0,97.53,339,0,1,0,155,nan,84.163887,nan
2,1.0,97.43,355,0,1,0,159,nan,75.658707,nan
3,1.0,98.305,239,0,1,0,100,nan,112.141525,nan
4,1.0,-3.58,500,0,0,0,216,nan,-1.61268,nan
5,1.0,-3.57,500,0,0,0,214,nan,-1.608895,nan
6,1.0,-3.465,500,0,0,0,193,nan,-1.597778,nan
7,1.0,-3.67,500,0,0,0,234,nan,-1.71773,nan
8,1.0,-3.61,500,0,0,0,222,nan,-1.626165,nan
9,1.0,-3.57,500,0,0,0,214,nan,-1.640724,nan
10,1.0,98.27,236,0,1,0,110,nan,109.886261,nan
11,1.0,99.53,64,0,1,0,30,nan,206.449295,nan
12,1.0,99.155,114,0,1,0,55,nan,172.792084,nan
13,1.0,-3.485,500,0,0,0,197,nan,-1.597096,nan
14,1.0,-3.55,500,0,0,0,210,nan,-1.585391,nan
15,1.0,96.67,463,0,1,0,203,nan,59.707958,nan
16,1.0,-3.665,500,0,0,0,233,nan,-1.619051,nan
17,1.0,-3.575,500,0,0,0,215,nan,-1.656498,nan
18,1.0,99.43,79,0,1,0,35,nan,196.92392,nan
19,1.0,97.91,278,0,1,0,140,nan,98.533714,nan
20,1.0,99.605,58,0,1,0,21,nan,221.03775,nan
21,1.0,96.825,434,0,1,0,201,nan,66.552742,nan
22,1.0,98.39,224,0,1,0,98,nan,114.168533,nan
23,1.0,98.15,250,0,1,0,120,nan,103.228409,nan
24,1.0,98.04,260,0,1,0,132,nan,99.245064,nan
25,1.0,97.875,301,0,1,0,124,nan,87.058739,nan
26,1.0,99.14,115,0,1,0,57,nan,166.014572,nan
27,1.0,99.345,90,0,1,0,41,nan,191.400085,nan
28,1.0,99.32,94,0,1,0,42,nan,177.570984,nan
29,1.0,99.66,47,0,1,0,21,nan,228.902878,nan
30,1.0,98.86,146,0,1,0,82,nan,146.177795,nan
31,1.0,99.19,109,0,1,0,53,nan,176.779358,nan
32,1.0,99.41,82,0,1,0,36,nan,195.327057,nan
33,1.0,99.305,97,0,1,0,42,nan,197.187836,nan
34,1.0,99.305,92,0,1,0,47,nan,188.689468,nan
35,1.0,98.605,190,0,1,0,89,nan,128.118362,nan
36,1.0,99.025,131,0,1,0,64,nan,151.608521,nan
37,1.0,98.92,154,0,1,0,62,nan,146.449112,nan
38,1.0,99.24,103,0,1,0,49,nan,176.313385,nan
39,1.0,99.655,46,0,1,0,23,nan,224.171387,nan
40,1.0,99.32,91,0,1,0,45,nan,190.092377,nan
41,1.0,98.745,174,0,1,0,77,nan,132.454041,nan
42,1.0,99.455,72,0,1,0,37,nan,197.614746,nan
43,1.0,99.31,91,0,1,0,47,nan,182.111649,nan
44,1.0,98.94,149,0,1,0,63,nan,147.312759,nan
45,1.0,99.475,67,0,1,0,38,nan,207.750763,nan
46,1.0,98.705,177,0,1,0,82,nan,137.648407,nan
47,1.0,99.67,46,0,1,0,20,nan,231.0802,nan
48,1.0,99.335,91,0,1,0,42,nan,186.380051,nan
49,1.0,99.52,65,0,1,0,31,nan,216.330551,nan
50,1.0,99.525,63,0,1,0,32,nan,212.368027,nan
51,1.0,98.755,168,0,1,0,81,nan,130.612534,nan
52,1.0,99.725,39,0,1,0,16,nan,255.244736,nan
53,1.0,99.355,94,0,1,0,35,nan,174.202103,nan
54,1.0,99.22,106,0,1,0,50,nan,176.660172,nan
55,1.0,98.82,159,0,1,0,77,nan,145.058121,nan
56,1.0,98.79,161,0,1,0,81,nan,150.213272,nan
57,1.0,99.78,33,0,1,0,11,nan,290.665955,nan
58,1.0,99.475,74,0,1,0,31,nan,201.087891,nan
59,1.0,99.59,60,0,1,0,22,nan,214.338593,nan
60,1.0,99.675,45,0,1,0,20,nan,249.702286,nan
61,1.0,99.555,67,0,1,0,22,nan,192.255661,nan
62,1.0,99.335,99,0,1,0,34,nan,166.023956,nan
63,1.0,99.675,48,0,1,0,17,nan,228.25441,nan
64,1.0,99.21,105,0,1,0,53,nan,174.899368,nan
65,1.0,99.76,37,0,1,0,11,nan,255.142105,nan
66,1.0,99.68,48,0,1,0,16,nan,229.927597,nan
67,1.0,99.56,63,0,1,0,25,nan,196.520309,nan
68,1.0,99.715,42,0,1,0,15,nan,216.859406,nan
69,1.0,99.685,49,0,1,0,14,nan,210.404678,nan
70,1.0,99.65,47,0,1,0,23,nan,229.317657,nan
71,1.0,99.605,61,0,1,0,18,nan,221.420639,nan
72,1.0,99.455,82,0,1,0,27,nan,189.864792,nan
73,1.0,99.645,50,0,1,0,21,nan,221.098328,nan
74,1.0,99.68,48,0,1,0,16,nan,221.129807,nan
75,1.0,99.585,66,0,1,0,17,nan,208.277435,nan
76,1.0,99.605,60,0,1,0,19,nan,201.699127,nan
77,1.0,99.675,48,0,1,0,17,nan,218.034592,nan
78,1.0,99.585,68,0,1,0,15,nan,207.152557,nan
79,1.0,99.675,43,0,1,0,22,nan,228.076035,nan
80,1.0,99.59,68,0,1,0,14,nan,206.656998,nan
81,1.0,99.415,83,0,1,0,34,nan,189.204605,nan
82,1.0,99.525,67,0,1,0,28,nan,208.214798,nan
83,1.0,99.69,43,0,1,0,19,nan,236.883041,nan
84,1.0,99.35,100,0,1,0,30,nan,200.449905,nan
85,1.0,99.69,50,0,1,0,12,nan,207.637985,nan
86,1.0,99.535,73,0,1,0,20,nan,193.995605,nan
87,1.0,99.765,33,0,1,0,14,nan,267.510651,nan
88,1.0,99.68,46,0,1,0,18,nan,231.551437,nan
89,1.0,99.645,59,0,1,0,12,nan,215.416321,nan
90,1.0,99.61,58,0,1,0,20,nan,221.629883,nan
91,1.0,99.505,73,0,1,0,26,nan,209.637497,nan
92,1.0,99.595,62,0,1,0,19,nan,210.846848,nan
93,1.0,99.55,66,0,1,0,24,nan,211.315384,nan
94,1.0,99.575,63,0,1,0,22,nan,224.493774,nan
95,1.0,99.59,66,0,1,0,16,nan,189.998734,nan
96,1.0,99.74,36,0,1,0,16,nan,264.306976,nan
97,1.0,99.705,47,0,1,0,12,nan,219.190018,nan
98,1.0,99.465,75,0,1,0,32,nan,207.660522,nan
99,1.0,99.51,72,0,1,0,26,nan,199.929382,nan
100,1.0,99.41,84,0,1,0,34,nan,204.774536,nan
101,1.0,99.75,33,0,1,0,17,nan,240.37175,nan
102,1.0,99.65,53,0,1,0,17,nan,195.561157,nan
103,1.0,99.475,74,0,1,0,31,nan,208.049423,nan
104,1.0,99.605,54,0,1,0,25,nan,215.550385,nan
105,1.0,99.485,72,0,1,0,31,nan,212.260193,nan
106,1.0,99.59,58,0,1,0,24,nan,212.672653,nan
107,1.0,99.72,37,0,1,0,19,nan,248.240189,nan
108,1.0,99.74,35,0,1,0,17,nan,232.122742,nan
109,1.0,99.655,48,0,1,0,21,nan,218.312576,nan
110,1.0,99.755,35,0,1,0,14,nan,250.038818,nan
111,1.0,99.475,75,0,1,0,30,nan,209.312454,nan
112,1.0,99.69,40,0,1,0,22,nan,232.73494,nan
113,1.0,99.81,24,0,1,0,14,nan,268.090302,nan
114,1.0,99.815,26,0,1,0,11,nan,266.158875,nan
115,1.0,99.73,39,0,1,0,15,nan,231.434601,nan
116,1.0,99.61,55,0,1,0,23,nan,213.580734,nan
117,1.0,99.66,45,0,1,0,23,nan,226.516235,nan
118,1.0,99.59,53,0,1,0,29,nan,220.523636,nan
119,1.0,99.61,50,0,1,0,28,nan,247.71019,nan
120,1.0,99.665,47,0,1,0,20,nan,249.699448,nan
121,1.0,99.74,39,0,1,0,13,nan,211.573792,nan
122,1.0,99.56,57,0,1,0,31,nan,225.613602,nan
