episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
75,1.0,-3.75,500,1,85,3,58.333333333333336,0.073877,0.317194,nan
76,1.0,-2.95,500,1,109,5,49.8,0.208707,0.665909,nan
77,1.0,-3.7,500,1,104,4,71.0,0.115954,0.212765,nan
78,1.0,-3.3,500,1,96,4,64.25,0.120158,0.286646,nan
79,1.0,-3.2,500,1,114,5,40.2,0.168408,0.467754,nan
80,1.0,-4.4,500,1,98,3,58.666666666666664,0.120119,-0.035977,nan
81,1.0,-2.5,500,1,100,5,56.2,0.218874,0.582491,nan
82,1.0,-4.05,500,1,91,3,47.333333333333336,0.060887,-0.030798,nan
83,1.0,-4.3,500,1,96,3,65.0,0.08698,-0.243308,nan
84,1.0,-3.75,500,1,105,4,56.5,0.102282,-0.048642,nan
85,1.0,-2.6,500,1,102,5,49.0,0.120818,0.568654,nan
86,1.0,-3.3,500,1,96,4,45.25,0.079448,-0.062219,nan
87,1.0,-2.5,500,1,100,5,50.6,0.158819,0.6169,nan
88,1.0,-2.8,500,1,86,4,47.5,0.065237,0.356828,nan
89,1.0,-3.65,500,1,103,4,49.5,0.0633,0.125436,nan
90,1.0,-3.3,500,1,116,5,42.4,0.196145,0.155846,nan
91,1.0,-2.95,500,1,109,5,54.6,0.105349,0.354417,nan
92,1.0,-3.15,500,1,93,4,71.75,0.105818,0.152243,nan
93,1.0,-2.6,500,1,102,5,47.4,0.105372,0.563377,nan
94,1.0,-2.55,500,1,101,5,48.2,0.06258,0.362335,nan
95,1.0,-1.6,500,1,102,6,43.0,0.112402,0.700825,nan
96,1.0,-2.3,500,1,76,4,55.5,0.096374,0.273825,nan
97,1.0,-1.0,500,1,90,6,31.5,0.261655,1.250682,nan
98,1.0,-3.35,500,1,97,4,48.75,0.118283,-0.087187,nan
99,1.0,-2.05,500,1,91,5,39.4,0.08882,0.600666,nan
100,1.0,-2.45,500,1,99,5,37.2,0.093217,0.217583,nan
101,1.0,-1.7,500,1,104,6,33.5,0.214395,0.7908,nan
102,1.0,-4.05,500,1,111,4,46.5,0.104367,-0.592825,nan
103,1.0,-2.35,500,1,97,5,34.8,0.057057,0.287977,nan
104,1.0,-2.75,500,1,105,5,35.2,0.051596,0.08534,nan
105,1.0,-3.0,500,1,90,4,50.0,0.061385,-0.160543,nan
106,1.0,-0.6,500,1,82,6,39.666666666666664,0.250487,1.1082,nan
107,1.0,-1.9,500,1,108,6,38.833333333333336,0.080719,0.366731,nan
108,1.0,-2.8,500,1,106,5,35.8,0.053411,-0.105153,nan
109,1.0,-1.9,500,1,108,6,28.0,0.192579,0.840108,nan
110,1.0,-1.85,500,1,87,5,44.6,0.090672,0.460887,nan
111,1.0,-1.55,500,1,101,6,40.5,0.075365,0.51511,nan
112,1.0,-0.85,500,1,87,6,41.333333333333336,0.091475,0.646933,nan
113,1.0,-1.95,500,1,89,5,46.4,0.103181,0.419179,nan
