episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-2.11,500,1,173,500,1,67.0,1.054556,-0.499036,nan
2,1.0,7.96,500,1,171,500,2,67.5,1.925455,0.206327,nan
3,1.0,8.11,500,1,170,500,2,18.5,1.916538,0.30723,nan
4,1.0,7.29,500,1,185,500,2,33.0,1.851989,0.262976,nan
5,1.0,-2.28,500,1,176,500,1,81.0,0.970743,-0.32917,nan
6,1.0,8.98,500,1,149,500,2,25.0,1.813969,0.288719,nan
7,1.0,-10.62,500,0,141,500,0,nan,0.065651,-0.716616,nan
8,1.0,8.5,500,1,162,500,2,32.0,1.795041,0.364945,nan
9,1.0,-11.54,500,0,163,500,0,nan,0.059345,-0.670363,nan
10,1.0,8.32,500,1,165,500,2,19.0,1.737569,0.439534,nan
11,1.0,-11.32,500,0,155,500,0,nan,0.047262,-0.579854,nan
12,1.0,8.6,500,1,160,500,2,41.0,1.741943,0.384251,nan
13,1.0,-10.49,500,0,140,500,0,nan,0.030367,-0.450371,nan
14,1.0,-10.14,500,0,131,500,0,nan,0.027243,-0.423999,nan
15,1.0,-11.61,500,0,163,500,0,nan,0.021385,-0.377533,nan
16,1.0,-1.12,500,1,154,500,1,25.0,0.84397,0.216591,nan
17,1.0,-11.91,500,0,168,500,0,nan,0.016969,-0.290038,nan
18,1.0,-11.59,500,0,161,500,0,nan,0.008089,-0.166407,nan
19,1.0,-10.31,500,0,135,500,0,nan,0.005754,-0.025162,nan
20,1.0,-11.0,500,0,149,500,0,nan,0.006087,-0.004351,nan
21,1.0,-11.13,500,0,151,500,0,nan,0.008589,0.004934,nan
22,1.0,-11.12,500,0,152,500,0,nan,0.007974,0.059169,nan
23,1.0,-10.21,500,0,135,500,0,nan,0.009847,0.165821,nan
24,1.0,-10.66,500,0,142,500,0,nan,0.010597,0.134987,nan
25,1.0,-11.13,500,0,153,500,0,nan,0.008465,0.158768,nan
26,1.0,-10.25,500,0,136,500,0,nan,0.010452,0.185912,nan
27,1.0,-10.74,500,0,148,500,0,nan,0.009071,0.173948,nan
28,1.0,-10.38,500,0,139,500,0,nan,0.008637,0.197941,nan
29,1.0,-9.51,500,0,124,500,0,nan,0.00953,0.193226,nan
30,1.0,0.38,500,1,126,500,1,7.0,0.907115,0.680031,nan
31,1.0,-9.26,500,0,117,500,0,nan,0.006652,0.104264,nan
32,1.0,-9.25,500,0,119,500,0,nan,0.004273,0.051745,nan
33,1.0,-9.48,500,0,119,500,0,nan,0.003854,-0.001114,nan
34,1.0,-9.19,500,0,119,500,0,nan,0.002891,-0.046121,nan
35,1.0,1.08,500,1,110,500,1,11.0,0.827969,0.446016,nan
36,1.0,-0.19,500,1,137,500,1,18.0,0.781008,0.266181,nan
37,1.0,-0.45,500,1,142,500,1,11.0,0.769762,0.235861,nan
38,1.0,-8.08,500,0,91,500,0,nan,0.010397,-0.23685,nan
39,1.0,0.63,500,1,121,500,1,11.0,0.783269,0.193536,nan
40,1.0,-8.4,500,0,101,500,0,nan,0.021228,-0.352779,nan
41,1.0,-8.73,500,0,105,500,0,nan,0.024067,-0.377792,nan
42,1.0,-9.03,500,0,113,500,0,nan,0.019965,-0.3781,nan
43,1.0,-8.64,500,0,104,500,0,nan,0.016053,-0.33243,nan
44,1.0,-8.59,500,0,102,500,0,nan,0.013613,-0.30132,nan
45,1.0,-8.15,500,0,98,500,0,nan,0.010623,-0.232647,nan
46,1.0,-8.45,500,0,101,500,0,nan,0.010198,-0.213044,nan
47,1.0,-8.22,500,0,97,500,0,nan,0.007196,-0.13982,nan
48,1.0,-8.0,500,0,97,500,0,nan,0.005281,-0.072157,nan
49,1.0,-8.02,500,0,95,500,0,nan,0.002778,0.027466,nan
