episode,phase,total_reward,steps,success,n_licks,n_pokes,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-10.09,500,0,129,500,0,nan,nan,nan,nan
2,1.0,0.1,500,1,127,500,1,356.0,nan,nan,nan
3,1.0,0.06,500,1,125,500,1,77.0,nan,nan,nan
4,1.0,0.12,500,1,128,500,1,468.0,nan,nan,nan
5,1.0,0.3,500,1,116,500,1,96.0,nan,nan,nan
6,1.0,-9.4,500,0,116,500,0,nan,nan,nan,nan
7,1.0,8.86,500,1,150,500,2,46.5,nan,nan,nan
8,1.0,10.16,500,1,125,500,2,117.0,nan,nan,nan
9,1.0,0.22,500,1,127,500,1,326.0,nan,nan,nan
10,1.0,-0.22,500,1,133,500,1,276.0,nan,nan,nan
11,1.0,-9.99,500,0,125,500,0,nan,nan,nan,nan
12,1.0,9.03,500,1,147,500,2,103.0,nan,nan,nan
13,1.0,0.22,500,1,124,500,1,264.0,nan,nan,nan
14,1.0,-0.02,500,1,129,500,1,212.0,nan,nan,nan
15,1.0,-0.55,500,1,138,500,1,188.0,nan,nan,nan
16,1.0,-9.37,500,0,113,500,0,nan,nan,nan,nan
17,1.0,-0.48,500,1,141,500,1,81.0,nan,nan,nan
18,1.0,8.96,500,1,152,500,2,56.5,nan,nan,nan
19,1.0,0.66,500,1,117,500,1,80.0,nan,nan,nan
20,1.0,0.46,500,1,122,500,1,140.0,nan,nan,nan
21,1.0,9.34,500,1,140,500,2,61.0,nan,nan,nan
22,1.0,0.18,500,1,124,500,1,313.0,nan,nan,nan
23,1.0,-9.66,500,0,119,500,0,nan,nan,nan,nan
24,1.0,-9.9,500,0,125,500,0,nan,nan,nan,nan
25,1.0,9.62,500,1,136,500,2,150.5,nan,nan,nan
26,1.0,-9.58,500,0,118,500,0,nan,nan,nan,nan
27,1.0,-0.14,500,1,130,500,1,161.0,nan,nan,nan
28,1.0,-0.13,500,1,131,500,1,45.0,nan,nan,nan
29,1.0,-8.96,500,0,108,500,0,nan,nan,nan,nan
30,1.0,0.28,500,1,122,500,1,398.0,nan,nan,nan
31,1.0,0.6,500,1,117,500,1,386.0,nan,nan,nan
32,1.0,-0.23,500,1,134,500,1,270.0,nan,nan,nan
33,1.0,-9.69,500,0,123,500,0,nan,nan,nan,nan
34,1.0,0.81,500,1,111,500,1,59.0,nan,nan,nan
35,1.0,-0.36,500,1,135,500,1,45.0,nan,nan,nan
36,1.0,0.12,500,1,127,500,1,158.0,nan,nan,nan
37,1.0,-0.73,500,1,147,500,1,59.0,nan,nan,nan
38,1.0,9.98,500,1,129,500,2,183.0,nan,nan,nan
39,1.0,-0.27,500,1,135,500,1,76.0,nan,nan,nan
40,1.0,9.54,500,1,136,500,2,114.5,nan,nan,nan
41,1.0,-0.32,500,1,136,500,1,293.0,nan,nan,nan
42,1.0,-9.48,500,0,116,500,0,nan,nan,nan,nan
43,1.0,-0.66,500,1,143,500,1,302.0,nan,nan,nan
44,1.0,8.95,500,1,148,500,2,103.5,nan,nan,nan
45,1.0,0.89,500,1,107,500,1,224.0,nan,nan,nan
46,1.0,-9.76,500,0,123,500,0,nan,nan,nan,nan
47,1.0,-10.25,500,0,133,500,0,nan,nan,nan,nan
48,1.0,-9.56,500,0,121,500,0,nan,nan,nan,nan
49,1.0,0.48,500,1,118,500,1,333.0,nan,nan,nan
50,1.0,10.33,500,1,117,500,2,185.5,nan,nan,nan
51,1.0,0.13,500,1,128,500,1,199.0,nan,nan,nan
52,1.0,-10.35,500,0,136,500,0,nan,nan,nan,nan
