episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,1.0,-12.9,500,1,248,2,143.0,0.151438,-1.013317,nan
2,1.0,-11.7,500,1,244,3,57.0,0.096396,-0.738076,nan
3,1.0,-13.85,500,1,247,1,141.0,0.078155,-0.704377,nan
4,1.0,-13.55,500,1,261,2,205.5,0.054169,-0.484276,nan
5,1.0,-12.35,500,1,237,2,49.0,0.036398,-0.310326,nan
6,1.0,-13.9,500,1,248,1,193.0,0.021012,-0.234718,nan
7,1.0,-12.45,500,1,219,1,97.0,0.016738,-0.060546,nan
8,1.0,-12.2,500,1,234,2,69.5,0.025764,0.080644,nan
9,1.0,-13.3,500,1,236,1,20.0,0.015551,0.06272,nan
10,1.0,-12.4,500,0,198,0,nan,0.010034,0.193605,nan
11,1.0,-12.45,500,0,199,0,nan,0.010859,0.215916,nan
12,1.0,-10.0,500,1,190,2,32.0,0.051426,0.432522,nan
13,1.0,-10.35,500,1,177,1,18.0,0.037933,0.457001,nan
14,1.0,-10.25,500,1,175,1,35.0,0.036082,0.380094,nan
15,1.0,-10.9,500,1,188,1,19.0,0.027062,0.305493,nan
16,1.0,-8.3,500,1,156,2,23.0,0.044805,0.418477,nan
17,1.0,-10.6,500,1,182,1,77.0,0.023436,0.255669,nan
18,1.0,-10.95,500,0,169,0,nan,0.006508,0.147488,nan
19,1.0,-10.1,500,1,172,1,30.0,0.014559,0.15159,nan
20,1.0,-10.75,500,0,165,0,nan,0.004168,0.062012,nan
21,1.0,-11.2,500,0,174,0,nan,0.004434,0.00558,nan
22,1.0,-9.8,500,0,146,0,nan,0.004322,0.013879,nan
23,1.0,-9.25,500,0,135,0,nan,0.00396,-0.012017,nan
24,1.0,-9.65,500,0,143,0,nan,0.00444,-0.029564,nan
25,1.0,-9.55,500,0,141,0,nan,0.004649,-0.085368,nan
26,1.0,-9.35,500,0,137,0,nan,0.004094,-0.090448,nan
27,1.0,-9.8,500,0,146,0,nan,0.006959,-0.150269,nan
28,1.0,-9.95,500,0,149,0,nan,0.006465,-0.170591,nan
29,1.0,-7.65,500,1,123,1,40.0,0.014959,-0.023768,nan
30,1.0,-8.3,500,0,116,0,nan,0.004687,-0.063985,nan
31,1.0,-8.2,500,0,114,0,nan,0.003884,-0.063897,nan
32,1.0,-8.0,500,0,110,0,nan,0.00382,-0.050912,nan
33,1.0,-8.2,500,0,114,0,nan,0.003228,-0.051093,nan
34,1.0,-8.2,500,0,114,0,nan,0.003343,-0.042228,nan
35,1.0,-7.8,500,0,106,0,nan,0.003766,-0.010523,nan
36,1.0,-7.95,500,0,109,0,nan,0.002762,-0.012073,nan
37,1.0,-6.45,500,1,99,1,34.0,0.013642,0.098221,nan
38,1.0,-7.95,500,0,109,0,nan,0.003547,0.000896,nan
39,1.0,-7.3,500,0,96,0,nan,0.002949,0.039069,nan
40,1.0,-7.7,500,0,104,0,nan,0.002632,0.024894,nan
41,1.0,-7.85,500,0,107,0,nan,0.002405,0.004427,nan
42,1.0,-7.4,500,0,98,0,nan,0.003325,0.028795,nan
43,1.0,-7.2,500,0,94,0,nan,0.002262,0.037492,nan
44,1.0,-8.05,500,0,111,0,nan,0.002736,-0.014338,nan
45,1.0,-7.15,500,0,93,0,nan,0.002462,0.038027,nan
46,1.0,-6.6,500,0,82,0,nan,0.002561,0.064247,nan
47,1.0,-7.45,500,0,99,0,nan,0.002327,-0.002292,nan
48,1.0,-7.7,500,0,104,0,nan,0.002133,-0.02931,nan
49,1.0,-6.7,500,0,84,0,nan,0.001916,0.027738,nan
50,1.0,-6.35,500,0,77,0,nan,0.002238,0.038768,nan
51,1.0,-6.85,500,0,87,0,nan,0.00195,-0.006492,nan
52,1.0,-6.7,500,0,84,0,nan,0.002066,-0.007446,nan
53,1.0,-7.0,500,0,90,0,nan,0.002082,-0.035147,nan
54,1.0,-7.75,500,0,105,0,nan,0.002911,-0.079507,nan
55,1.0,-7.25,500,0,95,0,nan,0.003271,-0.049327,nan
56,1.0,-7.25,500,0,95,0,nan,0.001804,-0.052924,nan
57,1.0,-6.75,500,0,85,0,nan,0.001883,-0.003711,nan
58,1.0,-7.0,500,0,90,0,nan,0.00206,-0.028328,nan
59,1.0,-6.25,500,1,95,1,38.0,0.01165,0.012651,nan
60,1.0,-7.0,500,0,90,0,nan,0.002028,-0.024427,nan
61,1.0,-7.3,500,0,96,0,nan,0.002115,-0.040713,nan
62,1.0,-7.2,500,0,94,0,nan,0.0028,-0.019618,nan
63,1.0,-7.05,500,0,91,0,nan,0.001906,-0.010059,nan
64,1.0,-6.15,500,0,73,0,nan,0.001743,0.046999,nan
65,1.0,-6.75,500,0,85,0,nan,0.002017,0.015414,nan
66,1.0,-5.65,500,0,63,0,nan,0.00268,0.078923,nan
67,1.0,-7.6,500,0,102,0,nan,0.003064,-0.034974,nan
68,1.0,-6.95,500,0,89,0,nan,0.002204,-0.005,nan
69,1.0,-7.0,500,0,90,0,nan,0.001736,-0.002764,nan
70,1.0,-6.65,500,0,83,0,nan,0.002155,0.013537,nan
71,1.0,-6.35,500,0,77,0,nan,0.00195,0.026621,nan
72,1.0,-6.95,500,0,89,0,nan,0.002052,-0.014521,nan
73,1.0,-7.3,500,0,96,0,nan,0.003155,-0.042062,nan
74,1.0,-7.0,500,0,90,0,nan,0.001327,-0.023366,nan
75,1.0,-6.45,500,0,79,0,nan,0.001971,0.001929,nan
76,1.0,-6.6,500,0,82,0,nan,0.001899,0.001079,nan
77,1.0,-6.75,500,0,85,0,nan,0.001476,-0.00938,nan
78,1.0,-5.5,500,0,60,0,nan,0.001814,0.061622,nan
79,1.0,-7.45,500,0,99,0,nan,0.00221,-0.052437,nan
80,1.0,-6.3,500,0,76,0,nan,0.001722,0.002259,nan
81,1.0,-6.75,500,0,85,0,nan,0.001775,-0.020815,nan
82,1.0,-7.15,500,0,93,0,nan,0.002079,-0.04306,nan
83,1.0,-5.9,500,0,68,0,nan,0.001647,0.033144,nan
84,1.0,-6.25,500,0,75,0,nan,0.001672,0.010682,nan
85,1.0,-6.7,500,0,84,0,nan,0.001621,-0.017762,nan
86,1.0,-7.1,500,0,92,0,nan,0.002598,-0.037172,nan
87,1.0,-6.65,500,0,83,0,nan,0.002325,-0.010842,nan
88,1.0,-5.9,500,0,68,0,nan,0.002472,0.035992,nan
89,1.0,-6.5,500,0,80,0,nan,0.001935,0.008342,nan
90,1.0,-6.3,500,0,76,0,nan,0.001796,0.011041,nan
91,1.0,-7.35,500,0,97,0,nan,0.002976,-0.050734,nan
92,1.0,-5.85,500,1,87,1,18.0,0.01061,0.023908,nan
93,1.0,-6.2,500,0,74,0,nan,0.002427,0.008995,nan
94,1.0,-5.55,500,0,61,0,nan,0.001966,0.042621,nan
95,1.0,-6.7,500,0,84,0,nan,0.002463,-0.030047,nan
