episode,phase,total_reward,steps,success,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
102,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
103,1.0,-19.0,500,0,330,0,nan,nan,nan,nan
104,1.0,-18.65,500,0,323,0,nan,nan,nan,nan
105,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
106,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
107,1.0,-18.9,500,0,328,0,nan,nan,nan,nan
108,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
109,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
110,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
111,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
112,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
113,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
114,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
115,1.0,-17.55,500,0,301,0,nan,nan,nan,nan
116,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
117,1.0,-8.55,500,1,321,1,378.0,nan,nan,nan
118,1.0,-19.55,500,0,341,0,nan,nan,nan,nan
119,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
120,1.0,-8.45,500,1,319,1,53.0,nan,nan,nan
121,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
122,1.0,-7.35,500,1,297,1,174.0,nan,nan,nan
123,1.0,-18.65,500,0,323,0,nan,nan,nan,nan
124,1.0,-19.15,500,0,333,0,nan,nan,nan,nan
125,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
126,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
127,1.0,-8.9,500,1,328,1,209.0,nan,nan,nan
128,1.0,-17.65,500,0,303,0,nan,nan,nan,nan
129,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
130,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
131,1.0,-8.25,500,1,315,1,229.0,nan,nan,nan
132,1.0,-8.05,500,1,311,1,313.0,nan,nan,nan
133,1.0,-17.6,500,0,302,0,nan,nan,nan,nan
134,1.0,-19.6,500,0,342,0,nan,nan,nan,nan
135,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
136,1.0,-17.85,500,0,307,0,nan,nan,nan,nan
137,1.0,-8.3,500,1,316,1,83.0,nan,nan,nan
138,1.0,-18.9,500,0,328,0,nan,nan,nan,nan
139,1.0,-18.75,500,0,325,0,nan,nan,nan,nan
140,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
141,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
142,1.0,-17.45,500,0,299,0,nan,nan,nan,nan
143,1.0,-8.3,500,1,316,1,160.0,nan,nan,nan
144,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
145,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
146,1.0,-17.2,500,0,294,0,nan,nan,nan,nan
147,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
148,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
149,1.0,-19.0,500,0,330,0,nan,nan,nan,nan
150,1.0,-19.1,500,0,332,0,nan,nan,nan,nan
151,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
152,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
153,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
154,1.0,-8.35,500,1,317,1,277.0,nan,nan,nan
155,1.0,-9.2,500,1,334,1,114.0,nan,nan,nan
156,1.0,-8.75,500,1,325,1,443.0,nan,nan,nan
157,1.0,-17.8,500,0,306,0,nan,nan,nan,nan
158,1.0,-7.65,500,1,303,1,208.0,nan,nan,nan
159,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
160,1.0,-19.0,500,0,330,0,nan,nan,nan,nan
161,1.0,-17.95,500,0,309,0,nan,nan,nan,nan
162,1.0,-17.3,500,0,296,0,nan,nan,nan,nan
163,1.0,-19.6,500,0,342,0,nan,nan,nan,nan
164,1.0,-18.9,500,0,328,0,nan,nan,nan,nan
165,1.0,-7.45,500,1,299,1,126.0,nan,nan,nan
166,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
167,1.0,-19.25,500,0,335,0,nan,nan,nan,nan
168,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
169,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
170,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
171,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
172,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
173,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
174,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
175,1.0,-8.8,500,1,326,1,187.0,nan,nan,nan
176,1.0,-18.5,500,0,320,0,nan,nan,nan,nan
177,1.0,-7.55,500,1,301,1,339.0,nan,nan,nan
178,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
179,1.0,-19.5,500,0,340,0,nan,nan,nan,nan
180,1.0,-17.45,500,0,299,0,nan,nan,nan,nan
181,1.0,-8.55,500,1,321,1,392.0,nan,nan,nan
182,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
183,1.0,-18.15,500,0,313,0,nan,nan,nan,nan
184,1.0,-17.8,500,0,306,0,nan,nan,nan,nan
185,1.0,-19.15,500,0,333,0,nan,nan,nan,nan
186,1.0,-18.1,500,0,312,0,nan,nan,nan,nan
187,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
188,1.0,-17.2,500,0,294,0,nan,nan,nan,nan
189,1.0,-17.8,500,0,306,0,nan,nan,nan,nan
190,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
191,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
192,1.0,-8.2,500,1,314,1,227.0,nan,nan,nan
193,1.0,-19.05,500,0,331,0,nan,nan,nan,nan
194,1.0,-18.8,500,0,326,0,nan,nan,nan,nan
195,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
196,1.0,-17.65,500,0,303,0,nan,nan,nan,nan
197,1.0,-19.35,500,0,337,0,nan,nan,nan,nan
198,1.0,-6.9,500,1,288,1,239.0,nan,nan,nan
199,1.0,-19.4,500,0,338,0,nan,nan,nan,nan
200,1.0,-17.6,500,0,302,0,nan,nan,nan,nan
201,1.0,-18.55,500,0,321,0,nan,nan,nan,nan
202,1.0,-18.2,500,0,314,0,nan,nan,nan,nan
203,1.0,-7.75,500,1,305,1,63.0,nan,nan,nan
204,1.0,-18.65,500,0,323,0,nan,nan,nan,nan
205,1.0,-7.75,500,1,305,1,68.0,nan,nan,nan
206,1.0,-18.85,500,0,327,0,nan,nan,nan,nan
207,1.0,-8.45,500,1,319,1,53.0,nan,nan,nan
208,1.0,-18.1,500,0,312,0,nan,nan,nan,nan
209,1.0,-8.7,500,1,324,1,291.0,nan,nan,nan
210,1.0,-17.75,500,0,305,0,nan,nan,nan,nan
211,1.0,-19.15,500,0,333,0,nan,nan,nan,nan
212,1.0,-18.6,500,0,322,0,nan,nan,nan,nan
213,1.0,-19.1,500,0,332,0,nan,nan,nan,nan
214,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
215,1.0,-7.9,500,1,308,1,251.0,nan,nan,nan
216,1.0,-19.3,500,0,336,0,nan,nan,nan,nan
217,1.0,-19.1,500,0,332,0,nan,nan,nan,nan
218,1.0,-7.95,500,1,309,1,185.0,nan,nan,nan
219,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
220,1.0,-8.75,500,1,325,1,160.0,nan,nan,nan
221,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
222,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
223,1.0,-18.35,500,0,317,0,nan,nan,nan,nan
224,1.0,-17.85,500,0,307,0,nan,nan,nan,nan
225,1.0,-18.95,500,0,329,0,nan,nan,nan,nan
226,1.0,-18.4,500,0,318,0,nan,nan,nan,nan
227,1.0,-18.25,500,0,315,0,nan,nan,nan,nan
228,1.0,-18.45,500,0,319,0,nan,nan,nan,nan
229,1.0,-18.0,500,0,310,0,nan,nan,nan,nan
230,1.0,-8.55,500,1,321,1,309.0,nan,nan,nan
231,1.0,-18.05,500,0,311,0,nan,nan,nan,nan
232,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
233,1.0,-8.4,500,1,318,1,153.0,nan,nan,nan
234,1.0,-18.3,500,0,316,0,nan,nan,nan,nan
235,1.0,-18.7,500,0,324,0,nan,nan,nan,nan
236,1.0,-9.15,500,1,333,1,231.0,nan,nan,nan
237,1.0,-17.9,500,0,308,0,nan,nan,nan,nan
