Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,94.07,20.0,23.544,2.325,0.0,0.0,-0.055,lick
2,114.07,20.0,43.207,1.46,0.0,0.0,-0.055,lick
3,115.374,1.304,1.304,0.224,0.0,0.0,-0.015,nose_poke
4,120.0,20.0,42.38,0.393,0.0,0.0,-0.015,nose_poke
5,120.0,20.0,28.777,1.12,0.0,0.0,-0.055,lick
6,117.974,-2.026,-2.026,-0.984,0.0,0.0,-0.005,move
7,99.071,-18.903,-18.903,1.054,0.0,0.0,-0.055,lick
8,79.071,-20.0,-23.976,2.243,0.0,0.0,-0.055,lick
9,62.658,-16.413,-16.413,2.33,0.0,0.0,-0.055,lick
10,42.658,-20.0,-30.644,0.656,0.0,0.0,-0.055,lick
11,55.152,12.494,12.494,2.737,0.0,0.0,-0.055,lick
12,35.152,-20.0,-29.698,-0.044,0.0,0.0,-0.005,move
13,23.903,-11.249,-11.249,0.903,0.0,0.0,-0.055,lick
14,11.674,-12.229,-12.229,0.906,0.0,0.0,-0.055,lick
15,3.901,-7.773,-7.773,3.014,0.0,0.0,-0.055,lick
16,0.0,-7.224,-7.224,-0.037,0.0,0.0,-0.005,move
17,0.0,-20.0,-24.338,1.636,0.0,0.0,9.945,lick
18,0.0,-1.208,-1.208,1.044,0.0,0.0,-0.055,lick
19,0.0,-14.423,-14.423,-0.505,0.0,0.0,-0.005,move
20,3.586,3.586,3.586,0.602,0.0,0.0,-0.055,lick
21,23.586,20.0,29.469,-0.826,0.0,0.0,-0.005,move
22,43.586,20.0,20.781,4.154,0.0,0.0,-0.055,lick
23,63.586,20.0,48.474,2.155,0.0,0.0,-0.055,lick
24,74.415,10.829,10.829,0.161,0.0,0.0,-0.015,nose_poke
25,91.588,17.173,17.173,0.032,0.0,0.0,-0.015,nose_poke
26,111.588,20.0,24.933,1.713,0.0,0.0,-0.055,lick
27,94.278,-17.309,-17.309,-0.772,0.0,0.0,-0.005,move
28,114.278,20.0,42.407,1.806,0.0,0.0,-0.055,lick
29,120.0,20.0,52.36,-1.634,0.0,0.0,-0.005,move
30,120.0,20.0,30.186,-0.954,0.0,0.0,-0.005,move
31,120.0,20.0,23.109,-0.879,0.0,0.0,-0.005,move
32,120.0,20.0,52.713,0.561,0.0,0.0,-0.055,lick
33,100.0,-20.0,-27.946,0.676,0.0,0.0,-0.055,lick
34,103.239,3.239,3.239,1.045,0.0,0.0,-0.055,lick
35,91.318,-11.921,-11.921,1.417,0.0,0.0,-0.055,lick
36,71.318,-20.0,-35.187,1.275,0.0,0.0,-0.055,lick
37,91.318,20.0,41.918,-1.669,0.0,0.0,-0.005,move
38,71.318,-20.0,-37.591,1.709,0.0,0.0,-0.055,lick
39,51.318,-20.0,-31.732,-0.044,0.0,0.0,-0.005,move
40,48.209,-3.109,-3.109,0.26,0.0,0.0,-0.015,nose_poke
41,28.209,-20.0,-35.625,0.977,0.0,0.0,-0.055,lick
42,15.418,-12.792,-12.792,-0.598,0.0,0.0,-0.005,move
43,35.418,20.0,21.573,1.76,0.0,0.0,-0.055,lick
44,36.811,1.393,1.393,-0.354,0.0,0.0,-0.005,move
45,39.989,3.178,3.178,-0.382,0.0,0.0,-0.005,move
46,19.989,-20.0,-41.544,1.532,0.0,0.0,-0.055,lick
47,0.0,-20.0,-27.976,1.334,0.0,0.0,9.945,lick
48,0.0,-6.278,-6.278,1.08,0.0,0.0,-0.055,lick
49,20.0,20.0,29.627,0.264,0.0,0.0,-0.015,nose_poke
50,40.0,20.0,30.383,-0.749,0.0,0.0,-0.005,move
51,26.262,-13.738,-13.738,1.595,0.0,0.0,-0.055,lick
52,29.617,3.355,3.355,0.467,0.0,0.0,-0.015,nose_poke
53,49.617,20.0,23.32,-0.406,0.0,0.0,-0.005,move
54,69.617,20.0,32.694,-0.425,0.0,0.0,-0.005,move
55,89.617,20.0,28.061,1.304,0.0,0.0,-0.055,lick
56,102.67,13.054,13.054,0.176,0.0,0.0,-0.015,nose_poke
57,120.0,20.0,42.471,-0.648,0.0,0.0,-0.005,move
58,120.0,3.762,3.762,1.209,0.0,0.0,-0.055,lick
59,100.0,-20.0,-20.203,1.078,0.0,0.0,-0.055,lick
60,80.0,-20.0,-42.708,1.133,0.0,0.0,-0.055,lick
61,60.0,-20.0,-52.076,0.065,0.0,0.0,-0.015,nose_poke
62,50.463,-9.537,-9.537,2.404,0.0,0.0,-0.055,lick
63,30.463,-20.0,-23.29,-0.167,0.0,0.0,-0.005,move
64,25.535,-4.928,-4.928,0.111,0.0,0.0,-0.015,nose_poke
65,21.648,-3.888,-3.888,-0.239,0.0,0.0,-0.005,move
66,5.905,-15.743,-15.743,1.346,0.0,0.0,-0.055,lick
67,12.204,6.3,6.3,0.896,0.0,0.0,-0.055,lick
68,0.0,-20.0,-71.723,1.263,0.0,0.0,9.945,lick
69,0.0,-12.617,-12.617,-1.695,0.0,0.0,-0.005,move
70,0.0,-20.0,-29.322,-0.114,0.0,0.0,-0.005,move
71,5.572,5.572,5.572,0.74,0.0,0.0,-0.055,lick
72,0.0,-11.958,-11.958,0.291,0.0,0.0,-0.015,nose_poke
73,20.0,20.0,42.237,3.611,0.0,0.0,-0.055,lick
74,28.209,8.209,8.209,0.575,0.0,0.0,-0.055,lick
75,43.106,14.898,14.898,0.199,0.0,0.0,-0.015,nose_poke
76,57.229,14.123,14.123,1.317,0.0,0.0,-0.055,lick
77,47.627,-9.602,-9.602,0.579,0.0,0.0,-0.055,lick
78,57.749,10.122,10.122,0.748,0.0,0.0,-0.055,lick
79,63.451,5.702,5.702,1.678,0.0,0.0,-0.055,lick
80,58.925,-4.525,-4.525,-0.146,0.0,0.0,-0.005,move
81,49.02,-9.905,-9.905,0.553,0.0,0.0,-0.055,lick
82,53.178,4.158,4.158,1.207,0.0,0.0,-0.055,lick
83,52.902,-0.276,-0.276,-1.243,0.0,0.0,-0.005,move
84,72.902,20.0,49.918,-0.025,0.0,0.0,-0.005,move
85,92.902,20.0,56.08,0.48,0.0,0.0,-0.015,nose_poke
86,107.199,14.297,14.297,-1.626,0.0,0.0,-0.005,move
87,120.0,20.0,33.176,-0.78,0.0,0.0,-0.005,move
88,120.0,20.0,38.603,1.639,0.0,0.0,-0.055,lick
89,100.0,-20.0,-21.951,0.66,0.0,0.0,-0.055,lick
90,85.883,-14.117,-14.117,1.766,0.0,0.0,-0.055,lick
91,84.867,-1.016,-1.016,0.856,0.0,0.0,-0.055,lick
92,80.765,-4.102,-4.102,1.137,0.0,0.0,-0.055,lick
93,69.928,-10.838,-10.838,0.802,0.0,0.0,-0.055,lick
94,49.928,-20.0,-44.662,0.603,0.0,0.0,-0.055,lick
95,34.137,-15.79,-15.79,0.711,0.0,0.0,-0.055,lick
96,19.142,-14.995,-14.995,1.458,0.0,0.0,-0.055,lick
97,3.492,-15.65,-15.65,2.073,0.0,0.0,-0.055,lick
98,0.0,-8.785,-8.785,-1.95,0.0,0.0,-0.005,move
99,0.0,-0.346,-0.346,-0.492,0.0,0.0,-0.005,move
100,0.0,-16.43,-16.43,-0.682,0.0,0.0,-0.005,move
101,0.0,-6.236,-6.236,1.141,0.0,0.0,9.945,lick
102,14.799,14.799,14.799,-0.385,0.0,0.0,-0.005,move
103,34.799,20.0,45.763,1.028,0.0,0.0,-0.055,lick
104,54.799,20.0,25.242,-1.768,0.0,0.0,-0.005,move
105,50.838,-3.961,-3.961,0.715,0.0,0.0,-0.055,lick
106,60.764,9.926,9.926,-2.733,0.0,0.0,-0.005,move
107,71.667,10.903,10.903,-1.432,0.0,0.0,-0.005,move
108,91.667,20.0,31.671,-1.249,0.0,0.0,-0.005,move
109,90.005,-1.662,-1.662,0.772,0.0,0.0,-0.055,lick
110,105.549,15.544,15.544,-1.12,0.0,0.0,-0.005,move
111,120.0,20.0,21.603,0.678,0.0,0.0,-0.055,lick
112,100.0,-20.0,-33.108,1.853,0.0,0.0,-0.055,lick
