Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,63.861,-5.811,-5.811,0.054,0.0,0.0,-0.015,nose_poke
2,64.717,0.857,0.857,0.295,0.0,0.0,-0.015,nose_poke
3,44.717,-20.0,-20.19,0.277,0.0,0.0,-0.015,nose_poke
4,26.315,-18.402,-18.402,0.483,0.0,0.0,-0.015,nose_poke
5,9.334,-16.981,-16.981,1.248,0.0,0.0,-0.055,lick
6,0.0,-12.076,-12.076,-0.872,0.0,0.0,-0.005,move
7,0.0,-19.773,-19.773,0.71,0.0,0.0,-0.055,lick
8,0.0,-20.0,-45.565,-0.063,0.0,0.0,-0.005,move
9,16.181,16.181,16.181,0.403,0.0,0.0,-0.015,nose_poke
10,9.385,-6.796,-6.796,1.054,0.0,0.0,-0.055,lick
11,29.385,20.0,21.119,-0.211,0.0,0.0,-0.005,move
12,49.385,20.0,21.901,0.493,0.0,0.0,-0.015,nose_poke
13,38.052,-11.334,-11.334,-0.214,0.0,0.0,-0.005,move
14,22.066,-15.986,-15.986,0.635,0.0,0.0,-0.055,lick
15,28.11,6.044,6.044,1.788,0.0,0.0,-0.055,lick
16,8.11,-20.0,-38.544,-0.477,0.0,0.0,-0.005,move
17,8.566,0.456,0.456,-1.268,0.0,0.0,-0.005,move
18,17.792,9.226,9.226,0.671,0.0,0.0,-0.055,lick
19,37.792,20.0,20.581,-1.622,0.0,0.0,-0.005,move
20,22.705,-15.087,-15.087,0.225,0.0,0.0,-0.015,nose_poke
21,42.705,20.0,29.577,-1.091,0.0,0.0,-0.005,move
22,51.35,8.645,8.645,-0.589,0.0,0.0,-0.005,move
23,38.695,-12.655,-12.655,1.321,0.0,0.0,-0.055,lick
24,48.809,10.114,10.114,-0.729,0.0,0.0,-0.005,move
25,35.318,-13.491,-13.491,-0.765,0.0,0.0,-0.005,move
26,34.367,-0.951,-0.951,-0.403,0.0,0.0,-0.005,move
27,14.367,-20.0,-32.603,-0.228,0.0,0.0,-0.005,move
28,0.0,-20.0,-35.022,0.127,0.0,0.0,-0.015,nose_poke
29,20.0,20.0,48.917,0.345,0.0,0.0,-0.015,nose_poke
30,20.623,0.623,0.623,-1.293,0.0,0.0,-0.005,move
31,29.138,8.515,8.515,0.487,0.0,0.0,-0.015,nose_poke
32,9.138,-20.0,-36.323,0.249,0.0,0.0,-0.015,nose_poke
33,0.0,-20.0,-42.962,-2.089,0.0,0.0,-0.005,move
34,0.0,-20.0,-22.839,-0.891,0.0,0.0,-0.005,move
35,0.0,-6.846,-6.846,0.667,0.0,0.0,-0.055,lick
36,0.0,-20.0,-20.442,1.364,0.0,0.0,-0.055,lick
37,0.0,-16.5,-16.5,-0.057,0.0,0.0,-0.005,move
38,20.0,20.0,30.729,0.663,0.0,0.0,-0.055,lick
39,0.0,-20.0,-22.33,-0.109,0.0,0.0,-0.005,move
40,0.0,-11.777,-11.777,-0.323,0.0,0.0,-0.005,move
41,20.0,20.0,23.767,0.82,0.0,0.0,-0.055,lick
42,26.382,6.382,6.382,0.88,0.0,0.0,-0.055,lick
43,6.382,-20.0,-40.745,1.14,0.0,0.0,-0.055,lick
44,0.0,-20.0,-20.659,-0.327,0.0,0.0,-0.005,move
45,0.0,-20.0,-52.852,2.642,0.0,0.0,-0.055,lick
46,0.0,-0.764,-0.764,-1.011,0.0,0.0,-0.005,move
47,0.0,-15.782,-15.782,-0.188,0.0,0.0,-0.005,move
48,0.0,-7.528,-7.528,0.212,0.0,0.0,-0.015,nose_poke
49,0.0,-10.906,-10.906,0.58,0.0,0.0,-0.055,lick
50,0.0,-20.0,-35.641,0.108,0.0,0.0,-0.015,nose_poke
51,0.0,-20.0,-28.222,-2.447,0.0,0.0,-0.005,move
52,20.0,20.0,48.263,0.006,0.0,0.0,-0.015,nose_poke
53,30.283,10.283,10.283,1.146,0.0,0.0,-0.055,lick
54,45.353,15.07,15.07,-0.818,0.0,0.0,-0.005,move
55,40.139,-5.215,-5.215,-0.728,0.0,0.0,-0.005,move
56,20.77,-19.369,-19.369,0.906,0.0,0.0,-0.055,lick
57,14.614,-6.156,-6.156,-1.593,0.0,0.0,-0.005,move
58,12.778,-1.836,-1.836,-1.093,0.0,0.0,-0.005,move
59,6.068,-6.71,-6.71,-0.139,0.0,0.0,-0.005,move
60,0.0,-20.0,-43.426,-1.802,0.0,0.0,-0.005,move
61,0.0,-17.438,-17.438,0.696,0.0,0.0,-0.055,lick
62,0.0,-20.0,-23.373,0.29,0.0,0.0,-0.015,nose_poke
63,0.0,-20.0,-33.141,0.008,0.0,0.0,-0.015,nose_poke
64,12.41,12.41,12.41,-1.662,0.0,0.0,-0.005,move
65,0.0,-20.0,-33.693,0.351,0.0,0.0,-0.015,nose_poke
66,20.0,20.0,25.685,-0.149,0.0,0.0,-0.005,move
67,40.0,20.0,30.397,1.239,0.0,0.0,-0.055,lick
68,27.42,-12.58,-12.58,-0.645,0.0,0.0,-0.005,move
69,7.42,-20.0,-26.33,-1.397,0.0,0.0,-0.005,move
70,0.0,-16.818,-16.818,-0.422,0.0,0.0,-0.005,move
71,20.0,20.0,35.033,-0.039,0.0,0.0,-0.005,move
72,25.729,5.729,5.729,-1.598,0.0,0.0,-0.005,move
73,45.729,20.0,41.482,0.85,0.0,0.0,-0.055,lick
74,40.813,-4.916,-4.916,-0.923,0.0,0.0,-0.005,move
75,60.813,20.0,28.958,-1.891,0.0,0.0,-0.005,move
76,80.813,20.0,24.332,0.764,0.0,0.0,-0.055,lick
77,79.578,-1.235,-1.235,0.72,0.0,0.0,-0.055,lick
78,85.041,5.464,5.464,-1.623,0.0,0.0,-0.005,move
79,105.041,20.0,29.188,0.075,0.0,0.0,-0.015,nose_poke
80,104.096,-0.945,-0.945,-0.409,0.0,0.0,-0.005,move
81,120.0,20.0,23.644,0.282,0.0,0.0,-0.015,nose_poke
82,120.0,18.691,18.691,0.182,0.0,0.0,-0.015,nose_poke
83,102.796,-17.204,-17.204,1.597,0.0,0.0,-0.055,lick
84,102.675,-0.121,-0.121,1.937,0.0,0.0,-0.055,lick
85,108.23,5.555,5.555,-0.968,0.0,0.0,-0.005,move
86,95.878,-12.352,-12.352,1.123,0.0,0.0,-0.055,lick
87,75.878,-20.0,-24.154,-0.091,0.0,0.0,-0.005,move
88,61.186,-14.692,-14.692,0.498,0.0,0.0,-0.015,nose_poke
89,81.186,20.0,20.801,-1.174,0.0,0.0,-0.005,move
90,89.16,7.974,7.974,-0.039,0.0,0.0,-0.005,move
91,101.616,12.455,12.455,0.326,0.0,0.0,-0.015,nose_poke
92,94.17,-7.446,-7.446,-0.576,0.0,0.0,-0.005,move
