Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,99.189,20.0,24.895,-3.159,0.0,0.0,-0.005,move
2,113.745,14.556,14.556,-2.947,0.0,0.0,-0.005,move
3,120.0,17.389,17.389,-0.981,0.0,0.0,-0.005,move
4,120.0,3.746,3.746,-1.472,0.0,0.0,-0.005,move
5,120.0,14.552,14.552,0.434,0.0,0.0,-0.015,nose_poke
6,120.0,20.0,24.097,-1.263,0.0,0.0,-0.005,move
7,120.0,0.285,0.285,-1.114,0.0,0.0,-0.005,move
8,120.0,20.0,49.401,0.538,0.0,0.0,-0.055,lick
9,120.0,20.0,56.039,-0.11,0.0,0.0,-0.005,move
10,120.0,13.22,13.22,-0.998,0.0,0.0,-0.005,move
11,120.0,20.0,51.157,-0.413,0.0,0.0,-0.005,move
12,120.0,0.051,0.051,0.733,0.0,0.0,-0.055,lick
13,120.0,20.0,49.065,-0.015,0.0,0.0,-0.005,move
14,120.0,20.0,24.901,-1.838,0.0,0.0,-0.005,move
15,120.0,20.0,43.913,-1.421,0.0,0.0,-0.005,move
16,120.0,12.631,12.631,-2.047,0.0,0.0,-0.005,move
17,117.941,-2.059,-2.059,-0.649,0.0,0.0,-0.005,move
18,120.0,20.0,54.113,-1.172,0.0,0.0,-0.005,move
19,120.0,8.505,8.505,-1.728,0.0,0.0,-0.005,move
20,120.0,11.712,11.712,-0.648,0.0,0.0,-0.005,move
21,120.0,20.0,23.171,-0.78,0.0,0.0,-0.005,move
22,120.0,17.012,17.012,0.911,0.0,0.0,-0.055,lick
23,120.0,20.0,22.46,-1.282,0.0,0.0,-0.005,move
24,120.0,20.0,21.995,-0.855,0.0,0.0,-0.005,move
25,120.0,14.375,14.375,0.836,0.0,0.0,-0.055,lick
26,120.0,19.876,19.876,-1.466,0.0,0.0,-0.005,move
27,120.0,11.704,11.704,-0.407,0.0,0.0,-0.005,move
28,120.0,20.0,36.443,-1.581,0.0,0.0,-0.005,move
29,120.0,20.0,27.643,-2.652,0.0,0.0,-0.005,move
