Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,28.254,-19.959,-19.959,-0.261,0.5029,0.0268,-0.005
2,12.465,-15.789,-15.789,-0.06,0.4089,0.0592,-0.005
3,25.284,12.819,12.819,-0.516,-0.0619,0.0488,-0.005
4,11.261,-14.023,-14.023,0.974,0.4344,0.0406,-0.055
5,3.195,-8.066,-8.066,-0.839,0.1939,0.0448,-0.005
6,16.441,13.246,13.246,0.477,-0.0901,0.0386,-0.055
7,5.995,-10.446,-10.446,0.87,0.3505,0.0437,-0.055
8,0.0,-13.837,-13.837,-0.698,0.3232,0.0409,-0.005
9,0.0,-6.311,-6.311,-0.987,0.1691,0.0524,-0.005
10,5.807,5.807,5.807,-0.146,0.0466,0.0388,-0.005
11,19.723,13.917,13.917,0.286,-0.0842,0.038,-0.055
12,29.988,10.265,10.265,0.485,-0.0382,0.0443,-0.055
13,29.378,-0.61,-0.61,0.882,0.0734,0.0346,-0.055
14,25.917,-3.46,-3.46,0.319,0.1765,0.0291,-0.055
15,40.902,14.984,14.984,0.019,-0.0894,0.0307,-0.055
16,23.521,-17.381,-17.381,-0.674,0.4405,0.0388,-0.005
17,13.135,-10.386,-10.386,-0.976,0.2377,0.0517,-0.005
18,11.109,-2.026,-2.026,0.895,0.1204,0.0393,-0.055
19,15.544,4.435,4.435,-0.838,0.0454,0.0341,-0.005
20,35.093,19.549,19.549,-0.98,-0.1077,0.0346,-0.005
21,18.086,-17.007,-17.007,-0.978,0.4205,0.0486,-0.005
22,29.656,11.57,11.57,0.903,-0.0895,0.0509,-0.055
23,43.859,14.203,14.203,0.01,-0.0688,0.037,-0.055
24,61.887,18.028,18.028,-0.968,-0.0742,0.0365,-0.005
25,45.423,-16.464,-16.464,-0.661,0.4242,0.07,-0.005
26,56.436,11.012,11.012,-0.867,-0.0223,0.0503,-0.005
27,61.015,4.58,4.58,0.967,0.006,0.0309,-0.055
28,69.878,8.863,8.863,0.564,-0.0211,0.0571,-0.055
