Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,44.325,-12.835,-12.835,0.69,0.41,0.0261,-0.055
2,51.996,7.671,7.671,0.02,-0.0112,0.0414,-0.055
3,59.991,7.995,7.995,0.552,-0.0137,0.0281,-0.055
4,67.165,7.174,7.174,0.054,0.0142,0.028,-0.055
5,54.046,-13.119,-13.119,0.487,0.4003,0.0587,-0.055
6,73.54,19.493,19.493,-0.923,-0.1041,0.0434,-0.005
7,88.565,15.025,15.025,-0.915,-0.0351,0.0686,-0.005
8,94.174,5.609,5.609,0.934,0.0167,0.0618,-0.055
9,110.229,16.056,16.056,-0.968,-0.0564,0.0507,-0.005
10,91.253,-18.977,-18.977,-0.159,0.5167,0.0595,-0.005
11,102.98,11.727,11.727,-0.781,-0.0328,0.0535,-0.005
12,93.071,-9.909,-9.909,0.653,0.361,0.0561,-0.055
13,77.463,-15.608,-15.608,0.959,0.4843,0.044,-0.055
14,95.786,18.322,18.322,-0.068,-0.1182,0.0508,-0.005
15,83.646,-12.14,-12.14,0.102,0.3805,0.063,-0.055
16,98.164,14.518,14.518,0.602,-0.0818,0.047,-0.055
17,83.398,-14.766,-14.766,0.716,0.4617,0.0601,-0.055
18,100.265,16.868,16.868,-0.265,-0.0972,0.0495,-0.005
19,105.05,4.784,4.784,-0.321,0.0772,0.0615,-0.005
20,120.0,15.444,15.444,-0.701,-0.0522,0.0478,-0.005
21,120.0,5.476,5.476,0.974,0.0769,0.0441,-0.055
22,104.664,-15.336,-15.336,0.748,0.5119,0.0473,-0.055
23,117.898,13.234,13.234,-0.121,-0.0574,0.0436,-0.005
24,118.263,0.365,0.365,0.905,0.081,0.059,-0.055
25,114.957,-3.306,-3.306,0.701,0.2516,0.0389,-0.055
26,120.0,6.571,6.571,0.38,0.024,0.0456,-0.055
27,101.34,-18.66,-18.66,-0.084,0.5508,0.0486,-0.005
28,112.198,10.858,10.858,-0.764,-0.0181,0.0483,-0.005
