Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,64.662,-9.578,-9.578,0.263,-0.0679,0.9048,-0.015,nose_poke
2,61.261,-3.401,-3.401,0.38,-0.0632,0.8963,-0.015,nose_poke
3,73.053,11.792,11.792,0.168,0.3124,0.904,-0.015,nose_poke
4,69.429,-3.624,-3.624,-0.279,-0.0611,0.9094,-0.005,move
5,79.085,9.656,9.656,0.894,0.2304,0.9022,-0.055,lick
6,66.457,-12.628,-12.628,0.871,-0.1017,0.9103,-0.055,lick
7,60.585,-5.873,-5.873,-0.223,-0.0433,0.8936,-0.005,move
8,73.485,12.9,12.9,0.961,0.3128,0.9009,-0.055,lick
9,80.755,7.27,7.27,0.587,0.2071,0.9077,-0.055,lick
10,61.985,-18.77,-18.77,-0.694,-0.1128,0.9101,-0.005,move
11,80.174,18.189,18.189,-0.472,0.476,0.8856,-0.005,move
12,98.904,18.73,18.73,-0.178,0.5657,0.9014,-0.005,move
13,94.447,-4.457,-4.457,0.951,-0.0542,0.8982,-0.055,lick
14,106.06,11.613,11.613,0.806,0.2895,0.8964,-0.055,lick
15,120.0,15.794,15.794,-0.077,0.4678,0.9,-0.005,move
16,120.0,1.396,1.396,0.631,0.0743,0.8929,-0.055,lick
17,120.0,12.922,12.922,-0.067,0.3841,0.8658,-0.005,move
18,120.0,10.095,10.095,-0.041,0.3261,0.8767,-0.005,move
19,104.657,-15.343,-15.343,0.553,-0.0929,0.8718,-0.055,lick
20,120.0,16.462,16.462,0.407,0.3952,0.8853,-0.015,nose_poke
21,112.482,-7.518,-7.518,-0.255,-0.0585,0.882,-0.005,move
22,107.172,-5.31,-5.31,-0.431,-0.0256,0.8937,-0.005,move
23,115.298,8.126,8.126,0.838,0.1794,0.8968,-0.055,lick
24,120.0,18.327,18.327,0.213,0.5071,0.8991,-0.015,nose_poke
25,120.0,18.045,18.045,-0.625,0.5802,0.8839,-0.005,move
26,101.39,-18.61,-18.61,-0.358,-0.1242,0.8836,-0.005,move
27,96.337,-5.053,-5.053,-0.752,-0.0216,0.8839,-0.005,move
28,88.784,-7.553,-7.553,-0.65,-0.0336,0.8989,-0.005,move
29,100.137,11.353,11.353,-0.556,0.3092,0.8977,-0.005,move
30,107.124,6.987,6.987,-0.034,0.2086,0.9044,-0.005,move
31,87.417,-19.707,-19.707,-0.858,-0.0995,0.9013,-0.005,move
32,104.646,17.229,17.229,0.95,0.3894,0.8829,-0.055,lick
33,88.903,-15.743,-15.743,-0.804,-0.1128,0.9019,-0.005,move
34,101.062,12.158,12.158,0.248,0.2829,0.8872,-0.015,nose_poke
35,85.816,-15.245,-15.245,-0.576,-0.0981,0.9042,-0.005,move
36,91.918,6.101,6.101,-0.945,0.1706,0.8879,-0.005,move
37,85.996,-5.922,-5.922,0.968,-0.0263,0.9041,-0.055,lick
38,75.688,-10.308,-10.308,-0.039,-0.034,0.9004,-0.005,move
39,92.581,16.893,16.893,-0.399,0.4441,0.8956,-0.005,move
40,95.748,3.166,3.166,0.214,0.0766,0.9057,-0.015,nose_poke
41,95.855,0.107,0.107,0.495,-0.004,0.9038,-0.015,nose_poke
42,113.104,17.25,17.25,-0.659,0.4921,0.9025,-0.005,move
43,118.276,5.171,5.171,0.297,0.1496,0.8995,-0.015,nose_poke
44,107.991,-10.285,-10.285,0.323,-0.0506,0.868,-0.015,nose_poke
45,110.419,2.428,2.428,0.935,0.0431,0.8908,-0.055,lick
46,94.12,-16.299,-16.299,0.77,-0.0735,0.899,-0.055,lick
47,101.794,7.674,7.674,-0.552,0.1981,0.886,-0.005,move
48,90.071,-11.723,-11.723,-0.616,-0.0736,0.9029,-0.005,move
49,107.643,17.572,17.572,0.484,0.428,0.8908,-0.015,nose_poke
50,115.189,7.546,7.546,0.364,0.2253,0.901,-0.015,nose_poke
51,110.32,-4.869,-4.869,-0.876,-0.0479,0.899,-0.005,move
52,94.285,-16.036,-16.036,-0.534,-0.0594,0.8963,-0.005,move
53,88.577,-5.708,-5.708,-0.734,-0.0195,0.8861,-0.005,move
54,76.557,-12.02,-12.02,-0.795,-0.0445,0.9,-0.005,move
55,68.854,-7.703,-7.703,-0.594,-0.0208,0.8926,-0.005,move
56,65.095,-3.759,-3.759,0.76,-0.0102,0.9007,-0.055,lick
57,81.472,16.377,16.377,-0.43,0.447,0.9057,-0.005,move
58,74.046,-7.425,-7.425,0.524,-0.0555,0.9087,-0.055,lick
59,91.873,17.827,17.827,0.333,0.4457,0.9004,-0.015,nose_poke
60,89.041,-2.833,-2.833,-0.032,-0.0535,0.9057,-0.005,move
61,84.353,-4.688,-4.688,-0.454,-0.0334,0.9019,-0.005,move
62,75.22,-9.133,-9.133,-0.107,-0.0338,0.9018,-0.005,move
63,76.036,0.816,0.816,0.913,0.0268,0.8978,-0.055,lick
64,56.967,-19.069,-19.069,-0.972,-0.0827,0.9064,-0.005,move
65,70.398,13.431,13.431,-0.522,0.3133,0.8551,-0.005,move
66,73.502,3.104,3.104,-0.874,0.0763,0.9105,-0.005,move
67,80.302,6.8,6.8,0.726,0.1607,0.9067,-0.055,lick
68,61.636,-18.667,-18.667,0.822,-0.0955,0.9068,-0.055,lick
69,56.259,-5.377,-5.377,-0.154,-0.01,0.8834,-0.005,move
70,38.846,-17.413,-17.413,-0.289,-0.048,0.8787,-0.005,move
71,39.667,0.821,0.821,-0.186,0.0017,0.8599,-0.005,move
72,43.105,3.438,3.438,0.977,0.0294,0.8879,-0.055,lick
73,48.957,5.852,5.852,-0.225,0.1329,0.8917,-0.005,move
74,63.776,14.818,14.818,-0.789,0.4185,0.8957,-0.005,move
75,56.23,-7.546,-7.546,-0.164,-0.0592,0.9128,-0.005,move
76,66.864,10.634,10.634,-0.472,0.2571,0.8751,-0.005,move
77,73.681,6.817,6.817,0.931,0.1673,0.9094,-0.055,lick
78,82.088,8.407,8.407,0.387,0.2246,0.9077,-0.015,nose_poke
79,80.159,-1.929,-1.929,-0.008,-0.0488,0.9068,-0.005,move
80,65.806,-14.353,-14.353,-0.9,-0.0636,0.9041,-0.005,move
81,65.345,-0.461,-0.461,-0.915,-0.0433,0.8909,-0.005,move
82,59.07,-6.275,-6.275,-0.054,-0.0311,0.9067,-0.005,move
83,68.719,9.649,9.649,0.105,0.2135,0.8773,-0.015,nose_poke
84,79.793,11.074,11.074,0.202,0.3093,0.9088,-0.015,nose_poke
85,91.025,11.232,11.232,0.295,0.315,0.9077,-0.015,nose_poke
86,91.773,0.748,0.748,-0.14,-0.0244,0.9059,-0.005,move
87,73.005,-18.768,-18.768,0.783,-0.0863,0.9039,-0.055,lick
88,65.59,-7.415,-7.415,-0.417,-0.0057,0.8845,-0.005,move
89,47.193,-18.397,-18.397,0.684,-0.0716,0.9015,-0.055,lick
90,54.427,7.235,7.235,-0.447,0.1417,0.8578,-0.005,move
91,52.694,-1.734,-1.734,-0.913,-0.0454,0.8974,-0.005,move
92,38.557,-14.136,-14.136,0.909,-0.0467,0.8842,-0.055,lick
93,51.285,12.728,12.728,0.294,0.277,0.865,-0.015,nose_poke
94,59.753,8.468,8.468,0.084,0.2162,0.903,-0.015,nose_poke
95,53.097,-6.656,-6.656,0.96,-0.0259,0.8984,-0.055,lick
96,53.788,0.691,0.691,-0.175,-0.0237,0.8767,-0.005,move
97,73.242,19.454,19.454,-0.877,0.5396,0.8873,-0.005,move
98,76.182,2.94,2.94,-0.721,0.0713,0.9115,-0.005,move
99,76.225,0.043,0.043,-0.938,-0.0681,0.9064,-0.005,move
