Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
83,26.191,0.89,0.89,0.003,-0.0036,0.9155,-0.015,nose_poke
84,17.044,-9.147,-9.147,-0.215,-0.0485,0.9108,-0.005,move
85,20.572,3.528,3.528,-0.276,0.0699,0.8973,-0.005,move
86,28.299,7.727,7.727,0.314,0.1928,0.9137,-0.015,nose_poke
87,13.793,-14.505,-14.505,0.183,-0.0761,0.9154,-0.015,nose_poke
88,32.235,18.442,18.442,-0.123,0.4691,0.8884,-0.005,move
89,45.126,12.89,12.89,0.59,0.3629,0.9068,-0.055,lick
90,36.775,-8.351,-8.351,-0.334,-0.0779,0.9102,-0.005,move
91,56.276,19.502,19.502,-0.935,0.5412,0.8968,-0.005,move
92,46.828,-9.449,-9.449,0.824,-0.076,0.9006,-0.055,lick
93,31.645,-15.182,-15.182,0.754,-0.0585,0.8937,-0.055,lick
94,26.344,-5.301,-5.301,0.222,-0.0288,0.8849,-0.015,nose_poke
95,7.269,-19.075,-19.075,-0.609,-0.0728,0.9032,-0.005,move
96,0.0,-8.181,-8.181,0.448,-0.021,0.8784,-0.015,nose_poke
97,0.0,-2.764,-2.764,-0.041,-0.0445,0.8683,-0.005,move
98,2.413,2.413,2.413,-0.145,0.0737,0.8735,-0.005,move
99,6.828,4.415,4.415,-0.115,0.1427,0.8749,-0.005,move
100,3.381,-3.447,-3.447,0.082,-0.0423,0.9153,-0.015,nose_poke
101,0.0,-4.429,-4.429,0.043,-0.0323,0.9087,-0.015,nose_poke
102,0.0,-7.579,-7.579,0.026,-0.0395,0.8721,-0.015,nose_poke
103,19.4,19.4,19.4,-0.001,0.533,0.8689,-0.005,move
104,7.893,-11.507,-11.507,0.946,-0.0796,0.9103,-0.055,lick
105,8.887,0.994,0.994,0.71,-0.0213,0.894,-0.055,lick
106,0.0,-17.599,-17.599,0.392,-0.0777,0.9132,-0.015,nose_poke
107,18.193,18.193,18.193,-0.671,0.5027,0.8506,-0.005,move
108,10.174,-8.018,-8.018,0.601,-0.0713,0.9117,-0.055,lick
109,19.14,8.966,8.966,-0.044,0.2162,0.9001,-0.005,move
110,4.21,-14.931,-14.931,0.989,-0.0754,0.9159,-0.055,lick
111,0.0,-18.625,-18.625,-0.993,-0.0468,0.8888,-0.005,move
112,11.41,11.41,11.41,0.198,0.2805,0.8485,-0.015,nose_poke
113,29.282,17.873,17.873,-0.561,0.5253,0.9165,-0.005,move
114,23.928,-5.354,-5.354,0.958,-0.0516,0.9084,-0.055,lick
115,39.368,15.44,15.44,0.954,0.3695,0.9034,-0.055,lick
116,34.516,-4.853,-4.853,-0.638,-0.0723,0.9087,-0.005,move
117,34.453,-0.063,-0.063,0.471,-0.0334,0.9025,-0.015,nose_poke
118,51.075,16.622,16.622,-0.247,0.4567,0.9091,-0.005,move
119,40.228,-10.847,-10.847,-0.902,-0.0915,0.9042,-0.005,move
120,44.32,4.092,4.092,-0.832,0.1031,0.8922,-0.005,move
121,41.784,-2.536,-2.536,0.675,-0.0334,0.9142,-0.055,lick
122,58.37,16.586,16.586,0.508,0.4237,0.905,-0.055,lick
123,39.947,-18.423,-18.423,0.904,-0.0994,0.9027,-0.055,lick
124,43.032,3.085,3.085,-0.161,0.0436,0.8769,-0.005,move
125,47.908,4.876,4.876,-0.839,0.1485,0.913,-0.005,move
126,54.39,6.482,6.482,0.096,0.1704,0.915,-0.015,nose_poke
127,58.866,4.476,4.476,-0.369,0.1229,0.9143,-0.005,move
128,78.287,19.421,19.421,0.352,0.5258,0.9136,-0.015,nose_poke
129,60.896,-17.39,-17.39,-0.232,-0.1393,0.9009,-0.005,move
130,57.346,-3.55,-3.55,0.98,-0.0694,0.8884,-0.055,lick
131,66.562,9.216,9.216,0.582,0.2172,0.9011,-0.055,lick
132,81.244,14.682,14.682,0.713,0.4026,0.9136,-0.055,lick
133,91.827,10.583,10.583,-0.13,0.33,0.9042,-0.005,move
134,85.971,-5.856,-5.856,0.023,-0.0668,0.9053,-0.015,nose_poke
135,98.678,12.707,12.707,-0.846,0.3723,0.8961,-0.005,move
136,101.493,2.815,2.815,0.408,0.0909,0.9016,-0.015,nose_poke
137,117.699,16.206,16.206,0.448,0.4447,0.9017,-0.015,nose_poke
138,120.0,6.402,6.402,-0.859,0.2711,0.894,-0.005,move
139,120.0,4.789,4.789,0.397,0.1677,0.8852,-0.015,nose_poke
140,112.487,-7.513,-7.513,-0.072,-0.0752,0.8839,-0.005,move
141,107.68,-4.806,-4.806,0.853,-0.0537,0.8879,-0.055,lick
142,118.308,10.627,10.627,-0.078,0.2927,0.8924,-0.005,move
143,110.172,-8.136,-8.136,0.598,-0.0849,0.8904,-0.055,lick
144,116.254,6.082,6.082,0.096,0.1553,0.8881,-0.015,nose_poke
145,118.696,2.442,2.442,0.559,0.0811,0.8984,-0.055,lick
146,120.0,12.578,12.578,-0.605,0.3961,0.8667,-0.005,move
147,104.262,-15.738,-15.738,-0.511,-0.099,0.8761,-0.005,move
148,92.268,-11.994,-11.994,0.12,-0.0243,0.8851,-0.015,nose_poke
149,98.287,6.019,6.019,0.357,0.1369,0.8902,-0.015,nose_poke
150,108.938,10.65,10.65,-0.466,0.3166,0.9028,-0.005,move
151,115.743,6.805,6.805,0.562,0.1852,0.9019,-0.055,lick
152,117.133,1.39,1.39,-0.546,0.0002,0.8984,-0.005,move
153,120.0,18.941,18.941,-0.885,0.5768,0.8666,-0.005,move
154,120.0,1.257,1.257,-0.142,0.0135,0.8844,-0.005,move
155,120.0,2.546,2.546,0.482,0.0795,0.8657,-0.015,nose_poke
156,117.844,-2.156,-2.156,-0.897,-0.0593,0.8663,-0.005,move
