Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,49.672,-20.0,-20.0,0.967,-0.9047,0.0,-0.055
2,30.161,-19.511,-19.511,1.0,-0.8334,0.0,-0.055
3,10.161,-20.0,-20.0,1.0,-0.7245,0.0,-0.055
4,0.0,-20.0,-20.0,0.367,-0.5106,0.0,-0.055
5,0.0,-20.0,-20.0,1.0,-0.7404,0.0,-0.055
6,0.0,-19.341,-19.341,-0.408,-0.8308,0.0,-0.005
7,0.0,-20.0,-20.0,1.0,-0.7864,0.0,-0.055
8,0.0,-20.0,-20.0,0.419,-0.7377,0.0,-0.055
9,0.0,-20.0,-20.0,1.0,-0.864,0.0,-0.055
10,0.0,-20.0,-20.0,0.909,-0.8199,0.0,-0.055
11,20.0,20.0,20.0,-0.426,-0.6971,0.0,-0.005
12,0.0,-20.0,-20.0,1.0,-0.765,0.0,-0.055
13,0.0,-20.0,-20.0,0.679,-0.8914,0.0,-0.055
14,0.0,-20.0,-20.0,0.737,-0.693,0.0,-0.055
15,12.653,12.653,12.653,1.0,-0.8471,0.0,-0.055
16,10.684,-1.97,-1.97,-0.422,-0.585,0.0,-0.005
17,0.0,-20.0,-20.0,-1.0,-0.782,0.0,-0.005
18,0.0,-20.0,-20.0,1.0,-0.7714,0.0,-0.055
19,0.0,-8.072,-8.072,0.773,-0.7042,0.0,-0.055
20,0.0,-18.117,-18.117,0.301,-0.7347,0.0,-0.055
21,0.0,-13.153,-13.153,1.0,-0.8292,0.0,-0.055
22,0.0,-20.0,-20.0,1.0,-0.8056,0.0,-0.055
23,3.034,3.034,3.034,0.574,-0.9315,0.0,-0.055
24,0.658,-2.375,-2.375,1.0,-0.7367,0.0,-0.055
25,0.0,-16.913,-16.913,1.0,-0.8735,0.0,-0.055
26,0.0,-20.0,-20.0,1.0,-0.906,0.0,-0.055
27,0.0,-4.267,-4.267,1.0,-0.899,0.0,-0.055
28,0.0,-20.0,-20.0,1.0,-0.7855,0.0,-0.055
29,15.326,15.326,15.326,1.0,-0.5675,0.0,-0.055
30,17.117,1.791,1.791,0.756,-0.5596,0.0,-0.055
31,16.133,-0.984,-0.984,1.0,-0.8079,0.0,-0.055
32,0.0,-20.0,-20.0,1.0,-0.8079,0.0,-0.055
33,0.0,-20.0,-20.0,0.347,-0.8239,0.0,-0.055
34,0.0,-13.009,-13.009,1.0,-0.8238,0.0,-0.055
35,0.0,-20.0,-20.0,1.0,-0.7622,0.0,-0.055
36,0.0,-6.063,-6.063,0.275,-0.8495,0.0,-0.055
37,0.0,-20.0,-20.0,0.83,-0.8275,0.0,-0.055
38,0.0,-20.0,-20.0,1.0,-0.7662,0.0,-0.055
39,0.0,-20.0,-20.0,-1.0,-0.8793,0.0,-0.005
40,0.0,-20.0,-20.0,0.665,-0.7937,0.0,-0.055
41,0.0,-3.685,-3.685,0.267,-0.7114,0.0,-0.055
42,18.113,18.113,18.113,-0.951,-0.5103,0.0,-0.005
43,27.139,9.026,9.026,0.766,-0.7903,0.0,-0.055
44,28.383,1.244,1.244,1.0,-0.657,0.0,-0.055
45,36.171,7.788,7.788,0.569,-0.7689,0.0,-0.055
46,16.171,-20.0,-20.0,1.0,-1.0068,0.0,-0.055
47,0.0,-17.053,-17.053,1.0,-0.6007,0.0,-0.055
48,11.54,11.54,11.54,-0.134,-0.7896,0.0,-0.005
49,8.957,-2.583,-2.583,0.371,-0.7328,0.0,-0.055
50,0.0,-15.714,-15.714,0.981,-0.7172,0.0,-0.055
51,0.0,-20.0,-20.0,0.072,-0.7578,0.0,-0.055
52,13.104,13.104,13.104,1.0,-0.6156,0.0,-0.055
53,0.0,-15.775,-15.775,1.0,-0.7293,0.0,-0.055
54,0.0,-20.0,-20.0,1.0,-0.687,0.0,-0.055
55,0.0,-19.016,-19.016,0.991,-0.793,0.0,-0.055
56,7.716,7.716,7.716,-0.06,-0.9964,0.0,-0.005
57,24.892,17.177,17.177,-0.661,-0.824,0.0,-0.005
58,42.426,17.533,17.533,0.559,-0.7484,0.0,-0.055
59,22.426,-20.0,-20.0,-0.957,-0.8559,0.0,-0.005
60,2.426,-20.0,-20.0,-0.284,-0.7144,0.0,-0.005
61,0.0,-20.0,-20.0,0.395,-0.6912,0.0,-0.055
62,5.408,5.408,5.408,0.694,-0.8469,0.0,-0.055
63,0.282,-5.126,-5.126,-0.349,-0.7703,0.0,-0.005
64,0.0,-20.0,-20.0,1.0,-0.6815,0.0,-0.055
