Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,36.259,-4.182,-4.182,-0.993,0.2415,0.9918,-0.005,move
2,46.822,10.563,10.563,-0.006,0.236,0.9961,-0.005,move
3,49.067,2.245,2.245,-0.806,0.0926,0.9918,-0.005,move
4,44.272,-4.795,-4.795,0.852,0.237,0.9914,-0.055,lick
5,28.111,-16.161,-16.161,-0.868,0.6412,0.9975,-0.005,move
6,22.738,-5.374,-5.374,-0.398,0.2992,0.0015,-0.005,move
7,20.224,-2.514,-2.514,-0.383,0.1807,0.9962,-0.005,move
8,19.426,-0.798,-0.798,-0.707,0.0919,0.9935,-0.005,move
9,29.055,9.63,9.63,-0.656,0.2231,0.992,-0.005,move
10,37.485,8.43,8.43,0.816,0.1811,0.9898,-0.055,lick
11,21.948,-15.537,-15.537,-0.967,0.6134,0.9899,-0.005,move
12,4.105,-17.843,-17.843,-0.958,0.709,0.0007,-0.005,move
13,0.0,-8.384,-8.384,-0.716,0.4012,0.002,-0.005,move
14,6.397,6.397,6.397,0.852,0.1373,0.974,-0.055,lick
15,1.307,-5.09,-5.09,0.097,0.2657,0.9876,-0.034999999999999996,nose_poke
16,0.0,-13.333,-13.333,-0.145,0.5648,0.9717,-0.005,move
17,13.326,13.326,13.326,0.916,0.254,0.9746,-0.055,lick
18,24.82,11.495,11.495,-0.737,0.2648,0.99,-0.005,move
19,12.559,-12.261,-12.261,-0.537,0.5003,0.9907,-0.005,move
20,0.524,-12.035,-12.035,0.939,0.4992,0.9985,-0.055,lick
21,0.0,-4.3,-4.3,0.162,0.2162,0.998,-0.034999999999999996,nose_poke
22,0.0,-1.648,-1.648,-0.673,0.1327,0.0016,-0.005,move
23,13.836,13.836,13.836,-0.696,0.2898,0.003,-0.005,move
24,28.211,14.375,14.375,-0.359,0.3041,0.0367,-0.005,move
25,30.96,2.75,2.75,-0.961,0.1051,0.0417,-0.005,move
26,29.078,-1.882,-1.882,-0.906,0.1143,0.0428,-0.005,move
27,24.721,-4.357,-4.357,0.09,0.2065,0.0409,-0.034999999999999996,nose_poke
28,9.888,-14.833,-14.833,0.292,0.5539,0.0389,-0.034999999999999996,nose_poke
29,19.133,9.245,9.245,0.242,0.2143,0.042,-0.034999999999999996,nose_poke
30,5.824,-13.31,-13.31,0.369,0.4897,0.0379,-0.034999999999999996,nose_poke
31,0.0,-19.788,-19.788,0.983,0.7284,0.0406,-0.055,lick
32,0.0,-12.949,-12.949,-0.423,0.5162,0.0019,-0.005,move
33,0.0,-17.1,-17.1,-0.941,0.6656,0.998,-0.005,move
