Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,44.754,-9.542,-9.542,0.434,0.4142,0.9932,-0.034999999999999996,nose_poke
2,53.964,9.209,9.209,-0.383,0.2128,0.0009,-0.005,move
3,66.586,12.623,12.623,0.044,0.2717,0.9918,-0.034999999999999996,nose_poke
4,48.199,-18.387,-18.387,-0.686,0.7249,0.028,-0.005,move
5,49.86,1.661,1.661,-0.876,0.0628,0.0063,-0.005,move
6,46.351,-3.509,-3.509,0.534,0.2033,0.9919,-0.055,lick
7,59.069,12.718,12.718,0.055,0.2725,0.9965,-0.034999999999999996,nose_poke
8,63.689,4.62,4.62,-0.261,0.1311,0.9942,-0.005,move
9,43.965,-19.723,-19.723,0.964,0.7819,0.0253,-0.055,lick
10,59.418,15.452,15.452,0.08,0.3251,0.0059,-0.034999999999999996,nose_poke
11,75.33,15.912,15.912,0.616,0.3205,0.9972,-0.055,lick
12,55.431,-19.899,-19.899,-0.896,0.7762,0.0288,-0.005,move
13,59.054,3.623,3.623,-0.926,0.0951,0.0074,-0.005,move
14,54.422,-4.632,-4.632,0.309,0.2419,0.9908,-0.034999999999999996,nose_poke
15,59.054,4.632,4.632,-0.002,0.1164,0.9985,-0.005,move
16,59.285,0.231,0.231,0.971,0.0472,0.9905,-0.055,lick
17,54.826,-4.459,-4.459,0.965,0.2243,0.9933,-0.055,lick
18,55.453,0.627,0.627,-0.811,0.0651,0.9985,-0.005,move
19,60.227,4.774,4.774,-0.318,0.1299,0.9927,-0.005,move
20,69.447,9.22,9.22,-0.425,0.1446,0.0256,-0.005,move
21,83.624,14.177,14.177,0.834,0.1955,0.028,-0.055,lick
22,72.033,-11.591,-11.591,0.76,0.4837,0.0289,-0.055,lick
23,59.266,-12.766,-12.766,0.655,0.551,0.0109,-0.055,lick
24,77.952,18.686,18.686,0.93,0.3568,0.0062,-0.055,lick
25,94.332,16.38,16.38,0.582,0.2373,0.0289,-0.055,lick
26,87.272,-7.06,-7.06,-0.498,0.3343,0.0296,-0.005,move
27,69.309,-17.964,-17.964,-0.156,0.7316,0.0178,-0.005,move
28,63.323,-5.985,-5.985,-0.394,0.338,0.0081,-0.005,move
29,43.731,-19.592,-19.592,0.108,0.7875,0.0146,-0.034999999999999996,nose_poke
30,25.812,-17.919,-17.919,0.312,0.7177,0.0058,-0.034999999999999996,nose_poke
31,9.629,-16.183,-16.183,-0.293,0.6592,0.0025,-0.005,move
32,0.471,-9.159,-9.159,0.096,0.416,0.0008,-0.034999999999999996,nose_poke
33,6.469,5.998,5.998,-0.76,0.1568,0.974,-0.005,move
34,20.415,13.947,13.947,-0.668,0.3016,0.9876,-0.005,move
35,5.196,-15.22,-15.22,0.86,0.5886,0.9907,-0.055,lick
36,0.0,-16.435,-16.435,0.777,0.6576,0.0006,-0.055,lick
37,2.309,2.309,2.309,0.848,0.0571,0.9769,-0.055,lick
38,0.0,-15.616,-15.616,-0.786,0.6493,0.9713,-0.005,move
39,12.123,12.123,12.123,0.042,0.2475,0.9763,-0.034999999999999996,nose_poke
40,3.542,-8.58,-8.58,-0.965,0.388,0.9896,-0.005,move
41,20.64,17.097,17.097,-0.807,0.3563,0.9972,-0.005,move
42,23.282,2.643,2.643,0.567,0.081,0.9905,-0.055,lick
43,28.169,4.886,4.886,-0.939,0.1347,0.9901,-0.005,move
44,10.727,-17.442,-17.442,-0.985,0.6793,0.9895,-0.005,move
45,23.71,12.984,12.984,-0.037,0.2856,0.0014,-0.005,move
46,31.061,7.35,7.35,0.214,0.1767,0.9911,-0.034999999999999996,nose_poke
47,33.866,2.806,2.806,-0.081,0.0903,0.9893,-0.005,move
48,29.738,-4.128,-4.128,0.615,0.2237,0.99,-0.055,lick
49,37.557,7.819,7.819,-0.811,0.1884,0.9955,-0.005,move
50,45.85,8.293,8.293,-0.788,0.2049,0.9897,-0.005,move
51,28.892,-16.958,-16.958,-0.335,0.6586,0.9907,-0.005,move
52,46.574,17.682,17.682,0.422,0.3579,0.0021,-0.034999999999999996,nose_poke
53,63.824,17.25,17.25,0.991,0.3419,0.9961,-0.055,lick
54,66.516,2.693,2.693,0.818,-0.0197,0.0282,-0.055,lick
55,79.114,12.597,12.597,-0.378,0.2018,0.0239,-0.005,move
56,62.175,-16.938,-16.938,0.847,0.6735,0.0283,-0.055,lick
57,69.418,7.243,7.243,0.943,0.0968,0.0066,-0.055,lick
58,83.589,14.171,14.171,-0.847,0.2336,0.0272,-0.005,move
59,67.035,-16.554,-16.554,0.7,0.6595,0.0289,-0.055,lick
60,70.271,3.237,3.237,-0.727,0.0579,0.0082,-0.005,move
61,89.084,18.813,18.813,-0.585,0.3064,0.024,-0.005,move
62,108.193,19.109,19.109,0.595,0.2857,0.0294,-0.055,lick
63,119.335,11.142,11.142,-0.094,0.1604,0.0313,-0.005,move
64,114.843,-4.492,-4.492,-0.062,0.2859,0.027,-0.005,move
