Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,82.471,12.799,12.799,0.475,0.184,0.0223,-0.034999999999999996,nose_poke
2,80.645,-1.827,-1.827,0.778,0.1933,0.0283,-0.055,lick
3,61.067,-19.578,-19.578,0.51,0.7854,0.0207,-0.055,lick
4,56.881,-4.186,-4.186,0.234,0.2799,0.0052,-0.034999999999999996,nose_poke
5,59.01,2.129,2.129,0.937,0.0321,0.9985,-0.055,lick
6,58.078,-0.933,-0.933,0.318,0.106,0.9919,-0.034999999999999996,nose_poke
7,40.051,-18.027,-18.027,0.594,0.7054,0.9948,-0.055,lick
8,56.599,16.548,16.548,-0.784,0.3434,0.0052,-0.005,move
9,40.607,-15.992,-15.992,0.613,0.6123,0.998,-0.055,lick
10,24.639,-15.968,-15.968,0.843,0.6365,0.0043,-0.055,lick
11,27.583,2.945,2.945,0.386,0.0738,0.0011,-0.034999999999999996,nose_poke
12,15.555,-12.029,-12.029,-0.674,0.4965,0.9901,-0.005,move
13,20.213,4.658,4.658,-0.417,0.1263,0.9982,-0.005,move
14,19.358,-0.855,-0.855,0.93,0.1101,0.9891,-0.055,lick
15,2.54,-16.818,-16.818,0.128,0.6641,0.992,-0.034999999999999996,nose_poke
16,9.718,7.179,7.179,0.972,0.1446,0.9768,-0.055,lick
17,12.84,3.121,3.121,-0.278,0.1074,0.9878,-0.005,move
18,4.691,-8.148,-8.148,-0.461,0.3667,0.9893,-0.005,move
19,0.0,-6.505,-6.505,-0.358,0.3209,0.997,-0.005,move
20,0.0,-10.925,-10.925,-0.803,0.4984,0.9729,-0.005,move
21,0.0,-15.698,-15.698,-0.378,0.6538,0.9738,-0.005,move
22,0.0,-5.903,-5.903,-0.829,0.3297,0.9764,-0.005,move
23,0.0,-2.603,-2.603,0.533,0.1941,0.9723,-0.055,lick
24,0.0,-7.539,-7.539,-0.974,0.3931,0.9695,-0.005,move
25,1.66,1.66,1.66,0.389,0.062,0.9737,-0.034999999999999996,nose_poke
26,0.0,-18.6,-18.6,-0.016,0.7332,0.9706,-0.005,move
27,0.0,-7.72,-7.72,-0.495,0.3905,0.978,-0.005,move
28,0.0,-4.236,-4.236,-0.35,0.2608,0.9738,-0.005,move
29,0.0,-16.987,-16.987,-0.932,0.7005,0.9709,-0.005,move
30,1.786,1.786,1.786,0.972,0.0666,0.9772,-0.055,lick
31,0.0,-4.326,-4.326,0.387,0.2487,0.9708,-0.034999999999999996,nose_poke
32,0.0,-9.888,-9.888,0.797,0.4313,0.971,-0.055,lick
33,14.295,14.295,14.295,-0.626,0.2911,0.9738,-0.005,move
34,1.841,-12.454,-12.454,0.823,0.4948,0.9901,-0.055,lick
35,2.298,0.457,0.457,0.586,0.0755,0.9742,-0.055,lick
36,0.0,-19.218,-19.218,0.749,0.7461,0.9698,-0.055,lick
37,0.0,-16.858,-16.858,-0.308,0.6993,0.9783,-0.005,move
38,19.007,19.007,19.007,-0.114,0.3768,0.9771,-0.005,move
39,18.631,-0.376,-0.376,-0.096,0.0884,0.9909,-0.005,move
40,3.33,-15.301,-15.301,-0.192,0.6127,0.9916,-0.005,move
41,8.611,5.281,5.281,0.497,0.1328,0.0008,-0.034999999999999996,nose_poke
42,0.0,-9.368,-9.368,-0.13,0.4049,0.9879,-0.005,move
43,3.814,3.814,3.814,-0.793,0.1212,0.974,-0.005,move
44,0.0,-15.507,-15.507,-0.176,0.6126,0.9879,-0.005,move
45,0.0,-10.155,-10.155,-0.425,0.469,0.9762,-0.005,move
46,3.491,3.491,3.491,0.999,0.083,0.9738,-0.055,lick
47,22.941,19.45,19.45,0.81,0.3797,0.9879,-0.055,lick
48,5.581,-17.36,-17.36,-0.506,0.6698,0.9916,-0.005,move
49,0.0,-17.025,-17.025,-0.464,0.6867,0.0016,-0.005,move
50,18.734,18.734,18.734,0.497,0.3643,0.9772,-0.034999999999999996,nose_poke
51,4.133,-14.602,-14.602,0.513,0.5621,0.9908,-0.055,lick
52,13.477,9.344,9.344,0.884,0.1989,0.0002,-0.055,lick
53,29.895,16.418,16.418,0.534,0.3326,0.9888,-0.055,lick
54,11.756,-18.138,-18.138,0.463,0.6872,0.992,-0.034999999999999996,nose_poke
55,25.724,13.968,13.968,0.86,0.2835,0.0017,-0.055,lick
56,11.517,-14.207,-14.207,0.605,0.5542,0.9913,-0.055,lick
57,4.792,-6.726,-6.726,0.171,0.3289,0.9997,-0.034999999999999996,nose_poke
58,1.013,-3.779,-3.779,-0.861,0.238,0.9961,-0.005,move
59,0.0,-5.879,-5.879,-0.369,0.3172,0.9707,-0.005,move
60,3.256,3.256,3.256,-0.497,0.1103,0.9723,-0.005,move
61,18.106,14.85,14.85,0.782,0.3,0.988,-0.055,lick
62,6.403,-11.704,-11.704,-0.768,0.4842,0.9905,-0.005,move
63,25.78,19.377,19.377,-0.605,0.3964,0.9986,-0.005,move
64,18.125,-7.654,-7.654,-0.978,0.3612,0.9921,-0.005,move
65,10.408,-7.718,-7.718,-0.825,0.3665,0.9971,-0.005,move
66,25.377,14.969,14.969,0.673,0.3016,0.997,-0.055,lick
67,27.304,1.928,1.928,0.562,0.0626,0.9913,-0.055,lick
68,22.396,-4.908,-4.908,0.17,0.2588,0.9901,-0.034999999999999996,nose_poke
69,17.538,-4.858,-4.858,0.069,0.2601,0.9958,-0.034999999999999996,nose_poke
70,21.92,4.382,4.382,-0.89,0.1224,0.9956,-0.005,move
71,14.637,-7.283,-7.283,0.136,0.3367,0.9893,-0.034999999999999996,nose_poke
72,24.989,10.352,10.352,0.089,0.2313,0.997,-0.034999999999999996,nose_poke
73,26.967,1.978,1.978,0.403,0.0622,0.9902,-0.034999999999999996,nose_poke
74,33.205,6.238,6.238,0.642,0.14,0.9901,-0.055,lick
75,36.878,3.673,3.673,0.775,0.0918,0.9894,-0.055,lick
76,55.0,18.122,18.122,0.637,0.3555,0.9901,-0.055,lick
77,69.076,14.076,14.076,-0.253,0.3024,0.9983,-0.005,move
78,49.461,-19.614,-19.614,-0.128,0.7616,0.0286,-0.005,move
79,67.653,18.192,18.192,0.685,0.359,0.0064,-0.055,lick
80,75.324,7.67,7.67,0.862,0.0798,0.0284,-0.055,lick
81,75.551,0.227,0.227,0.89,0.0322,0.0272,-0.055,lick
82,78.902,3.351,3.351,0.429,0.0165,0.0223,-0.034999999999999996,nose_poke
83,97.909,19.008,19.008,0.124,0.301,0.0237,-0.034999999999999996,nose_poke
84,109.864,11.955,11.955,0.936,0.1504,0.0301,-0.055,lick
85,120.0,16.055,16.055,-0.253,0.2551,0.0289,-0.005,move
86,120.0,16.912,16.912,0.196,0.2507,0.0365,-0.034999999999999996,nose_poke
87,120.0,6.851,6.851,-0.657,0.0994,0.0379,-0.005,move
88,120.0,17.637,17.637,0.985,0.2473,0.0177,-0.055,lick
89,107.862,-12.138,-12.138,-0.774,0.4927,0.0347,-0.005,move
90,120.0,13.119,13.119,0.215,0.1973,0.0364,-0.034999999999999996,nose_poke
91,112.67,-7.33,-7.33,-0.346,0.325,0.0258,-0.005,move
92,104.702,-7.968,-7.968,0.745,0.3322,0.0341,-0.055,lick
93,120.0,18.621,18.621,-0.247,0.3046,0.0346,-0.005,move
94,103.393,-16.607,-16.607,0.904,0.6209,0.0373,-0.055,lick
95,112.475,9.082,9.082,0.642,0.1205,0.0358,-0.055,lick
96,104.444,-8.031,-8.031,0.993,0.3221,0.0274,-0.055,lick
97,120.0,19.204,19.204,-0.122,0.3109,0.0347,-0.005,move
98,119.481,-0.519,-0.519,-0.95,0.0846,0.0387,-0.005,move
99,120.0,18.872,18.872,-0.859,0.3066,0.9978,-0.005,move
100,105.435,-14.565,-14.565,-0.315,0.5773,0.0379,-0.005,move
101,110.314,4.879,4.879,-0.496,0.0679,0.0365,-0.005,move
102,120.0,10.237,10.237,0.515,0.139,0.0289,-0.055,lick
103,120.0,12.772,12.772,-0.173,0.189,0.0204,-0.005,move
104,103.4,-16.6,-16.6,0.807,0.6292,0.0252,-0.055,lick
105,99.994,-3.406,-3.406,0.056,0.1926,0.0358,-0.034999999999999996,nose_poke
106,84.675,-15.319,-15.319,0.524,0.589,0.0327,-0.055,lick
107,80.949,-3.726,-3.726,-0.333,0.2027,0.0337,-0.005,move
108,66.178,-14.771,-14.771,-0.773,0.5822,0.033,-0.005,move
109,74.958,8.78,8.78,-0.436,0.1409,0.0314,-0.005,move
110,91.298,16.34,16.34,-0.182,0.2629,0.0235,-0.005,move
111,101.99,10.693,10.693,0.811,0.1386,0.0253,-0.055,lick
112,119.979,17.989,17.989,0.05,0.2861,0.0264,-0.034999999999999996,nose_poke
113,120.0,17.818,17.818,-0.662,0.2841,0.0357,-0.005,move
114,120.0,17.074,17.074,0.054,0.2536,0.0352,-0.034999999999999996,nose_poke
115,111.099,-8.901,-8.901,0.611,0.3606,0.0332,-0.055,lick
116,118.762,7.663,7.663,0.105,0.1063,0.035,-0.034999999999999996,nose_poke
117,120.0,7.27,7.27,0.114,0.0833,0.0151,-0.034999999999999996,nose_poke
118,120.0,17.299,17.299,-0.68,0.2757,0.0142,-0.005,move
119,104.621,-15.379,-15.379,-0.541,0.6084,0.0338,-0.005,move
120,105.955,1.334,1.334,-0.103,0.0078,0.0363,-0.005,move
121,105.2,-0.756,-0.756,0.758,0.048,0.0303,-0.055,lick
122,118.649,13.449,13.449,-0.846,0.2311,0.0307,-0.005,move
123,108.353,-10.297,-10.297,0.62,0.4181,0.0263,-0.055,lick
124,102.384,-5.969,-5.969,-0.546,0.2834,0.0356,-0.005,move
125,95.45,-6.934,-6.934,0.25,0.3042,0.0337,-0.034999999999999996,nose_poke
126,84.194,-11.255,-11.255,0.97,0.4445,0.0345,-0.055,lick
127,88.38,4.185,4.185,0.543,0.0497,0.0355,-0.055,lick
128,76.568,-11.812,-11.812,0.625,0.4622,0.0278,-0.055,lick
129,84.186,7.618,7.618,-0.696,0.1241,0.0355,-0.005,move
130,79.256,-4.93,-4.93,-0.223,0.2318,0.0254,-0.005,move
131,96.433,17.177,17.177,0.84,0.2517,0.0339,-0.055,lick
132,106.439,10.006,10.006,-0.305,0.1521,0.0268,-0.005,move
133,119.782,13.343,13.343,-0.219,0.2139,0.0267,-0.005,move
134,118.282,-1.5,-1.5,-0.748,0.1038,0.0262,-0.005,move
135,120.0,14.499,14.499,-0.909,0.234,0.9959,-0.005,move
136,107.319,-12.681,-12.681,0.862,0.4936,0.028,-0.055,lick
137,110.967,3.647,3.647,-0.75,0.0506,0.0367,-0.005,move
138,111.847,0.881,0.881,-0.183,0.0055,0.0295,-0.005,move
139,97.205,-14.642,-14.642,0.316,0.5633,0.0305,-0.034999999999999996,nose_poke
140,92.303,-4.903,-4.903,0.554,0.2397,0.0354,-0.055,lick
141,76.11,-16.192,-16.192,0.424,0.6214,0.0339,-0.034999999999999996,nose_poke
142,59.366,-16.745,-16.745,0.978,0.6419,0.0312,-0.055,lick
143,76.266,16.9,16.9,0.749,0.324,0.0322,-0.055,lick
144,84.728,8.462,8.462,0.766,0.103,0.0251,-0.055,lick
145,97.593,12.865,12.865,0.819,0.1765,0.0246,-0.055,lick
146,115.661,18.068,18.068,0.183,0.2839,0.0251,-0.034999999999999996,nose_poke
147,117.241,1.579,1.579,0.162,-0.0031,0.0304,-0.034999999999999996,nose_poke
148,116.083,-1.158,-1.158,0.454,0.0832,0.0009,-0.034999999999999996,nose_poke
149,120.0,8.144,8.144,0.895,0.0979,0.031,-0.055,lick
150,112.889,-7.111,-7.111,-0.838,0.3289,0.0162,-0.005,move
151,117.535,4.646,4.646,0.954,0.0472,0.034,-0.055,lick
152,120.0,6.857,6.857,0.909,0.0668,0.0076,-0.055,lick
153,109.8,-10.2,-10.2,-0.697,0.433,0.0132,-0.005,move
154,91.084,-18.715,-18.715,0.889,0.7061,0.0355,-0.055,lick
155,84.503,-6.581,-6.581,-0.512,0.3136,0.0309,-0.005,move
156,77.278,-7.225,-7.225,-0.949,0.3342,0.0349,-0.005,move
157,61.729,-15.549,-15.549,0.498,0.6003,0.0352,-0.034999999999999996,nose_poke
158,76.87,15.142,15.142,0.925,0.2172,0.0296,-0.055,lick
159,93.588,16.718,16.718,0.952,0.237,0.0241,-0.055,lick
160,80.478,-13.111,-13.111,-0.942,0.5172,0.026,-0.005,move
161,82.853,2.375,2.375,-0.907,0.0624,0.0352,-0.005,move
162,101.49,18.637,18.637,-0.566,0.3128,0.0294,-0.005,move
163,82.78,-18.71,-18.71,-0.956,0.7083,0.0286,-0.005,move
