Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,74.296,20.0,21.066,0.295,0.0,0.0,-0.055
2,93.973,19.677,19.677,-0.133,0.0,0.0,-0.005
3,113.77,19.797,19.797,-0.803,0.0,0.0,-0.005
4,120.0,20.0,20.84,-1.649,0.0,0.0,-0.005
5,120.0,20.0,21.028,1.39,0.0,0.0,-0.055
6,100.0,-20.0,-21.728,0.998,0.0,0.0,-0.055
7,80.416,-19.584,-19.584,-2.481,0.0,0.0,-0.005
8,60.416,-20.0,-21.679,3.437,0.0,0.0,-0.055
9,41.332,-19.085,-19.085,2.026,0.0,0.0,-0.055
10,21.332,-20.0,-20.028,1.064,0.0,0.0,-0.055
11,1.332,-20.0,-21.133,1.587,0.0,0.0,9.945
12,21.191,19.859,19.859,0.863,0.0,0.0,-0.055
13,41.191,20.0,20.012,-0.309,0.0,0.0,-0.005
14,60.571,19.38,19.38,-0.123,0.0,0.0,-0.005
15,80.571,20.0,21.311,0.388,0.0,0.0,-0.055
16,100.571,20.0,20.41,1.827,0.0,0.0,-0.055
17,119.651,19.08,19.08,0.619,0.0,0.0,-0.055
18,99.651,-20.0,-20.85,0.057,0.0,0.0,-0.055
19,80.463,-19.187,-19.187,3.24,0.0,0.0,-0.055
20,60.463,-20.0,-21.663,-2.166,0.0,0.0,-0.005
21,40.463,-20.0,-22.11,1.96,0.0,0.0,-0.055
22,20.463,-20.0,-20.849,1.529,0.0,0.0,-0.055
23,0.674,-19.789,-19.789,0.058,0.0,0.0,9.945
24,19.189,18.515,18.515,-2.116,0.0,0.0,-0.005
25,38.095,18.906,18.906,1.424,0.0,0.0,-0.055
26,58.095,20.0,20.057,0.612,0.0,0.0,-0.055
27,78.095,20.0,20.326,-3.604,0.0,0.0,-0.005
28,98.095,20.0,20.303,1.578,0.0,0.0,-0.055
29,117.389,19.294,19.294,-0.182,0.0,0.0,-0.005
30,120.0,18.681,18.681,3.861,0.0,0.0,-0.055
31,100.0,-20.0,-20.62,3.105,0.0,0.0,-0.055
32,80.486,-19.514,-19.514,-0.01,0.0,0.0,-0.005
33,60.486,-20.0,-20.686,0.234,0.0,0.0,-0.055
34,40.486,-20.0,-20.2,3.99,0.0,0.0,-0.055
35,20.486,-20.0,-20.793,1.554,0.0,0.0,-0.055
36,0.728,-19.758,-19.758,-1.466,0.0,0.0,-0.005
37,0.0,-18.011,-18.011,0.513,0.0,0.0,9.945
38,20.0,20.0,20.037,-4.129,0.0,0.0,-0.005
39,37.838,17.838,17.838,-2.961,0.0,0.0,-0.005
40,57.608,19.77,19.77,1.069,0.0,0.0,-0.055
41,77.608,20.0,20.425,-2.953,0.0,0.0,-0.005
42,97.608,20.0,20.65,2.72,0.0,0.0,-0.055
43,116.193,18.585,18.585,1.124,0.0,0.0,-0.055
44,120.0,19.962,19.962,1.245,0.0,0.0,-0.055
45,101.344,-18.656,-18.656,1.326,0.0,0.0,-0.055
46,82.304,-19.04,-19.04,3.914,0.0,0.0,-0.055
47,63.81,-18.494,-18.494,1.029,0.0,0.0,-0.055
48,44.579,-19.231,-19.231,2.712,0.0,0.0,-0.055
49,24.579,-20.0,-21.521,1.986,0.0,0.0,-0.055
50,5.713,-18.866,-18.866,6.131,0.0,0.0,-0.055
51,0.0,-18.556,-18.556,1.247,0.0,0.0,9.945
52,20.0,20.0,20.28,-5.289,0.0,0.0,-0.005
53,40.0,20.0,21.84,0.578,0.0,0.0,-0.055
54,59.642,19.642,19.642,0.919,0.0,0.0,-0.055
55,78.682,19.04,19.04,-0.342,0.0,0.0,-0.005
56,98.038,19.356,19.356,-1.045,0.0,0.0,-0.005
57,118.038,20.0,20.714,3.266,0.0,0.0,-0.055
58,99.567,-18.471,-18.471,0.097,0.0,0.0,-0.055
59,80.173,-19.394,-19.394,0.371,0.0,0.0,-0.055
60,60.378,-19.796,-19.796,1.274,0.0,0.0,-0.055
61,40.378,-20.0,-21.521,2.601,0.0,0.0,-0.055
62,20.378,-20.0,-20.134,-0.252,0.0,0.0,-0.005
63,1.072,-19.306,-19.306,0.476,0.0,0.0,9.945
64,21.072,20.0,20.275,1.54,0.0,0.0,-0.055
65,38.412,17.341,17.341,-0.74,0.0,0.0,-0.005
66,58.412,20.0,20.047,-2.728,0.0,0.0,-0.005
67,78.412,20.0,22.227,2.622,0.0,0.0,-0.055
68,98.412,20.0,20.648,-0.615,0.0,0.0,-0.005
69,117.997,19.584,19.584,2.271,0.0,0.0,-0.055
70,99.254,-18.743,-18.743,1.013,0.0,0.0,-0.055
71,79.254,-20.0,-20.404,-1.721,0.0,0.0,-0.005
72,59.254,-20.0,-20.112,1.983,0.0,0.0,-0.055
73,39.254,-20.0,-20.659,0.442,0.0,0.0,-0.055
74,19.625,-19.628,-19.628,4.86,0.0,0.0,-0.055
75,0.0,-19.963,-19.963,7.409,0.0,0.0,9.945
76,18.771,18.771,18.771,-0.048,0.0,0.0,-0.005
77,38.771,20.0,20.241,-1.17,0.0,0.0,-0.005
78,58.771,20.0,20.62,-4.025,0.0,0.0,-0.005
79,78.771,20.0,20.412,-2.722,0.0,0.0,-0.005
80,98.771,20.0,20.007,0.424,0.0,0.0,-0.055
81,118.466,19.695,19.695,-1.165,0.0,0.0,-0.005
82,120.0,20.0,21.275,-0.824,0.0,0.0,-0.005
83,120.0,19.168,19.168,-0.111,0.0,0.0,-0.005
84,120.0,18.767,18.767,2.534,0.0,0.0,-0.055
85,100.26,-19.74,-19.74,2.802,0.0,0.0,-0.055
86,81.786,-18.474,-18.474,1.573,0.0,0.0,-0.055
87,61.786,-20.0,-20.912,1.674,0.0,0.0,-0.055
88,43.028,-18.758,-18.758,1.772,0.0,0.0,-0.055
89,23.028,-20.0,-20.668,-0.865,0.0,0.0,-0.005
90,4.582,-18.446,-18.446,4.137,0.0,0.0,-0.055
91,0.0,-19.776,-19.776,1.234,0.0,0.0,9.945
92,18.521,18.521,18.521,-0.034,0.0,0.0,-0.005
93,38.521,20.0,20.421,-2.209,0.0,0.0,-0.005
94,58.521,20.0,20.355,0.603,0.0,0.0,-0.055
95,76.718,18.196,18.196,0.045,0.0,0.0,-0.055
96,96.606,19.888,19.888,1.029,0.0,0.0,-0.055
97,115.887,19.281,19.281,3.752,0.0,0.0,-0.055
98,120.0,20.0,20.111,0.253,0.0,0.0,-0.055
99,101.395,-18.605,-18.605,3.581,0.0,0.0,-0.055
100,81.395,-20.0,-21.669,0.629,0.0,0.0,-0.055
101,61.395,-20.0,-20.931,3.171,0.0,0.0,-0.055
102,41.395,-20.0,-21.293,0.586,0.0,0.0,-0.055
103,21.395,-20.0,-20.044,5.362,0.0,0.0,-0.055
104,1.395,-20.0,-20.973,-0.726,0.0,0.0,-0.005
105,0.0,-18.942,-18.942,0.176,0.0,0.0,9.945
106,20.0,20.0,20.196,-3.098,0.0,0.0,-0.005
107,40.0,20.0,21.781,-4.398,0.0,0.0,-0.005
108,60.0,20.0,21.111,-1.203,0.0,0.0,-0.005
109,80.0,20.0,20.103,0.709,0.0,0.0,-0.055
110,98.45,18.45,18.45,4.052,0.0,0.0,-0.055
111,118.311,19.861,19.861,0.862,0.0,0.0,-0.055
112,98.311,-20.0,-21.589,4.405,0.0,0.0,-0.055
113,78.492,-19.819,-19.819,-0.662,0.0,0.0,-0.005
114,58.492,-20.0,-20.237,2.301,0.0,0.0,-0.055
115,38.492,-20.0,-21.629,3.018,0.0,0.0,-0.055
116,18.492,-20.0,-20.245,1.7,0.0,0.0,-0.055
117,0.0,-19.192,-19.192,-0.073,0.0,0.0,-0.005
118,0.0,-20.0,-20.746,-1.022,0.0,0.0,-0.005
