Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
1,34.878,-5.563,-5.563,0.384,-0.2558,0.0,-0.055
2,39.532,4.654,4.654,0.444,-0.2663,0.0,-0.055
3,36.059,-3.473,-3.473,0.18,-0.1726,0.0,-0.055
4,31.453,-4.607,-4.607,0.149,-0.2258,0.0,-0.055
5,38.089,6.636,6.636,0.12,-0.3577,0.0,-0.055
6,35.992,-2.096,-2.096,0.417,-0.1331,0.0,-0.055
7,52.62,16.627,16.627,0.415,-0.874,0.0,-0.055
8,53.487,0.867,0.867,-0.177,-0.0343,0.0,-0.005
9,43.316,-10.17,-10.17,0.562,-0.4123,0.0,-0.055
10,49.923,6.606,6.606,0.281,-0.3672,0.0,-0.055
11,40.909,-9.013,-9.013,-0.401,-0.3403,0.0,-0.005
12,30.354,-10.555,-10.555,-0.312,-0.435,0.0,-0.005
13,32.174,1.819,1.819,0.06,-0.138,0.0,-0.055
14,31.414,-0.76,-0.76,0.029,-0.0939,0.0,-0.055
15,28.78,-2.634,-2.634,0.147,-0.1605,0.0,-0.055
16,34.988,6.208,6.208,-0.065,-0.3323,0.0,-0.005
17,37.301,2.312,2.312,-0.352,-0.1313,0.0,-0.005
18,44.983,7.683,7.683,0.192,-0.4064,0.0,-0.055
19,44.274,-0.71,-0.71,0.127,-0.0787,0.0,-0.055
20,51.425,7.151,7.151,0.022,-0.382,0.0,-0.055
21,49.46,-1.965,-1.965,-0.256,-0.1119,0.0,-0.005
22,55.103,5.643,5.643,0.608,-0.3112,0.0,-0.055
23,58.444,3.34,3.34,-0.2,-0.1827,0.0,-0.005
24,60.412,1.969,1.969,0.124,-0.125,0.0,-0.055
25,65.591,5.179,5.179,0.0,-0.281,0.0,-0.055
26,75.494,9.902,9.902,0.128,-0.5273,0.0,-0.055
27,79.532,4.038,4.038,0.149,-0.2267,0.0,-0.055
28,77.963,-1.569,-1.569,0.113,-0.1173,0.0,-0.055
29,69.568,-8.395,-8.395,0.043,-0.3309,0.0,-0.055
30,70.04,0.472,0.472,-0.825,-0.1057,0.0,-0.005
31,60.362,-9.678,-9.678,0.505,-0.3785,0.0,-0.055
32,67.361,6.999,6.999,0.195,-0.3885,0.0,-0.055
33,64.856,-2.505,-2.505,0.36,-0.1506,0.0,-0.055
34,72.071,7.215,7.215,-0.03,-0.3905,0.0,-0.005
35,62.319,-9.752,-9.752,0.414,-0.3694,0.0,-0.055
36,71.359,9.04,9.04,0.22,-0.4946,0.0,-0.055
37,69.809,-1.55,-1.55,-0.372,-0.1114,0.0,-0.005
38,74.875,5.066,5.066,-0.016,-0.2806,0.0,-0.005
39,75.657,0.781,0.781,0.153,-0.0834,0.0,-0.055
40,75.55,-0.107,-0.107,-0.249,-0.0798,0.0,-0.005
41,73.73,-1.82,-1.82,-0.028,-0.1256,0.0,-0.005
42,64.034,-9.696,-9.696,-0.083,-0.3792,0.0,-0.005
43,64.09,0.056,0.056,-0.324,-0.1028,0.0,-0.005
44,59.057,-5.033,-5.033,0.289,-0.2203,0.0,-0.055
45,44.673,-14.384,-14.384,-0.073,-0.5568,0.0,-0.005
46,42.197,-2.476,-2.476,-0.113,-0.1676,0.0,-0.005
47,43.962,1.766,1.766,0.077,-0.129,0.0,-0.055
48,49.882,5.92,5.92,-0.589,-0.3064,0.0,-0.005
49,51.198,1.316,1.316,0.538,-0.0837,0.0,-0.055
50,51.724,0.526,0.526,-0.04,-0.0621,0.0,-0.005
51,51.917,0.193,0.193,-0.11,-0.0603,0.0,-0.005
52,58.749,6.832,6.832,0.15,-0.368,0.0,-0.055
53,74.192,15.443,15.443,0.106,-0.8136,0.0,-0.055
54,78.006,3.813,3.813,0.37,-0.2205,0.0,-0.055
55,73.062,-4.944,-4.944,-0.018,-0.2013,0.0,-0.005
56,74.167,1.105,1.105,0.112,-0.113,0.0,-0.055
57,81.045,6.878,6.878,0.498,-0.3761,0.0,-0.055
58,85.801,4.756,4.756,0.068,-0.2608,0.0,-0.055
59,89.953,4.153,4.153,0.02,-0.232,0.0,-0.055
60,83.916,-6.037,-6.037,-0.191,-0.2304,0.0,-0.005
61,83.216,-0.7,-0.7,0.539,-0.0784,0.0,-0.055
62,77.153,-6.062,-6.062,0.213,-0.2445,0.0,-0.055
63,75.728,-1.425,-1.425,0.199,-0.1123,0.0,-0.055
64,70.98,-4.747,-4.747,0.606,-0.2129,0.0,-0.055
65,73.368,2.388,2.388,0.378,-0.1584,0.0,-0.055
