Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
93,120.0,3.267,3.267,0.256,-0.1967,0.0,-0.055
94,119.862,-0.138,-0.138,0.422,-0.0661,0.0,-0.055
95,120.0,7.527,7.527,0.344,-0.4206,0.0,-0.055
96,118.363,-1.637,-1.637,-0.59,-0.0776,0.0,-0.005
97,120.0,10.936,10.936,0.464,-0.6008,0.0,-0.055
98,120.0,4.424,4.424,0.121,-0.2568,0.0,-0.055
99,120.0,0.657,0.657,0.473,-0.0877,0.0,-0.055
100,120.0,0.514,0.514,0.085,-0.0967,0.0,-0.055
101,118.663,-1.337,-1.337,-0.025,-0.0637,0.0,-0.005
102,116.635,-2.028,-2.028,-0.191,-0.0783,0.0,-0.005
103,118.522,1.887,1.887,0.124,-0.1379,0.0,-0.055
104,111.925,-6.597,-6.597,-0.078,-0.2165,0.0,-0.005
105,120.0,11.301,11.301,-0.003,-0.63,0.0,-0.005
106,120.0,1.446,1.446,-0.033,-0.1027,0.0,-0.005
107,112.563,-7.437,-7.437,-0.193,-0.2371,0.0,-0.005
108,112.799,0.236,0.236,0.389,-0.0879,0.0,-0.055
109,109.624,-3.175,-3.175,-0.076,-0.1474,0.0,-0.005
110,112.586,2.962,2.962,-0.294,-0.1869,0.0,-0.005
111,103.5,-9.086,-9.086,-0.109,-0.3311,0.0,-0.005
112,107.946,4.446,4.446,0.393,-0.266,0.0,-0.055
113,112.121,4.175,4.175,0.643,-0.2428,0.0,-0.055
114,114.197,2.076,2.076,-0.345,-0.1405,0.0,-0.005
115,114.161,-0.037,-0.037,0.048,-0.0677,0.0,-0.055
116,116.935,2.774,2.774,0.242,-0.1746,0.0,-0.055
117,120.0,17.793,17.793,0.398,-0.9643,0.0,-0.055
118,115.344,-4.656,-4.656,0.734,-0.187,0.0,-0.055
119,118.547,3.203,3.203,-0.095,-0.2009,0.0,-0.005
120,114.537,-4.01,-4.01,0.439,-0.1628,0.0,-0.055
121,113.621,-0.916,-0.916,-0.105,-0.0802,0.0,-0.005
122,120.0,11.644,11.644,0.215,-0.6427,0.0,-0.055
123,120.0,12.373,12.373,-0.183,-0.6871,0.0,-0.005
124,108.693,-11.307,-11.307,0.144,-0.3547,0.0,-0.055
125,104.867,-3.826,-3.826,0.412,-0.1888,0.0,-0.055
126,108.683,3.816,3.816,0.371,-0.2295,0.0,-0.055
127,98.836,-9.846,-9.846,0.11,-0.3598,0.0,-0.055
128,98.581,-0.255,-0.255,0.059,-0.0849,0.0,-0.055
129,104.29,5.708,5.708,-0.047,-0.3185,0.0,-0.005
130,100.513,-3.777,-3.777,0.03,-0.16,0.0,-0.055
131,93.772,-6.741,-6.741,-0.575,-0.2587,0.0,-0.005
132,109.353,15.581,15.581,-0.582,-0.857,0.0,-0.005
133,101.812,-7.541,-7.541,0.106,-0.2639,0.0,-0.055
134,97.087,-4.724,-4.724,0.349,-0.2092,0.0,-0.055
135,93.925,-3.163,-3.163,0.071,-0.1611,0.0,-0.055
136,96.292,2.367,2.367,0.181,-0.1569,0.0,-0.055
137,94.484,-1.808,-1.808,0.114,-0.1182,0.0,-0.055
138,101.04,6.556,6.556,0.199,-0.3637,0.0,-0.055
139,105.095,4.055,4.055,0.451,-0.2342,0.0,-0.055
140,113.604,8.509,8.509,0.047,-0.4666,0.0,-0.055
141,105.727,-7.877,-7.877,-0.057,-0.2792,0.0,-0.005
142,119.265,13.537,13.537,0.392,-0.7448,0.0,-0.055
143,116.716,-2.548,-2.548,0.935,-0.1205,0.0,-0.055
144,113.646,-3.07,-3.07,-0.147,-0.144,0.0,-0.005
145,116.575,2.929,2.929,0.134,-0.1859,0.0,-0.055
146,114.114,-2.461,-2.461,0.182,-0.1314,0.0,-0.055
147,118.216,4.103,4.103,0.221,-0.2422,0.0,-0.055
148,120.0,6.268,6.268,0.394,-0.352,0.0,-0.055
149,120.0,2.036,2.036,0.32,-0.1355,0.0,-0.055
150,120.0,2.77,2.77,0.122,-0.1771,0.0,-0.055
151,115.172,-4.828,-4.828,0.415,-0.1847,0.0,-0.055
152,118.04,2.868,2.868,-0.46,-0.1864,0.0,-0.005
153,116.701,-1.339,-1.339,0.024,-0.0636,0.0,-0.055
154,119.594,2.893,2.893,0.047,-0.182,0.0,-0.055
155,118.108,-1.487,-1.487,0.413,-0.0612,0.0,-0.055
156,114.551,-3.557,-3.557,-0.215,-0.1373,0.0,-0.005
157,120.0,16.776,16.776,0.475,-0.9138,0.0,-0.055
158,119.442,-0.558,-0.558,0.151,-0.0642,0.0,-0.055
159,118.393,-1.048,-1.048,0.359,-0.0469,0.0,-0.055
160,120.0,8.633,8.633,-0.053,-0.4874,0.0,-0.005
161,120.0,6.511,6.511,0.35,-0.3652,0.0,-0.055
162,118.764,-1.236,-1.236,0.034,-0.0638,0.0,-0.055
163,120.0,5.543,5.543,-0.44,-0.3289,0.0,-0.005
164,116.192,-3.808,-3.808,0.742,-0.1574,0.0,-0.055
165,115.704,-0.488,-0.488,-0.363,-0.0847,0.0,-0.005
166,109.847,-5.857,-5.857,0.136,-0.22,0.0,-0.055
167,111.888,2.04,2.04,0.496,-0.1534,0.0,-0.055
168,106.407,-5.481,-5.481,-0.063,-0.2053,0.0,-0.005
169,110.784,4.377,4.377,-0.181,-0.2557,0.0,-0.005
170,110.194,-0.591,-0.591,0.291,-0.0752,0.0,-0.055
171,111.234,1.041,1.041,0.118,-0.1029,0.0,-0.055
172,118.396,7.162,7.162,-0.073,-0.3982,0.0,-0.005
173,110.483,-7.914,-7.914,0.121,-0.2516,0.0,-0.055
174,109.772,-0.711,-0.711,-0.365,-0.0882,0.0,-0.005
175,117.942,8.169,8.169,0.431,-0.4531,0.0,-0.055
176,120.0,3.258,3.258,-0.136,-0.1945,0.0,-0.005
177,103.563,-16.437,-16.437,0.31,-0.5519,0.0,-0.055
178,97.945,-5.618,-5.618,0.147,-0.2485,0.0,-0.055
179,101.799,3.854,3.854,-0.465,-0.2245,0.0,-0.005
180,99.817,-1.982,-1.982,-0.637,-0.1131,0.0,-0.005
181,107.198,7.381,7.381,-0.215,-0.4107,0.0,-0.005
182,112.278,5.08,5.08,-0.097,-0.2834,0.0,-0.005
183,112.678,0.4,0.4,0.653,-0.079,0.0,-0.055
184,107.768,-4.91,-4.91,0.47,-0.1996,0.0,-0.055
185,118.332,10.564,10.564,0.234,-0.5852,0.0,-0.055
186,120.0,3.549,3.549,0.263,-0.2025,0.0,-0.055
187,120.0,3.927,3.927,0.177,-0.2331,0.0,-0.055
188,120.0,7.642,7.642,0.007,-0.4309,0.0,-0.055
189,117.29,-2.71,-2.71,0.206,-0.11,0.0,-0.055
190,107.001,-10.289,-10.289,0.528,-0.3389,0.0,-0.055
191,114.551,7.551,7.551,-0.56,-0.434,0.0,-0.005
192,107.193,-7.358,-7.358,-0.33,-0.259,0.0,-0.005
193,99.049,-8.144,-8.144,0.239,-0.3137,0.0,-0.055
194,94.732,-4.318,-4.318,0.447,-0.2013,0.0,-0.055
195,102.118,7.386,7.386,0.073,-0.411,0.0,-0.055
196,103.06,0.943,0.943,0.477,-0.0877,0.0,-0.055
197,98.929,-4.131,-4.131,-0.34,-0.1701,0.0,-0.005
198,107.43,8.501,8.501,0.269,-0.471,0.0,-0.055
199,110.039,2.608,2.608,0.375,-0.1584,0.0,-0.055
200,111.35,1.312,1.312,0.15,-0.1041,0.0,-0.055
201,112.923,1.572,1.572,0.443,-0.1171,0.0,-0.055
202,106.962,-5.961,-5.961,0.348,-0.2239,0.0,-0.055
203,105.44,-1.522,-1.522,0.138,-0.1045,0.0,-0.055
204,105.166,-0.274,-0.274,-0.28,-0.0821,0.0,-0.005
205,108.051,2.886,2.886,0.088,-0.1805,0.0,-0.055
206,120.0,16.698,16.698,0.12,-0.9063,0.0,-0.055
207,120.0,0.72,0.72,-0.06,-0.0864,0.0,-0.005
208,114.18,-5.82,-5.82,-0.038,-0.198,0.0,-0.005
209,120.0,7.151,7.151,-0.309,-0.4074,0.0,-0.005
210,115.352,-4.648,-4.648,0.427,-0.1777,0.0,-0.055
211,116.98,1.629,1.629,-0.233,-0.1346,0.0,-0.005
212,109.092,-7.888,-7.888,-0.134,-0.2871,0.0,-0.005
213,106.985,-2.107,-2.107,-0.558,-0.1234,0.0,-0.005
214,102.304,-4.68,-4.68,-0.067,-0.1905,0.0,-0.005
215,104.157,1.852,1.852,0.153,-0.143,0.0,-0.055
216,100.28,-3.877,-3.877,0.495,-0.1764,0.0,-0.055
217,94.487,-5.792,-5.792,-0.26,-0.2279,0.0,-0.005
218,97.701,3.213,3.213,-0.013,-0.1997,0.0,-0.005
219,99.63,1.929,1.929,0.758,-0.1313,0.0,-0.055
220,95.335,-4.295,-4.295,-0.4,-0.1734,0.0,-0.005
221,94.364,-0.971,-0.971,0.085,-0.0873,0.0,-0.055
222,91.393,-2.971,-2.971,-0.124,-0.1482,0.0,-0.005
223,84.475,-6.918,-6.918,-0.097,-0.2733,0.0,-0.005
224,80.085,-4.39,-4.39,0.316,-0.2054,0.0,-0.055
225,84.359,4.274,4.274,0.606,-0.2499,0.0,-0.055
226,84.608,0.249,0.249,0.166,-0.0705,0.0,-0.055
227,84.041,-0.567,-0.567,0.14,-0.0796,0.0,-0.055
228,85.064,1.023,1.023,-0.26,-0.0994,0.0,-0.005
229,84.302,-0.762,-0.762,0.262,-0.0825,0.0,-0.055
230,90.514,6.212,6.212,-0.3,-0.3414,0.0,-0.005
231,89.071,-1.443,-1.443,-0.343,-0.1041,0.0,-0.005
232,90.779,1.708,1.708,0.806,-0.134,0.0,-0.055
233,92.544,1.765,1.765,0.245,-0.1238,0.0,-0.055
234,92.018,-0.527,-0.527,-0.433,-0.0862,0.0,-0.005
235,87.458,-4.56,-4.56,-0.416,-0.186,0.0,-0.005
236,97.506,10.048,10.048,0.381,-0.5497,0.0,-0.055
237,97.229,-0.277,-0.277,0.013,-0.0745,0.0,-0.055
238,93.579,-3.65,-3.65,0.156,-0.1693,0.0,-0.055
239,88.52,-5.059,-5.059,-0.315,-0.2055,0.0,-0.005
240,83.906,-4.615,-4.615,0.336,-0.2062,0.0,-0.055
241,79.621,-4.285,-4.285,0.119,-0.1962,0.0,-0.055
242,91.066,11.445,11.445,-0.418,-0.6274,0.0,-0.005
243,96.006,4.939,4.939,-0.441,-0.2729,0.0,-0.005
244,105.883,9.878,9.878,-0.216,-0.5381,0.0,-0.005
245,106.052,0.169,0.169,0.258,-0.0677,0.0,-0.055
246,106.007,-0.045,-0.045,-0.112,-0.0751,0.0,-0.005
247,103.184,-2.824,-2.824,0.262,-0.1493,0.0,-0.055
248,97.928,-5.256,-5.256,0.886,-0.2244,0.0,-0.055
249,104.323,6.396,6.396,0.424,-0.3622,0.0,-0.055
250,102.976,-1.347,-1.347,0.244,-0.1012,0.0,-0.055
251,102.211,-0.766,-0.766,0.336,-0.0757,0.0,-0.055
252,99.183,-3.028,-3.028,0.522,-0.1618,0.0,-0.055
253,93.815,-5.367,-5.367,0.408,-0.2201,0.0,-0.055
254,91.048,-2.768,-2.768,-0.166,-0.1456,0.0,-0.005
255,91.108,0.06,0.06,0.324,-0.0765,0.0,-0.055
256,95.442,4.334,4.334,0.714,-0.2513,0.0,-0.055
257,90.288,-5.154,-5.154,0.083,-0.2003,0.0,-0.055
258,87.511,-2.777,-2.777,-0.595,-0.141,0.0,-0.005
259,90.405,2.894,2.894,0.262,-0.1815,0.0,-0.055
260,82.736,-7.669,-7.669,0.309,-0.2922,0.0,-0.055
261,81.918,-0.818,-0.818,0.053,-0.0879,0.0,-0.055
262,77.567,-4.352,-4.352,-0.073,-0.1888,0.0,-0.005
263,69.333,-8.234,-8.234,-0.127,-0.3288,0.0,-0.005
264,73.244,3.911,3.911,0.24,-0.2324,0.0,-0.055
265,66.465,-6.779,-6.779,-0.175,-0.2653,0.0,-0.005
266,68.21,1.746,1.746,0.249,-0.14,0.0,-0.055
267,72.582,4.372,4.372,-0.142,-0.2407,0.0,-0.005
268,71.449,-1.133,-1.133,0.178,-0.1044,0.0,-0.055
269,70.111,-1.338,-1.338,0.341,-0.1124,0.0,-0.055
270,65.752,-4.359,-4.359,0.259,-0.1997,0.0,-0.055
271,74.856,9.104,9.104,-0.319,-0.4964,0.0,-0.005
272,75.413,0.557,0.557,0.411,-0.0777,0.0,-0.055
273,76.095,0.681,0.681,0.176,-0.0911,0.0,-0.055
274,87.052,10.958,10.958,-0.229,-0.5939,0.0,-0.005
275,88.856,1.804,1.804,0.894,-0.1099,0.0,-0.055
276,90.698,1.842,1.842,0.474,-0.1259,0.0,-0.055
277,95.214,4.517,4.517,0.25,-0.2558,0.0,-0.055
278,92.418,-2.797,-2.797,0.209,-0.1479,0.0,-0.055
279,100.022,7.604,7.604,-0.258,-0.4218,0.0,-0.005
280,95.363,-4.659,-4.659,-0.249,-0.1795,0.0,-0.005
281,88.431,-6.932,-6.932,-0.349,-0.2714,0.0,-0.005
282,88.307,-0.124,-0.124,0.299,-0.0789,0.0,-0.055
283,93.965,5.658,5.658,-0.446,-0.3131,0.0,-0.005
284,93.169,-0.797,-0.797,-0.128,-0.085,0.0,-0.005
285,93.808,0.639,0.639,0.318,-0.0943,0.0,-0.055
286,95.171,1.363,1.363,-0.546,-0.1098,0.0,-0.005
287,103.963,8.792,8.792,-0.032,-0.482,0.0,-0.005
288,114.076,10.112,10.112,-0.3,-0.5503,0.0,-0.005
289,112.388,-1.688,-1.688,0.063,-0.1073,0.0,-0.055
290,109.162,-3.226,-3.226,0.313,-0.1584,0.0,-0.055
291,114.693,5.531,5.531,-0.629,-0.3174,0.0,-0.005
292,117.223,2.53,2.53,0.367,-0.1562,0.0,-0.055
293,116.491,-0.732,-0.732,0.148,-0.0592,0.0,-0.055
294,120.0,4.051,4.051,-0.03,-0.2361,0.0,-0.005
295,105.851,-14.149,-14.149,0.163,-0.4671,0.0,-0.055
296,105.466,-0.385,-0.385,-0.14,-0.0929,0.0,-0.005
