Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,32.162,-8.279,-8.279,-0.329,0.2416,0.9589,-0.005,move
2,20.825,-11.337,-11.337,-0.939,0.3297,0.9653,-0.005,move
3,39.973,19.148,19.148,0.43,-0.1988,0.9694,-0.015,nose_poke
4,23.919,-16.055,-16.055,0.907,0.4836,0.9789,-0.055,lick
5,12.931,-10.988,-10.988,0.956,0.4067,0.9776,-0.055,lick
6,20.374,7.443,7.443,0.953,-0.1271,0.9697,-0.055,lick
7,2.767,-17.607,-17.607,0.786,0.5562,0.9686,-0.055,lick
8,9.679,6.912,6.912,-0.864,-0.0695,0.9581,-0.005,move
9,0.0,-11.351,-11.351,-0.43,0.3195,0.9698,-0.005,move
10,0.0,-13.446,-13.446,-0.208,0.4184,0.9613,-0.005,move
11,0.0,-14.475,-14.475,0.887,0.5049,0.9617,-0.055,lick
12,4.891,4.891,4.891,-0.324,-0.0653,0.9614,-0.005,move
13,8.273,3.382,3.382,-0.993,-0.0432,0.9683,-0.005,move
14,0.134,-8.139,-8.139,-0.943,0.2051,0.9656,-0.005,move
15,1.663,1.53,1.53,0.967,-0.0421,0.9616,-0.055,lick
16,12.397,10.733,10.733,-0.582,-0.0952,0.9742,-0.005,move
17,24.706,12.31,12.31,0.23,-0.1389,0.9712,-0.015,nose_poke
18,31.942,7.236,7.236,0.958,-0.124,0.9715,-0.055,lick
19,22.794,-9.148,-9.148,0.93,0.2981,0.9669,-0.055,lick
20,26.358,3.565,3.565,0.449,-0.0832,0.967,-0.015,nose_poke
21,23.759,-2.599,-2.599,-0.271,0.053,0.9623,-0.005,move
22,6.402,-17.357,-17.357,0.616,0.5627,0.9599,-0.055,lick
23,0.0,-10.353,-10.353,0.913,0.3899,0.9801,-0.055,lick
24,0.0,-10.912,-10.912,-0.59,0.3178,0.961,-0.005,move
25,4.06,4.06,4.06,0.23,-0.0732,0.9611,-0.015,nose_poke
26,6.854,2.794,2.794,0.183,-0.0704,0.9671,-0.015,nose_poke
27,6.461,-0.393,-0.393,0.578,-0.0119,0.9646,-0.055,lick
28,23.423,16.962,16.962,-0.807,-0.1816,0.9606,-0.005,move
29,28.542,5.119,5.119,-0.397,-0.0812,0.9741,-0.005,move
30,36.427,7.885,7.885,-0.914,-0.0994,0.965,-0.005,move
31,21.229,-15.198,-15.198,-0.261,0.4401,0.9672,-0.005,move
32,26.749,5.52,5.52,0.986,-0.1207,0.9761,-0.055,lick
33,36.444,9.695,9.695,-0.693,-0.116,0.9659,-0.005,move
34,24.507,-11.936,-11.936,0.955,0.3787,0.9694,-0.055,lick
35,12.95,-11.557,-11.557,-0.366,0.3688,0.97,-0.005,move
36,0.0,-19.147,-19.147,0.917,0.6522,0.9703,-0.055,lick
37,4.552,4.552,4.552,0.714,-0.0996,0.9574,-0.055,lick
38,23.274,18.722,18.722,0.982,-0.2014,0.9679,-0.055,lick
39,43.019,19.745,19.745,-0.929,-0.218,0.9758,-0.005,move
40,44.026,1.007,1.007,-0.193,-0.0026,0.9803,-0.005,move
41,37.247,-6.779,-6.779,0.033,0.2079,0.9583,-0.015,nose_poke
42,37.059,-0.188,-0.188,0.95,-0.0076,0.963,-0.055,lick
43,22.502,-14.557,-14.557,0.932,0.4798,0.9586,-0.055,lick
44,17.735,-4.767,-4.767,0.481,0.1805,0.9748,-0.015,nose_poke
45,9.849,-7.885,-7.885,0.5,0.2741,0.9615,-0.055,lick
46,0.0,-17.717,-17.717,-0.037,0.5672,0.9659,-0.005,move
47,0.0,-9.232,-9.232,0.81,0.3483,0.9585,-0.055,lick
48,0.0,-10.579,-10.579,-0.245,0.3244,0.9612,-0.005,move
49,18.058,18.058,18.058,-0.896,-0.1582,0.961,-0.005,move
50,35.907,17.849,17.849,-0.849,-0.2003,0.9744,-0.005,move
51,16.012,-19.895,-19.895,0.383,0.5872,0.9764,-0.015,nose_poke
52,32.638,16.626,16.626,-0.725,-0.163,0.9823,-0.005,move
53,25.012,-7.626,-7.626,-0.16,0.1936,0.9745,-0.005,move
54,22.354,-2.658,-2.658,0.554,0.0881,0.965,-0.055,lick
55,26.423,4.069,4.069,0.947,-0.1042,0.9601,-0.055,lick
56,20.021,-6.402,-6.402,0.925,0.2211,0.9633,-0.055,lick
57,14.369,-5.652,-5.652,-0.02,0.1857,0.9634,-0.005,move
58,31.538,17.169,17.169,0.869,-0.1871,0.9627,-0.055,lick
