Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,47.063,-7.233,-7.233,0.587,0.2416,0.9596,-0.055,lick
2,62.942,15.879,15.879,0.855,-0.1721,0.963,-0.055,lick
3,68.642,5.7,5.7,-0.894,-0.0492,0.0064,-0.005,move
4,55.067,-13.575,-13.575,-0.598,0.3565,0.0103,-0.005,move
5,62.815,7.747,7.748,0.117,-0.095,0.9725,-0.015,nose_poke
6,45.602,-17.213,-17.213,0.249,0.4989,0.0104,-0.015,nose_poke
7,54.2,8.598,8.598,-0.035,-0.0979,0.9779,-0.005,move
8,69.334,15.134,15.134,-0.957,-0.1699,0.9665,-0.005,move
9,83.751,14.417,14.417,0.217,-0.1239,0.0067,-0.015,nose_poke
10,70.902,-12.848,-12.848,-0.04,0.3316,0.0058,-0.005,move
11,71.131,0.228,0.228,-0.465,-0.0048,0.0087,-0.005,move
12,63.824,-7.306,-7.306,-0.58,0.1713,0.0089,-0.005,move
13,62.054,-1.771,-1.771,0.026,0.0232,0.0072,-0.015,nose_poke
14,75.556,13.503,13.503,-0.727,-0.1098,0.0077,-0.005,move
15,83.647,8.091,8.091,0.796,-0.0982,0.007,-0.055,lick
16,93.154,9.507,9.507,0.303,-0.086,0.0092,-0.015,nose_poke
17,93.81,0.656,0.656,-0.92,0.007,0.0083,-0.005,move
18,81.739,-12.071,-12.071,-0.692,0.3168,0.0086,-0.005,move
19,78.298,-3.442,-3.442,-0.468,0.0838,0.0088,-0.005,move
20,69.96,-8.337,-8.337,0.588,0.2656,0.0079,-0.055,lick
21,62.047,-7.913,-7.913,-0.899,0.1931,0.008,-0.005,move
22,81.295,19.248,19.248,0.595,-0.1627,0.0074,-0.055,lick
23,98.537,17.242,17.242,0.025,-0.1455,0.0058,-0.015,nose_poke
24,79.247,-19.29,-19.29,-0.341,0.5138,0.0063,-0.005,move
25,93.202,13.955,13.955,-0.201,-0.1093,0.0096,-0.005,move
26,94.911,1.71,1.71,-0.834,-0.0053,0.0058,-0.005,move
27,109.801,14.889,14.889,0.263,-0.1231,0.0089,-0.015,nose_poke
28,120.0,18.971,18.971,0.585,-0.1569,0.0061,-0.055,lick
29,110.84,-9.16,-9.16,-0.864,0.1682,0.0133,-0.005,move
30,120.0,19.133,19.133,0.234,-0.1528,0.0087,-0.015,nose_poke
31,120.0,11.285,11.285,-0.848,-0.0767,0.0137,-0.005,move
32,120.0,11.627,11.627,0.884,-0.0913,1.0007,-0.055,lick
33,110.0,-10.0,-10.0,0.939,0.2902,0.0001,-0.055,lick
34,106.885,-3.116,-3.116,-0.334,0.0745,0.0092,-0.005,move
35,118.327,11.442,11.442,-0.003,-0.0962,0.0074,-0.005,move
36,120.0,18.472,18.472,-0.581,-0.1202,1.0008,-0.005,move
37,104.08,-15.92,-15.92,0.46,0.4318,0.012,-0.015,nose_poke
38,99.52,-4.56,-4.56,-0.682,0.1143,0.0101,-0.005,move
39,79.619,-19.902,-19.902,0.476,0.6196,0.0068,-0.015,nose_poke
40,70.419,-9.2,-9.2,0.975,0.3438,0.0099,-0.055,lick
41,52.932,-17.486,-17.486,0.874,0.5762,0.0085,-0.055,lick
42,66.561,13.629,13.629,-0.981,-0.1365,0.978,-0.005,move
43,52.343,-14.218,-14.218,0.896,0.4194,0.0082,-0.055,lick
44,63.457,11.114,11.114,0.591,-0.1306,0.9732,-0.055,lick
45,46.903,-16.554,-16.554,0.74,0.4921,0.0093,-0.055,lick
46,48.476,1.572,1.572,0.726,-0.0332,0.9768,-0.055,lick
47,33.86,-14.616,-14.616,0.37,0.4551,0.9584,-0.015,nose_poke
48,46.678,12.818,12.818,-0.956,-0.1305,0.9744,-0.005,move
49,36.594,-10.084,-10.084,0.886,0.3096,0.9724,-0.055,lick
50,30.44,-6.154,-6.154,0.826,0.2338,0.967,-0.055,lick
51,49.934,19.494,19.494,0.205,-0.1987,0.9629,-0.015,nose_poke
52,58.464,8.53,8.53,-0.285,-0.1108,0.9808,-0.005,move
53,61.656,3.192,3.192,0.55,-0.0736,0.9661,-0.055,lick
54,73.892,12.236,12.236,0.081,-0.1048,0.0096,-0.015,nose_poke
55,82.201,8.309,8.309,0.451,-0.0831,0.008,-0.015,nose_poke
56,90.434,8.233,8.233,-0.656,-0.0749,0.0091,-0.005,move
57,78.961,-11.473,-11.473,-0.946,0.27,0.009,-0.005,move
58,64.286,-14.675,-14.675,-0.338,0.4416,0.0092,-0.005,move
59,73.08,8.794,8.794,-0.015,-0.0764,0.007,-0.005,move
60,87.944,14.865,14.865,-0.629,-0.1258,0.0093,-0.005,move
61,79.47,-8.474,-8.474,0.214,0.2111,0.0055,-0.015,nose_poke
62,96.786,17.316,17.316,-0.604,-0.1346,0.0081,-0.005,move
63,111.689,14.903,14.903,0.765,-0.131,0.0062,-0.055,lick
64,120.0,12.294,12.294,-0.869,-0.1144,0.0062,-0.005,move
65,102.679,-17.321,-17.321,0.565,0.4922,0.0011,-0.055,lick
66,83.6,-19.078,-19.078,0.997,0.6498,0.0105,-0.055,lick
67,80.91,-2.691,-2.691,0.78,0.059,0.01,-0.055,lick
68,83.06,2.15,2.15,0.334,-0.0336,0.008,-0.015,nose_poke
69,102.753,19.693,19.693,0.804,-0.1669,0.0094,-0.055,lick
70,85.101,-17.652,-17.652,0.687,0.4961,0.007,-0.055,lick
71,91.835,6.734,6.734,0.689,-0.0912,0.0096,-0.055,lick
72,75.363,-16.471,-16.471,0.027,0.4642,0.0097,-0.015,nose_poke
73,87.646,12.283,12.283,-0.209,-0.0987,0.0081,-0.005,move
74,80.622,-7.024,-7.024,-0.899,0.1413,0.0068,-0.005,move
75,93.736,13.114,13.114,-0.575,-0.1047,0.0077,-0.005,move
76,113.161,19.425,19.425,0.206,-0.158,0.0061,-0.015,nose_poke
77,116.572,3.411,3.411,0.563,-0.0291,0.0069,-0.055,lick
78,112.939,-3.633,-3.633,-0.822,0.0503,0.0086,-0.005,move
79,120.0,15.041,15.041,-0.445,-0.119,0.0078,-0.005,move
80,118.687,-1.313,-1.313,-0.981,0.0089,0.0053,-0.005,move
81,101.851,-16.836,-16.836,0.067,0.4855,0.9896,-0.015,nose_poke
82,107.776,5.925,5.925,-0.078,-0.0603,0.0103,-0.005,move
83,101.865,-5.911,-5.911,0.164,0.1499,0.0099,-0.015,nose_poke
84,118.65,16.785,16.785,-0.508,-0.1313,0.0071,-0.005,move
85,120.0,18.778,18.778,0.442,-0.1255,0.0085,-0.015,nose_poke
86,120.0,19.33,19.33,0.208,-0.1275,0.0128,-0.015,nose_poke
87,120.0,7.417,7.417,-0.294,-0.0367,0.0143,-0.005,move
88,116.331,-3.669,-3.669,-0.163,0.0726,0.9968,-0.005,move
89,120.0,4.17,4.17,-0.96,-0.0281,0.008,-0.005,move
90,114.058,-5.942,-5.942,-0.849,0.1089,0.9935,-0.005,move
91,98.264,-15.794,-15.794,-0.519,0.4584,0.0073,-0.005,move
92,110.026,11.762,11.762,-0.954,-0.0932,0.0099,-0.005,move
93,120.0,17.934,17.934,-0.303,-0.1468,0.0073,-0.005,move
94,120.0,19.23,19.23,0.718,-0.1315,0.0107,-0.055,lick
95,120.0,17.638,17.638,0.437,-0.1161,0.014,-0.015,nose_poke
96,117.24,-2.76,-2.76,0.697,0.0499,0.0101,-0.055,lick
97,99.824,-17.416,-17.416,-0.92,0.4679,0.9887,-0.005,move
98,89.721,-10.103,-10.103,-0.415,0.3122,0.0104,-0.005,move
99,106.505,16.784,16.784,0.968,-0.1481,0.0083,-0.055,lick
100,107.774,1.269,1.269,0.374,0.003,0.0067,-0.015,nose_poke
101,119.302,11.528,11.528,-0.218,-0.095,0.0083,-0.005,move
102,120.0,19.776,19.776,0.175,-0.1314,1.001,-0.015,nose_poke
103,120.0,14.813,14.813,-0.6,-0.0957,0.0156,-0.005,move
104,109.501,-10.499,-10.499,0.966,0.2972,0.0049,-0.055,lick
105,92.532,-16.969,-16.969,0.315,0.5361,0.0096,-0.015,nose_poke
106,73.311,-19.222,-19.222,-0.637,0.5903,0.01,-0.005,move
107,53.393,-19.918,-19.918,-0.291,0.633,0.0088,-0.005,move
108,56.34,2.948,2.948,-0.552,-0.0381,0.9807,-0.005,move
109,44.411,-11.929,-11.929,0.951,0.3924,0.9606,-0.055,lick
110,40.601,-3.81,-3.81,-0.355,0.1156,0.9702,-0.005,move
111,29.111,-11.489,-11.489,0.433,0.375,0.9606,-0.015,nose_poke
112,37.81,8.698,8.698,-0.4,-0.0976,0.9692,-0.005,move
113,43.581,5.772,5.772,-0.713,-0.0809,0.9679,-0.005,move
114,34.717,-8.864,-8.864,0.605,0.2799,0.9637,-0.055,lick
115,17.84,-16.877,-16.877,-0.6,0.5181,0.9657,-0.005,move
116,0.0,-18.018,-18.018,-0.901,0.5618,0.9796,-0.005,move
117,0.0,-8.637,-8.637,-0.328,0.2807,0.9583,-0.005,move
118,0.0,-18.983,-18.983,-0.853,0.5585,0.9614,-0.005,move
119,4.658,4.658,4.658,-0.655,-0.0498,0.9575,-0.005,move
120,13.75,9.092,9.092,-0.669,-0.1087,0.968,-0.005,move
121,7.847,-5.903,-5.903,0.483,0.1808,0.9715,-0.015,nose_poke
122,0.0,-9.072,-9.072,-0.658,0.2647,0.9633,-0.005,move
123,0.0,-15.121,-15.121,0.043,0.475,0.9613,-0.015,nose_poke
124,0.0,-15.478,-15.478,0.369,0.5161,0.9611,-0.015,nose_poke
125,0.0,-17.945,-17.945,-0.941,0.5412,0.9607,-0.005,move
126,5.982,5.982,5.982,0.61,-0.0945,0.9583,-0.055,lick
127,20.044,14.062,14.062,-0.663,-0.1591,0.9692,-0.005,move
128,3.492,-16.552,-16.552,-0.563,0.4581,0.9715,-0.005,move
129,0.0,-8.216,-8.216,-0.225,0.2819,0.979,-0.005,move
130,19.489,19.489,19.489,0.977,-0.1838,0.9616,-0.055,lick
131,32.009,12.52,12.52,0.372,-0.1425,0.9757,-0.015,nose_poke
132,18.668,-13.341,-13.341,-0.035,0.3803,0.9717,-0.005,move
133,16.113,-2.555,-2.555,0.398,0.0876,0.9724,-0.015,nose_poke
134,7.146,-8.967,-8.967,0.752,0.3114,0.96,-0.055,lick
135,24.736,17.59,17.59,-0.865,-0.1802,0.9676,-0.005,move
136,42.279,17.543,17.543,-0.727,-0.1959,0.9747,-0.005,move
137,44.081,1.802,1.802,0.316,-0.0326,0.977,-0.015,nose_poke
138,58.409,14.328,14.328,-0.65,-0.1537,0.9583,-0.005,move
139,44.64,-13.769,-13.769,0.856,0.4179,0.9753,-0.055,lick
140,53.085,8.445,8.445,-0.615,-0.0975,0.9727,-0.005,move
141,42.827,-10.258,-10.258,-0.196,0.2847,0.9663,-0.005,move
142,46.183,3.356,3.356,0.528,-0.0805,0.9674,-0.055,lick
143,54.939,8.757,8.757,-0.814,-0.1074,0.9607,-0.005,move
144,61.28,6.341,6.341,0.77,-0.1095,0.9666,-0.055,lick
145,60.211,-1.069,-1.069,-0.401,-0.009,0.0106,-0.005,move
146,64.78,4.569,4.569,0.76,-0.0794,0.0078,-0.055,lick
147,76.019,11.239,11.239,-0.971,-0.0991,0.0103,-0.005,move
148,91.376,15.356,15.356,-0.952,-0.1368,0.0082,-0.005,move
149,98.073,6.697,6.697,-0.098,-0.0635,0.0053,-0.005,move
150,108.115,10.042,10.042,-0.667,-0.0902,0.0099,-0.005,move
151,108.189,0.075,0.075,-0.118,0.026,0.0079,-0.005,move
152,115.303,7.114,7.114,0.769,-0.091,0.0083,-0.055,lick
153,103.83,-11.473,-11.473,-0.093,0.301,0.0095,-0.005,move
154,99.402,-4.428,-4.428,-0.442,0.107,0.009,-0.005,move
155,81.627,-17.775,-17.775,0.008,0.5334,0.0068,-0.015,nose_poke
156,64.465,-17.162,-17.162,-0.896,0.5157,0.0092,-0.005,move
157,49.599,-14.866,-14.866,-0.579,0.4533,0.0067,-0.005,move
158,46.815,-2.784,-2.784,-0.695,0.0784,0.974,-0.005,move
159,58.974,12.159,12.159,-0.506,-0.1308,0.9603,-0.005,move
160,71.555,12.581,12.581,-0.572,-0.1443,0.9721,-0.005,move
161,75.908,4.354,4.354,0.289,-0.0524,0.008,-0.015,nose_poke
162,58.71,-17.199,-17.199,-0.969,0.4619,0.0105,-0.005,move
163,52.197,-6.513,-6.513,-0.332,0.2279,0.9771,-0.005,move
164,61.649,9.452,9.452,0.973,-0.131,0.9623,-0.055,lick
165,62.578,0.93,0.93,0.375,-0.0178,0.0098,-0.015,nose_poke
166,45.494,-17.085,-17.085,0.234,0.5121,0.0092,-0.015,nose_poke
167,39.184,-6.31,-6.31,0.756,0.2495,0.9777,-0.055,lick
168,37.211,-1.973,-1.973,-0.367,0.0523,0.9623,-0.005,move
169,38.383,1.173,1.173,0.649,-0.0288,0.9594,-0.055,lick
170,52.511,14.128,14.128,-0.158,-0.1526,0.9582,-0.005,move
171,55.747,3.235,3.235,0.357,-0.068,0.9746,-0.015,nose_poke
172,42.042,-13.704,-13.704,0.393,0.4224,0.9607,-0.015,nose_poke
173,40.391,-1.651,-1.651,-0.617,0.0546,0.9727,-0.005,move
174,22.046,-18.345,-18.345,0.308,0.5794,0.9594,-0.015,nose_poke
175,36.191,14.145,14.145,0.984,-0.1672,0.9814,-0.055,lick
176,20.205,-15.986,-15.986,-0.296,0.4487,0.9732,-0.005,move
177,0.233,-19.972,-19.972,0.898,0.6877,0.9777,9.945,lick
178,0.0,-9.212,-9.212,-0.27,0.3084,0.9571,-0.005,move
179,0.0,-4.936,-4.936,-0.787,0.1117,0.9612,-0.005,move
180,0.0,-18.168,-18.168,-0.568,0.5342,0.9643,-0.005,move
181,11.554,11.554,11.554,0.329,-0.1181,0.9581,-0.015,nose_poke
182,4.966,-6.588,-6.588,-0.656,0.1539,0.9707,-0.005,move
183,0.0,-7.839,-7.839,-0.978,0.2069,0.9643,-0.005,move
184,0.0,-5.961,-5.961,-0.322,0.1657,0.9617,-0.005,move
185,8.367,8.367,8.367,-0.025,-0.0905,0.9632,-0.005,move
