Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,74.492,0.252,0.252,-0.224,0.0,0.0,-0.005,move
2,54.492,-20.0,-28.113,-1.698,0.0,0.0,-0.005,move
3,72.391,17.9,17.9,0.254,0.0,0.0,-0.015,nose_poke
4,71.31,-1.082,-1.082,-0.722,0.0,0.0,-0.005,move
5,51.31,-20.0,-44.341,0.307,0.0,0.0,-0.015,nose_poke
6,43.453,-7.857,-7.857,-0.231,0.0,0.0,-0.005,move
7,23.453,-20.0,-23.46,0.235,0.0,0.0,-0.015,nose_poke
8,36.363,12.91,12.91,-1.423,0.0,0.0,-0.005,move
9,17.995,-18.367,-18.367,-0.485,0.0,0.0,-0.005,move
10,25.645,7.649,7.649,-0.732,0.0,0.0,-0.005,move
11,18.641,-7.004,-7.004,-0.422,0.0,0.0,-0.005,move
12,28.428,9.787,9.787,0.154,0.0,0.0,-0.015,nose_poke
13,47.789,19.36,19.36,-1.262,0.0,0.0,-0.005,move
14,27.789,-20.0,-45.283,-0.009,0.0,0.0,-0.005,move
15,27.033,-0.756,-0.756,-1.234,0.0,0.0,-0.005,move
16,16.169,-10.864,-10.864,0.932,0.0,0.0,-0.055,lick
17,5.159,-11.01,-11.01,2.076,0.0,0.0,-0.055,lick
18,0.485,-4.673,-4.673,0.474,0.0,0.0,-0.015,nose_poke
19,18.124,17.639,17.639,0.033,0.0,0.0,-0.015,nose_poke
20,38.124,20.0,22.372,0.253,0.0,0.0,-0.015,nose_poke
21,57.929,19.804,19.804,-0.568,0.0,0.0,-0.005,move
22,41.713,-16.216,-16.216,-1.948,0.0,0.0,-0.005,move
23,40.872,-0.841,-0.841,-1.951,0.0,0.0,-0.005,move
24,48.195,7.323,7.323,0.613,0.0,0.0,-0.055,lick
25,52.654,4.46,4.46,-1.056,0.0,0.0,-0.005,move
26,32.654,-20.0,-23.495,-0.926,0.0,0.0,-0.005,move
27,20.962,-11.692,-11.692,-0.199,0.0,0.0,-0.005,move
28,16.499,-4.463,-4.463,0.912,0.0,0.0,-0.055,lick
29,28.826,12.326,12.326,-1.03,0.0,0.0,-0.005,move
30,8.826,-20.0,-21.425,1.109,0.0,0.0,-0.055,lick
31,0.0,-20.0,-29.459,0.769,0.0,0.0,-0.055,lick
32,0.0,-11.77,-11.77,1.602,0.0,0.0,-0.055,lick
33,0.0,-10.278,-10.278,-1.273,0.0,0.0,-0.005,move
34,0.0,-20.0,-24.473,-0.2,0.0,0.0,-0.005,move
35,0.0,-13.117,-13.117,-0.288,0.0,0.0,-0.005,move
36,0.0,-20.0,-22.063,-0.546,0.0,0.0,-0.005,move
37,0.0,-9.997,-9.997,-2.54,0.0,0.0,-0.005,move
38,20.0,20.0,46.142,-0.508,0.0,0.0,-0.005,move
39,15.615,-4.385,-4.385,0.307,0.0,0.0,-0.015,nose_poke
40,17.402,1.787,1.787,-0.962,0.0,0.0,-0.005,move
41,12.559,-4.843,-4.843,0.114,0.0,0.0,-0.015,nose_poke
42,14.464,1.905,1.905,-0.292,0.0,0.0,-0.005,move
43,0.0,-20.0,-23.241,-1.144,0.0,0.0,-0.005,move
44,2.898,2.898,2.898,-0.013,0.0,0.0,-0.005,move
45,22.898,20.0,35.862,0.998,0.0,0.0,-0.055,lick
46,42.898,20.0,30.153,-0.805,0.0,0.0,-0.005,move
47,31.949,-10.949,-10.949,0.292,0.0,0.0,-0.015,nose_poke
48,49.507,17.558,17.558,-1.865,0.0,0.0,-0.005,move
49,51.922,2.414,2.414,1.359,0.0,0.0,-0.055,lick
50,44.409,-7.512,-7.512,-0.438,0.0,0.0,-0.005,move
51,55.132,10.723,10.723,-1.054,0.0,0.0,-0.005,move
52,40.621,-14.511,-14.511,0.938,0.0,0.0,-0.055,lick
53,46.299,5.678,5.678,-1.513,0.0,0.0,-0.005,move
54,26.299,-20.0,-24.902,-0.414,0.0,0.0,-0.005,move
55,29.073,2.775,2.775,-1.481,0.0,0.0,-0.005,move
56,9.073,-20.0,-24.557,-1.082,0.0,0.0,-0.005,move
57,6.474,-2.6,-2.6,0.952,0.0,0.0,-0.055,lick
58,26.474,20.0,24.456,0.78,0.0,0.0,-0.055,lick
59,6.474,-20.0,-27.288,-0.305,0.0,0.0,-0.005,move
60,4.185,-2.289,-2.289,-1.21,0.0,0.0,-0.005,move
61,0.0,-14.971,-14.971,0.426,0.0,0.0,-0.015,nose_poke
62,0.0,-16.8,-16.8,-1.67,0.0,0.0,-0.005,move
63,0.0,-11.014,-11.014,-0.025,0.0,0.0,-0.005,move
64,0.0,-19.702,-19.702,0.281,0.0,0.0,-0.015,nose_poke
65,0.0,-20.0,-35.608,-0.37,0.0,0.0,-0.005,move
66,0.0,-20.0,-38.756,-2.01,0.0,0.0,-0.005,move
67,20.0,20.0,21.023,-1.151,0.0,0.0,-0.005,move
68,10.86,-9.14,-9.14,-1.602,0.0,0.0,-0.005,move
69,16.345,5.485,5.485,0.156,0.0,0.0,-0.015,nose_poke
70,16.22,-0.125,-0.125,-0.14,0.0,0.0,-0.005,move
71,20.011,3.791,3.791,-0.227,0.0,0.0,-0.005,move
72,15.831,-4.18,-4.18,-0.758,0.0,0.0,-0.005,move
73,16.019,0.189,0.189,-1.106,0.0,0.0,-0.005,move
74,11.669,-4.35,-4.35,-0.554,0.0,0.0,-0.005,move
75,12.894,1.225,1.225,-1.397,0.0,0.0,-0.005,move
76,10.127,-2.767,-2.767,-1.259,0.0,0.0,-0.005,move
77,0.0,-20.0,-23.977,0.243,0.0,0.0,-0.015,nose_poke
78,0.0,-20.0,-21.143,-0.202,0.0,0.0,-0.005,move
79,0.0,-5.193,-5.193,0.033,0.0,0.0,-0.015,nose_poke
80,0.0,-6.06,-6.06,-1.078,0.0,0.0,-0.005,move
81,0.0,-20.0,-35.827,0.075,0.0,0.0,-0.015,nose_poke
82,2.549,2.549,2.549,-1.432,0.0,0.0,-0.005,move
83,0.0,-6.806,-6.806,-1.691,0.0,0.0,-0.005,move
84,0.0,-20.0,-22.179,-1.975,0.0,0.0,-0.005,move
85,0.0,-18.394,-18.394,-1.254,0.0,0.0,-0.005,move
86,0.0,-15.471,-15.471,-2.178,0.0,0.0,-0.005,move
87,0.0,-5.963,-5.963,-0.921,0.0,0.0,-0.005,move
88,0.0,-12.77,-12.77,-2.152,0.0,0.0,-0.005,move
89,0.0,-20.0,-24.731,-2.86,0.0,0.0,-0.005,move
90,0.0,-20.0,-22.084,-2.754,0.0,0.0,-0.005,move
91,0.0,-20.0,-56.447,-0.363,0.0,0.0,-0.005,move
92,0.0,-2.581,-2.581,-0.534,0.0,0.0,-0.005,move
93,0.0,-20.0,-36.252,-0.398,0.0,0.0,-0.005,move
94,0.0,-3.915,-3.915,-0.563,0.0,0.0,-0.005,move
95,7.832,7.832,7.832,-2.48,0.0,0.0,-0.005,move
96,0.0,-13.865,-13.865,-2.211,0.0,0.0,-0.005,move
97,0.0,-15.129,-15.129,0.973,0.0,0.0,-0.055,lick
98,0.0,-1.102,-1.102,-0.839,0.0,0.0,-0.005,move
99,0.0,-16.816,-16.816,-0.288,0.0,0.0,-0.005,move
100,20.0,20.0,28.68,0.325,0.0,0.0,-0.015,nose_poke
101,40.0,20.0,29.627,-0.752,0.0,0.0,-0.005,move
102,21.341,-18.659,-18.659,1.395,0.0,0.0,-0.055,lick
103,7.803,-13.538,-13.538,-0.076,0.0,0.0,-0.005,move
104,1.095,-6.709,-6.709,0.037,0.0,0.0,-0.015,nose_poke
105,0.0,-16.904,-16.904,-0.107,0.0,0.0,-0.005,move
106,0.0,-20.0,-49.07,-2.016,0.0,0.0,-0.005,move
107,0.0,-20.0,-37.986,0.531,0.0,0.0,-0.055,lick
108,20.0,20.0,30.463,-0.046,0.0,0.0,-0.005,move
109,0.0,-20.0,-22.085,-1.255,0.0,0.0,-0.005,move
110,20.0,20.0,20.091,-2.439,0.0,0.0,-0.005,move
111,0.0,-20.0,-26.731,-1.267,0.0,0.0,-0.005,move
112,0.0,-2.471,-2.471,-0.42,0.0,0.0,-0.005,move
113,0.0,-12.52,-12.52,-1.887,0.0,0.0,-0.005,move
114,0.0,-15.563,-15.563,-1.29,0.0,0.0,-0.005,move
115,0.0,-4.436,-4.436,-0.237,0.0,0.0,-0.005,move
116,2.498,2.498,2.498,0.396,0.0,0.0,-0.015,nose_poke
117,9.499,7.001,7.001,-1.28,0.0,0.0,-0.005,move
118,14.272,4.773,4.773,-0.525,0.0,0.0,-0.005,move
119,0.0,-16.595,-16.595,-0.349,0.0,0.0,-0.005,move
120,10.958,10.958,10.958,-0.529,0.0,0.0,-0.005,move
121,0.0,-12.604,-12.604,-2.737,0.0,0.0,-0.005,move
122,0.0,-13.332,-13.332,0.643,0.0,0.0,-0.055,lick
123,0.0,-0.154,-0.154,-0.515,0.0,0.0,-0.005,move
124,20.0,20.0,33.044,0.141,0.0,0.0,-0.015,nose_poke
125,16.082,-3.918,-3.918,0.263,0.0,0.0,-0.015,nose_poke
126,2.564,-13.518,-13.518,0.057,0.0,0.0,-0.015,nose_poke
127,0.0,-20.0,-30.496,-0.644,0.0,0.0,-0.005,move
128,0.0,-20.0,-30.987,-1.731,0.0,0.0,-0.005,move
129,0.0,-7.124,-7.124,-0.53,0.0,0.0,-0.005,move
130,0.0,-2.794,-2.794,0.068,0.0,0.0,-0.015,nose_poke
131,0.0,-13.157,-13.157,0.665,0.0,0.0,-0.055,lick
132,0.0,-20.0,-23.755,-2.241,0.0,0.0,-0.005,move
133,0.0,-20.0,-25.202,-1.439,0.0,0.0,-0.005,move
134,0.0,-20.0,-20.687,0.873,0.0,0.0,-0.055,lick
135,0.0,-14.063,-14.063,-1.528,0.0,0.0,-0.005,move
136,6.385,6.385,6.385,0.239,0.0,0.0,-0.015,nose_poke
137,26.385,20.0,38.205,-0.114,0.0,0.0,-0.005,move
138,29.154,2.77,2.77,-1.614,0.0,0.0,-0.005,move
139,14.367,-14.788,-14.788,0.284,0.0,0.0,-0.015,nose_poke
140,13.384,-0.982,-0.982,0.147,0.0,0.0,-0.015,nose_poke
141,2.456,-10.928,-10.928,0.699,0.0,0.0,-0.055,lick
142,0.0,-20.0,-30.394,-1.896,0.0,0.0,-0.005,move
143,12.45,12.45,12.45,-1.419,0.0,0.0,-0.005,move
144,0.0,-20.0,-23.25,0.713,0.0,0.0,-0.055,lick
145,11.211,11.211,11.211,1.14,0.0,0.0,-0.055,lick
146,12.114,0.903,0.903,-1.925,0.0,0.0,-0.005,move
147,9.042,-3.071,-3.071,-0.645,0.0,0.0,-0.005,move
148,22.614,13.572,13.572,-0.08,0.0,0.0,-0.005,move
149,2.614,-20.0,-29.54,0.207,0.0,0.0,-0.015,nose_poke
150,3.798,1.184,1.184,0.396,0.0,0.0,-0.015,nose_poke
151,20.984,17.186,17.186,-1.253,0.0,0.0,-0.005,move
152,5.118,-15.866,-15.866,-0.829,0.0,0.0,-0.005,move
153,0.0,-9.066,-9.066,0.523,0.0,0.0,-0.055,lick
154,3.2,3.2,3.2,-0.38,0.0,0.0,-0.005,move
155,0.0,-8.592,-8.592,0.326,0.0,0.0,-0.015,nose_poke
156,5.516,5.516,5.516,-0.33,0.0,0.0,-0.005,move
157,0.0,-12.254,-12.254,-0.321,0.0,0.0,-0.005,move
158,0.0,-20.0,-35.522,-0.335,0.0,0.0,-0.005,move
159,0.0,-20.0,-28.758,-0.3,0.0,0.0,-0.005,move
160,0.0,-14.941,-14.941,0.319,0.0,0.0,-0.015,nose_poke
161,9.724,9.724,9.724,-0.484,0.0,0.0,-0.005,move
162,9.112,-0.613,-0.613,-0.221,0.0,0.0,-0.005,move
163,0.0,-20.0,-25.209,-2.203,0.0,0.0,-0.005,move
164,0.0,-14.411,-14.411,-0.961,0.0,0.0,-0.005,move
