Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
94,20.0,20.0,20.0,-1.0,0.6959,0.0,-0.005
95,0.0,-20.0,-20.0,0.369,1.064,0.0,-0.055
96,20.0,20.0,20.0,1.0,0.6195,0.0,-0.055
97,40.0,20.0,20.0,-1.0,0.3398,0.0,-0.005
98,20.0,-20.0,-20.0,-1.0,0.7168,0.0,-0.005
99,40.0,20.0,20.0,-1.0,0.4462,0.0,-0.005
100,20.0,-20.0,-20.0,1.0,0.7817,0.0,-0.055
101,40.0,20.0,20.0,-1.0,0.3115,0.0,-0.005
102,20.0,-20.0,-20.0,-1.0,0.7159,0.0,-0.005
103,40.0,20.0,20.0,-1.0,0.463,0.0,-0.005
104,60.0,20.0,20.0,-1.0,0.3118,0.0,-0.005
105,40.0,-20.0,-20.0,-1.0,0.2946,0.0,-0.005
106,20.0,-20.0,-20.0,-1.0,0.6543,0.0,-0.005
107,40.0,20.0,20.0,-1.0,0.5276,0.0,-0.005
108,29.098,-10.902,-10.902,1.0,0.1668,0.0,-0.055
109,49.098,20.0,20.0,-1.0,0.085,0.0,-0.005
110,69.098,20.0,20.0,-1.0,-0.2114,0.0,-0.005
111,49.098,-20.0,-20.0,1.0,0.4752,0.0,-0.055
112,48.299,-0.799,-0.799,1.0,0.2836,0.0,-0.055
113,28.299,-20.0,-20.0,1.0,0.3845,0.0,-0.055
114,48.299,20.0,20.0,1.0,0.2151,0.0,-0.055
115,68.299,20.0,20.0,1.0,-0.0571,0.0,-0.055
116,48.299,-20.0,-20.0,1.0,0.4584,0.0,-0.055
117,28.299,-20.0,-20.0,1.0,0.5079,0.0,-0.055
118,8.299,-20.0,-20.0,-1.0,1.0519,0.0,-0.005
119,28.299,20.0,20.0,-1.0,0.6195,0.0,-0.005
120,48.299,20.0,20.0,0.218,0.2577,0.0,-0.055
121,28.299,-20.0,-20.0,1.0,0.4918,0.0,-0.055
122,8.299,-20.0,-20.0,1.0,1.0427,0.0,-0.055
123,12.509,4.21,4.21,-1.0,1.1305,0.0,-0.005
124,25.382,12.873,12.873,1.0,0.6511,0.0,-0.055
