Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,59.189,-20.0,-20.0,1.0,74.205,2.0,-0.055,lick
2,39.189,-20.0,-20.0,1.0,74.5219,2.0,-0.055,lick
3,19.189,-20.0,-20.0,1.0,75.3186,2.0,-0.055,lick
4,0.0,-20.0,-20.0,1.0,76.1364,2.0,-0.055,lick
5,20.0,20.0,20.0,1.0,77.1401,2.0,-0.055,lick
6,40.0,20.0,20.0,1.0,79.0819,2.0,-0.055,lick
7,60.0,20.0,20.0,1.0,79.928,2.0,-0.055,lick
8,80.0,20.0,20.0,1.0,80.7773,2.0,-0.055,lick
9,100.0,20.0,20.0,1.0,81.7344,2.0,-0.055,lick
10,120.0,20.0,20.0,1.0,82.6352,2.0,9.945,lick
11,100.0,-20.0,-20.0,1.0,73.1692,2.0,-0.055,lick
12,80.0,-20.0,-20.0,1.0,73.0003,2.0,-0.055,lick
13,60.0,-20.0,-20.0,1.0,73.7319,2.0,-0.055,lick
14,40.0,-20.0,-20.0,1.0,74.4685,2.0,-0.055,lick
15,20.0,-20.0,-20.0,1.0,75.2573,2.0,-0.055,lick
16,0.0,-20.0,-20.0,1.0,76.0077,2.0,-0.055,lick
17,20.0,20.0,20.0,1.0,77.0418,2.0,-0.055,lick
18,40.0,20.0,20.0,1.0,78.982,2.0,-0.055,lick
19,60.0,20.0,20.0,1.0,79.8212,2.0,-0.055,lick
20,80.0,20.0,20.0,1.0,80.6638,2.0,-0.055,lick
21,100.0,20.0,20.0,1.0,81.5093,2.0,-0.055,lick
22,120.0,20.0,20.0,1.0,82.3952,2.0,9.945,lick
23,100.0,-20.0,-20.0,1.0,72.9197,2.0,-0.055,lick
24,80.0,-20.0,-20.0,1.0,72.8457,2.0,-0.055,lick
25,60.0,-20.0,-20.0,1.0,73.5835,2.0,-0.055,lick
26,40.0,-20.0,-20.0,1.0,74.3426,2.0,-0.055,lick
27,20.0,-20.0,-20.0,1.0,75.1453,2.0,-0.055,lick
28,0.0,-20.0,-20.0,1.0,75.9697,2.0,-0.055,lick
29,20.0,20.0,20.0,1.0,76.9949,2.0,-0.055,lick
30,40.0,20.0,20.0,1.0,78.8782,2.0,-0.055,lick
31,60.0,20.0,20.0,1.0,79.6696,2.0,-0.055,lick
32,80.0,20.0,20.0,1.0,80.5012,2.0,-0.055,lick
33,100.0,20.0,20.0,1.0,81.3108,2.0,-0.055,lick
34,120.0,20.0,20.0,1.0,82.1844,2.0,9.945,lick
35,100.0,-20.0,-20.0,1.0,72.6597,2.0,-0.055,lick
36,80.0,-20.0,-20.0,1.0,72.6597,2.0,-0.055,lick
37,60.0,-20.0,-20.0,1.0,73.4113,2.0,-0.055,lick
38,40.0,-20.0,-20.0,1.0,74.3343,2.0,-0.055,lick
39,20.0,-20.0,-20.0,1.0,75.1472,2.0,-0.055,lick
40,0.0,-20.0,-20.0,1.0,75.981,2.0,-0.055,lick
41,20.0,20.0,20.0,1.0,77.0064,2.0,-0.055,lick
42,40.0,20.0,20.0,1.0,78.7031,2.0,-0.055,lick
43,60.0,20.0,20.0,1.0,79.5225,2.0,-0.055,lick
44,80.0,20.0,20.0,1.0,80.3473,2.0,-0.055,lick
45,100.0,20.0,20.0,1.0,81.0969,2.0,-0.055,lick
46,120.0,20.0,20.0,1.0,81.878,2.0,9.945,lick
47,100.0,-20.0,-20.0,1.0,72.3346,2.0,-0.055,lick
48,80.0,-20.0,-20.0,1.0,72.6911,2.0,-0.055,lick
49,60.0,-20.0,-20.0,1.0,73.4558,2.0,-0.055,lick
50,40.0,-20.0,-20.0,1.0,74.434,2.0,-0.055,lick
51,20.0,-20.0,-20.0,1.0,75.3036,2.0,-0.055,lick
52,0.0,-20.0,-20.0,1.0,76.1508,2.0,-0.055,lick
53,20.0,20.0,20.0,1.0,77.1668,2.0,-0.055,lick
54,40.0,20.0,20.0,1.0,78.5394,2.0,-0.055,lick
55,60.0,20.0,20.0,1.0,79.3527,2.0,-0.055,lick
56,80.0,20.0,20.0,1.0,80.0991,2.0,-0.055,lick
57,100.0,20.0,20.0,1.0,80.7826,2.0,-0.055,lick
58,120.0,20.0,20.0,1.0,81.6273,2.0,9.945,lick
59,100.0,-20.0,-20.0,1.0,72.1038,2.0,-0.055,lick
60,80.0,-20.0,-20.0,1.0,72.7481,2.0,-0.055,lick
61,60.0,-20.0,-20.0,1.0,73.5475,2.0,-0.055,lick
62,40.0,-20.0,-20.0,1.0,74.6134,2.0,-0.055,lick
63,20.0,-20.0,-20.0,1.0,75.4534,2.0,-0.055,lick
64,0.0,-20.0,-20.0,1.0,76.3118,2.0,-0.055,lick
65,20.0,20.0,20.0,1.0,77.3351,2.0,-0.055,lick
66,40.0,20.0,20.0,1.0,78.2839,2.0,-0.055,lick
67,60.0,20.0,20.0,1.0,79.0884,2.0,-0.055,lick
68,80.0,20.0,20.0,1.0,79.896,2.0,-0.055,lick
69,100.0,20.0,20.0,1.0,80.5319,2.0,-0.055,lick
70,120.0,20.0,20.0,1.0,81.364,2.0,9.945,lick
71,100.764,-19.236,-19.236,1.0,71.7486,2.0,-0.055,lick
72,80.764,-20.0,-20.0,1.0,72.7729,2.0,-0.055,lick
73,60.764,-20.0,-20.0,1.0,73.6181,2.0,-0.055,lick
74,40.764,-20.0,-20.0,1.0,74.4787,2.0,-0.055,lick
75,20.764,-20.0,-20.0,1.0,75.5838,2.0,-0.055,lick
76,0.764,-20.0,-20.0,1.0,76.547,2.0,-0.055,lick
77,20.764,20.0,20.0,1.0,77.5645,2.0,-0.055,lick
78,40.764,20.0,20.0,1.0,78.1113,2.0,-0.055,lick
79,60.764,20.0,20.0,1.0,78.9121,2.0,-0.055,lick
80,80.764,20.0,20.0,1.0,79.616,2.0,-0.055,lick
81,100.764,20.0,20.0,1.0,80.1969,2.0,-0.055,lick
82,120.0,20.0,20.0,1.0,81.0272,2.0,9.945,lick
83,100.0,-20.0,-20.0,1.0,71.6062,2.0,-0.055,lick
84,80.0,-20.0,-20.0,1.0,72.9521,2.0,-0.055,lick
85,60.0,-20.0,-20.0,1.0,73.7801,2.0,-0.055,lick
86,40.0,-20.0,-20.0,1.0,74.983,2.0,-0.055,lick
87,20.0,-20.0,-20.0,1.0,75.8404,2.0,-0.055,lick
88,0.0,-20.0,-20.0,1.0,76.7144,2.0,-0.055,lick
89,20.0,20.0,20.0,1.0,77.6781,2.0,-0.055,lick
90,40.0,20.0,20.0,1.0,77.9056,2.0,-0.055,lick
91,60.0,20.0,20.0,1.0,78.6205,2.0,-0.055,lick
92,80.0,20.0,20.0,1.0,79.4208,2.0,-0.055,lick
93,100.0,20.0,20.0,1.0,80.044,2.0,-0.055,lick
94,120.0,20.0,20.0,1.0,80.8603,2.0,9.945,lick
95,100.0,-20.0,-20.0,1.0,71.5422,2.0,-0.055,lick
96,80.0,-20.0,-20.0,1.0,73.1192,2.0,-0.055,lick
97,60.0,-20.0,-20.0,1.0,73.9605,2.0,-0.055,lick
98,40.0,-20.0,-20.0,1.0,75.0516,2.0,-0.055,lick
99,20.0,-20.0,-20.0,1.0,75.9091,2.0,-0.055,lick
100,0.0,-20.0,-20.0,1.0,76.783,2.0,-0.055,lick
101,20.0,20.0,20.0,1.0,77.8093,2.0,-0.055,lick
102,40.0,20.0,20.0,1.0,77.8055,2.0,-0.055,lick
103,60.0,20.0,20.0,1.0,78.6122,2.0,-0.055,lick
104,80.0,20.0,20.0,1.0,79.4162,2.0,-0.055,lick
105,100.0,20.0,20.0,1.0,80.0759,2.0,-0.055,lick
106,120.0,20.0,20.0,1.0,80.8799,2.0,9.945,lick
107,100.0,-20.0,-20.0,1.0,71.6317,2.0,-0.055,lick
108,80.0,-20.0,-20.0,1.0,73.308,2.0,-0.055,lick
109,60.0,-20.0,-20.0,1.0,74.1552,2.0,-0.055,lick
110,40.0,-20.0,-20.0,1.0,75.1968,2.0,-0.055,lick
111,20.0,-20.0,-20.0,1.0,76.1291,2.0,-0.055,lick
112,0.0,-20.0,-20.0,1.0,76.9967,2.0,-0.055,lick
113,20.0,20.0,20.0,1.0,77.8768,2.0,-0.055,lick
114,40.0,20.0,20.0,1.0,77.774,2.0,-0.055,lick
115,60.0,20.0,20.0,1.0,78.5874,2.0,-0.055,lick
116,80.0,20.0,20.0,1.0,79.3754,2.0,-0.055,lick
117,100.0,20.0,20.0,1.0,80.1129,2.0,-0.055,lick
118,120.0,20.0,20.0,1.0,80.9417,2.0,9.945,lick
119,100.0,-20.0,-20.0,1.0,71.7436,2.0,-0.055,lick
120,80.0,-20.0,-20.0,1.0,73.4764,2.0,-0.055,lick
121,60.0,-20.0,-20.0,1.0,74.4155,2.0,-0.055,lick
122,40.0,-20.0,-20.0,1.0,75.3542,2.0,-0.055,lick
123,20.0,-20.0,-20.0,1.0,76.1979,2.0,-0.055,lick
124,0.0,-20.0,-20.0,1.0,77.0585,2.0,-0.055,lick
125,20.0,20.0,20.0,1.0,77.8997,2.0,-0.055,lick
126,40.0,20.0,20.0,1.0,77.7728,2.0,-0.055,lick
127,60.0,20.0,20.0,1.0,78.5971,2.0,-0.055,lick
128,80.0,20.0,20.0,1.0,79.4149,2.0,-0.055,lick
129,100.0,20.0,20.0,1.0,80.2136,2.0,-0.055,lick
130,120.0,20.0,20.0,1.0,81.0512,2.0,9.945,lick
131,100.0,-20.0,-20.0,1.0,71.9273,2.0,-0.055,lick
132,80.0,-20.0,-20.0,1.0,73.6274,2.0,-0.055,lick
133,60.0,-20.0,-20.0,1.0,74.4693,2.0,-0.055,lick
134,40.0,-20.0,-20.0,1.0,75.3426,2.0,-0.055,lick
135,20.0,-20.0,-20.0,1.0,76.1791,2.0,-0.055,lick
136,0.0,-20.0,-20.0,1.0,77.0559,2.0,-0.055,lick
137,20.0,20.0,20.0,1.0,77.8642,2.0,-0.055,lick
138,40.0,20.0,20.0,1.0,77.7859,2.0,-0.055,lick
139,60.0,20.0,20.0,1.0,78.6187,2.0,-0.055,lick
140,80.0,20.0,20.0,1.0,79.4435,2.0,-0.055,lick
141,100.0,20.0,20.0,1.0,80.3401,2.0,-0.055,lick
142,120.0,20.0,20.0,1.0,81.1917,2.0,9.945,lick
143,100.0,-20.0,-20.0,1.0,72.1097,2.0,-0.055,lick
144,80.0,-20.0,-20.0,1.0,73.7264,2.0,-0.055,lick
145,60.0,-20.0,-20.0,1.0,74.5612,2.0,-0.055,lick
146,40.0,-20.0,-20.0,1.0,75.3704,2.0,-0.055,lick
147,20.0,-20.0,-20.0,1.0,76.1904,2.0,-0.055,lick
148,0.0,-20.0,-20.0,1.0,77.0293,2.0,-0.055,lick
149,20.0,20.0,20.0,1.0,77.8159,2.0,-0.055,lick
150,40.0,20.0,20.0,1.0,77.8188,2.0,-0.055,lick
151,60.0,20.0,20.0,1.0,78.6702,2.0,-0.055,lick
152,80.0,20.0,20.0,1.0,79.5073,2.0,-0.055,lick
153,100.0,20.0,20.0,1.0,80.4876,2.0,-0.055,lick
154,120.0,20.0,20.0,1.0,81.3511,2.0,9.945,lick
155,100.0,-20.0,-20.0,1.0,72.3171,2.0,-0.055,lick
156,80.0,-20.0,-20.0,1.0,73.8491,2.0,-0.055,lick
157,60.0,-20.0,-20.0,1.0,74.669,2.0,-0.055,lick
