episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
112,995.845,500,331,10,23.4,nan,481.404266,nan
113,995.96,500,308,10,23.2,nan,472.064117,nan
114,895.975,500,305,9,26.0,nan,437.592896,nan
115,895.87,500,326,9,24.11111111111111,nan,403.609161,nan
116,895.885,500,323,9,24.555555555555557,nan,392.181,nan
117,995.905,500,319,10,23.7,nan,493.885223,nan
118,795.875,500,325,8,22.125,nan,369.785187,nan
119,895.895,500,321,9,23.22222222222222,nan,409.223816,nan
120,995.89,500,322,10,20.6,nan,476.741272,nan
121,995.825,500,335,10,21.4,nan,439.317383,nan
122,995.9,500,320,10,20.9,nan,471.279907,nan
123,895.95,500,310,9,22.11111111111111,nan,424.818176,nan
124,895.795,500,341,9,22.555555555555557,nan,391.36676,nan
125,995.76,500,348,10,23.0,nan,478.177368,nan
126,895.885,500,323,9,24.0,nan,408.924438,nan
127,895.855,500,329,9,24.666666666666668,nan,387.549042,nan
128,995.81,500,338,10,22.4,nan,467.163055,nan
129,995.725,500,355,10,21.0,nan,465.77063,nan
130,895.84,500,332,9,22.77777777777778,nan,429.514313,nan
131,895.72,500,356,9,22.666666666666668,nan,399.962677,nan
132,995.785,500,343,10,22.8,nan,469.693695,nan
133,995.61,500,378,10,20.6,nan,451.130463,nan
134,895.77,500,346,9,24.11111111111111,nan,435.150238,nan
135,1095.695,500,361,11,20.181818181818183,nan,508.682495,nan
136,895.775,500,345,9,21.0,nan,424.730194,nan
137,995.725,500,355,10,20.1,nan,461.897583,nan
138,995.64,500,372,10,21.4,nan,450.994019,nan
139,895.595,500,381,9,21.555555555555557,nan,412.086548,nan
140,895.665,500,367,9,21.22222222222222,nan,423.042603,nan
141,895.675,500,365,9,21.444444444444443,nan,432.595886,nan
142,995.69,500,362,10,23.4,nan,461.933929,nan
143,995.58,500,384,10,20.8,nan,459.829803,nan
144,995.73,500,354,10,19.0,nan,436.657593,nan
145,995.53,500,394,10,21.2,nan,457.142059,nan
146,995.65,500,370,10,22.0,nan,456.174072,nan
147,1095.625,500,375,11,21.09090909090909,nan,510.922455,nan
148,895.53,500,394,9,26.444444444444443,nan,398.508606,nan
149,795.67,500,366,8,23.5,nan,362.479614,nan
150,995.595,500,381,10,19.5,nan,444.953094,nan
151,995.615,500,377,10,20.3,nan,477.319061,nan
152,1095.59,500,382,11,20.09090909090909,nan,490.623993,nan
153,895.605,500,379,9,21.666666666666668,nan,404.028656,nan
154,995.575,500,385,10,21.4,nan,468.832245,nan
155,995.585,500,383,10,22.0,nan,470.182434,nan
156,995.59,500,382,10,22.0,nan,465.352112,nan
