episode,total_reward,steps,success,licked_left,licked_right,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
88,-2.6,500,0,0,0,2,0,nan,0.001454,0.313023,nan
89,-2.6,500,0,1,0,2,0,nan,5e-06,0.31788,nan
90,-2.65,500,0,1,0,3,0,nan,3.5e-05,0.314625,nan
91,-2.5,500,0,0,0,0,0,nan,0.001478,0.318417,nan
92,-2.55,500,0,0,0,1,0,nan,0.000722,0.319013,nan
93,-2.6,500,0,0,0,2,0,nan,0.000772,0.321855,nan
94,-2.55,500,0,0,0,1,0,nan,6.8e-05,0.32245,nan
95,-2.6,500,0,0,0,2,0,nan,0.000931,0.32476,nan
96,-2.5,500,0,0,0,0,0,nan,0.000888,0.328703,nan
97,-5.4,500,0,1,0,58,0,nan,0.000947,0.328982,nan
98,-3.35,500,0,1,0,17,0,nan,7.3e-05,0.331822,nan
99,-2.5,500,0,0,0,0,0,nan,0.000949,0.335888,nan
100,-2.55,500,0,0,0,1,0,nan,0.000213,0.339192,nan
101,-2.6,500,0,0,0,2,0,nan,0.000143,0.338604,nan
102,-2.5,500,0,0,0,0,0,nan,0.000108,0.338817,nan
103,-2.5,500,0,0,0,0,0,nan,0.001134,0.342612,nan
104,-6.3,500,0,1,0,76,0,nan,0.001289,0.35262,nan
105,-2.5,500,0,0,0,0,0,nan,6.3e-05,0.349768,nan
106,-2.5,500,0,0,0,0,0,nan,0.00186,0.348795,nan
107,-2.5,500,0,0,0,0,0,nan,0.001237,0.355016,nan
108,-2.55,500,0,0,0,1,0,nan,0.000113,0.352847,nan
109,-2.6,500,0,0,0,2,0,nan,3.2e-05,0.354052,nan
110,-2.5,500,0,0,0,0,0,nan,4e-05,0.355521,nan
111,-2.5,500,0,0,0,0,0,nan,3e-05,0.358024,nan
112,-2.55,500,0,0,0,1,0,nan,8.2e-05,0.359075,nan
113,-2.55,500,0,0,0,1,0,nan,5e-05,0.356737,nan
114,-2.5,500,0,0,0,0,0,nan,3.6e-05,0.359495,nan
115,-2.8,500,0,1,0,6,0,nan,5.8e-05,0.363412,nan
116,-2.8,500,0,1,0,6,0,nan,0.001013,0.360982,nan
117,-2.55,500,0,0,0,1,0,nan,3e-05,0.364304,nan
118,-2.65,500,0,1,0,3,0,nan,1.2e-05,0.36494,nan
119,-2.55,500,0,0,0,1,0,nan,1.1e-05,0.364123,nan
120,-2.5,500,0,0,0,0,0,nan,0.001,0.364452,nan
121,-2.5,500,0,0,0,0,0,nan,0.001039,0.368088,nan
122,-2.55,500,0,0,0,1,0,nan,0.001005,0.366492,nan
123,-2.5,500,0,0,0,0,0,nan,8e-06,0.365989,nan
124,-2.5,500,0,0,0,0,0,nan,0.001347,0.365398,nan
125,-2.55,500,0,0,0,1,0,nan,8e-06,0.370428,nan
126,-2.5,500,0,0,0,0,0,nan,0.001084,0.368124,nan
127,-2.6,500,0,0,0,2,0,nan,0.001005,0.368635,nan
128,-2.6,500,0,0,0,2,0,nan,8e-05,0.371943,nan
129,-4.15,500,0,1,0,33,0,nan,3e-05,0.369163,nan
130,-2.7,500,0,0,0,4,0,nan,0.001376,0.373328,nan
131,-2.55,500,0,0,0,1,0,nan,8e-05,0.370828,nan
132,-2.6,500,0,0,0,2,0,nan,2.5e-05,0.370657,nan
133,-4.15,500,0,1,0,33,0,nan,0.001082,0.374008,nan
134,-5.25,500,0,1,0,55,0,nan,2.2e-05,0.373855,nan
135,-4.7,500,0,1,0,44,0,nan,1.6e-05,0.376635,nan
136,-2.6,500,0,0,0,2,0,nan,2.7e-05,0.378587,nan
137,-3.55,500,0,1,0,21,0,nan,0.001085,0.37626,nan
138,-3.95,500,0,1,0,29,0,nan,0.001369,0.374447,nan
139,-4.9,500,0,1,0,48,0,nan,8.9e-05,0.375617,nan
140,-2.55,500,0,0,0,1,0,nan,1.3e-05,0.380598,nan
141,-2.55,500,0,0,0,1,0,nan,0.00144,0.379672,nan
