episode,total_reward,steps,n_licks,n_successes,intra_trial_duration,critic_loss,actor_loss,alpha
1,-3.82,500,264,0,nan,nan,nan,nan
2,-3.89,500,278,0,nan,0.017464,0.013383,nan
3,-3.455,500,191,0,nan,0.000666,0.07783,nan
4,-2.68,500,36,0,nan,5.4e-05,0.084088,nan
5,-2.525,500,5,0,nan,8.5e-05,0.085944,nan
6,-2.54,500,8,0,nan,7e-06,0.093498,nan
7,-2.53,500,6,0,nan,3.4e-05,0.095702,nan
8,-2.53,500,6,0,nan,2.7e-05,0.098858,nan
9,-2.525,500,5,0,nan,8.9e-05,0.105049,nan
10,-2.505,500,1,0,nan,6.4e-05,0.111267,nan
11,-2.525,500,5,0,nan,6.5e-05,0.115012,nan
12,-2.525,500,5,0,nan,2.1e-05,0.115395,nan
13,-2.54,500,8,0,nan,0.000125,0.123409,nan
14,-2.53,500,6,0,nan,0.000167,0.131381,nan
15,-2.535,500,7,0,nan,1.6e-05,0.134688,nan
16,-2.53,500,6,0,nan,2.7e-05,0.138513,nan
17,-2.565,500,13,0,nan,3.7e-05,0.147106,nan
18,-2.55,500,10,0,nan,3.1e-05,0.149067,nan
19,-2.545,500,9,0,nan,0.000342,0.148516,nan
20,-2.555,500,11,0,nan,2.5e-05,0.159199,nan
21,-2.53,500,6,0,nan,6e-06,0.162406,nan
22,-2.52,500,4,0,nan,0.000215,0.165543,nan
23,-2.55,500,10,0,nan,0.000435,0.167081,nan
24,-2.53,500,6,0,nan,0.000446,0.172755,nan
25,-2.54,500,8,0,nan,0.000469,0.172588,nan
26,-2.58,500,16,0,nan,1e-05,0.18062,nan
27,-2.595,500,19,0,nan,0.000247,0.183079,nan
28,-2.585,500,17,0,nan,0.000267,0.185288,nan
29,-2.545,500,9,0,nan,1.3e-05,0.191796,nan
30,-2.53,500,6,0,nan,1.8e-05,0.192015,nan
31,-2.58,500,16,0,nan,0.000135,0.195856,nan
32,-2.545,500,9,0,nan,4e-06,0.2031,nan
33,-2.57,500,14,0,nan,1.7e-05,0.204273,nan
34,-2.605,500,21,0,nan,0.000392,0.201498,nan
35,-2.575,500,15,0,nan,1.7e-05,0.212733,nan
36,-2.555,500,11,0,nan,6e-06,0.21552,nan
37,-2.59,500,18,0,nan,0.000729,0.215447,nan
38,-2.545,500,9,0,nan,5.1e-05,0.224185,nan
39,-2.595,500,19,0,nan,1.6e-05,0.225649,nan
40,-2.57,500,14,0,nan,5e-06,0.226648,nan
41,-2.575,500,15,0,nan,1.3e-05,0.229899,nan
42,-2.565,500,13,0,nan,8e-06,0.231682,nan
43,-2.58,500,16,0,nan,1.6e-05,0.236973,nan
44,-2.56,500,12,0,nan,2.4e-05,0.236418,nan
45,-2.55,500,10,0,nan,0.000454,0.242126,nan
46,-2.56,500,12,0,nan,0.000453,0.242527,nan
47,-2.56,500,12,0,nan,1.6e-05,0.245247,nan
48,-2.545,500,9,0,nan,1.2e-05,0.250335,nan
49,-2.555,500,11,0,nan,6e-06,0.255839,nan
50,-2.56,500,12,0,nan,1.7e-05,0.252431,nan
51,-2.54,500,8,0,nan,0.000505,0.257628,nan
