Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,74.296,20.0,28.941,0.131,0.0,0.0,-0.015,nose_poke
2,54.296,-20.0,-21.433,1.872,0.0,0.0,-0.055,lick
3,74.296,20.0,23.464,-0.871,0.0,0.0,-0.005,move
4,81.423,7.127,7.127,2.204,0.0,0.0,-0.055,lick
5,101.423,20.0,20.83,1.794,0.0,0.0,-0.055,lick
6,120.0,20.0,35.422,2.478,0.0,0.0,-0.055,lick
7,100.0,-20.0,-28.655,-0.581,0.0,0.0,-0.005,move
8,86.659,-13.341,-13.341,0.799,0.0,0.0,-0.055,lick
9,66.659,-20.0,-29.573,1.912,0.0,0.0,-0.055,lick
10,46.659,-20.0,-21.279,-0.518,0.0,0.0,-0.005,move
11,36.031,-10.629,-10.629,1.213,0.0,0.0,-0.055,lick
12,16.031,-20.0,-32.576,0.049,0.0,0.0,-0.015,nose_poke
13,34.665,18.634,18.634,0.804,0.0,0.0,-0.055,lick
14,18.682,-15.983,-15.983,0.174,0.0,0.0,-0.015,nose_poke
15,0.0,-20.0,-25.799,0.96,0.0,0.0,9.945,lick
16,20.0,20.0,28.63,-0.74,0.0,0.0,-0.005,move
17,40.0,20.0,32.563,-1.455,0.0,0.0,-0.005,move
18,60.0,20.0,24.221,-0.414,0.0,0.0,-0.005,move
19,80.0,20.0,43.575,0.162,0.0,0.0,-0.015,nose_poke
20,100.0,20.0,26.003,1.223,0.0,0.0,-0.055,lick
21,120.0,20.0,34.72,1.449,0.0,0.0,-0.055,lick
22,100.0,-20.0,-21.732,1.706,0.0,0.0,-0.055,lick
23,80.0,-20.0,-28.948,0.987,0.0,0.0,-0.055,lick
24,70.691,-9.309,-9.309,0.22,0.0,0.0,-0.015,nose_poke
25,50.691,-20.0,-23.53,3.466,0.0,0.0,-0.055,lick
26,30.691,-20.0,-22.702,2.851,0.0,0.0,-0.055,lick
27,39.13,8.439,8.439,-0.192,0.0,0.0,-0.005,move
28,51.09,11.961,11.961,0.498,0.0,0.0,-0.015,nose_poke
29,31.09,-20.0,-30.127,-0.475,0.0,0.0,-0.005,move
30,11.09,-20.0,-61.736,2.2,0.0,0.0,-0.055,lick
31,0.0,-20.0,-34.986,0.417,0.0,0.0,-0.015,nose_poke
32,0.0,-20.0,-24.246,1.097,0.0,0.0,9.945,lick
33,1.174,1.174,1.174,-0.669,0.0,0.0,-0.005,move
34,21.174,20.0,37.878,-2.135,0.0,0.0,-0.005,move
35,32.474,11.3,11.3,0.029,0.0,0.0,-0.015,nose_poke
36,47.579,15.105,15.105,-1.258,0.0,0.0,-0.005,move
37,45.994,-1.585,-1.585,-0.711,0.0,0.0,-0.005,move
38,53.515,7.521,7.521,-1.703,0.0,0.0,-0.005,move
39,62.123,8.608,8.608,-1.946,0.0,0.0,-0.005,move
40,80.618,18.494,18.494,1.305,0.0,0.0,-0.055,lick
41,94.01,13.393,13.393,1.994,0.0,0.0,-0.055,lick
42,114.01,20.0,27.977,2.426,0.0,0.0,-0.055,lick
43,120.0,20.0,22.017,0.636,0.0,0.0,-0.055,lick
44,110.694,-9.306,-9.306,0.05,0.0,0.0,-0.015,nose_poke
45,90.694,-20.0,-34.255,0.253,0.0,0.0,-0.015,nose_poke
46,70.694,-20.0,-25.929,0.923,0.0,0.0,-0.055,lick
47,50.694,-20.0,-54.463,0.806,0.0,0.0,-0.055,lick
48,33.014,-17.679,-17.679,2.664,0.0,0.0,-0.055,lick
49,13.014,-20.0,-34.256,0.27,0.0,0.0,-0.015,nose_poke
50,0.0,-20.0,-34.728,0.718,0.0,0.0,9.945,lick
51,3.656,3.656,3.656,0.049,0.0,0.0,-0.015,nose_poke
52,16.089,12.433,12.433,0.19,0.0,0.0,-0.015,nose_poke
53,36.089,20.0,37.235,-1.462,0.0,0.0,-0.005,move
54,41.71,5.621,5.621,0.099,0.0,0.0,-0.015,nose_poke
55,55.944,14.234,14.234,-0.041,0.0,0.0,-0.005,move
56,63.775,7.83,7.83,-0.362,0.0,0.0,-0.005,move
57,59.698,-4.076,-4.076,2.048,0.0,0.0,-0.055,lick
58,79.698,20.0,37.836,-1.277,0.0,0.0,-0.005,move
59,99.698,20.0,24.602,0.38,0.0,0.0,-0.015,nose_poke
60,114.012,14.314,14.314,1.164,0.0,0.0,-0.055,lick
61,120.0,20.0,24.8,0.246,0.0,0.0,-0.015,nose_poke
62,120.0,6.391,6.391,0.716,0.0,0.0,-0.055,lick
63,100.0,-20.0,-27.148,1.796,0.0,0.0,-0.055,lick
64,82.171,-17.829,-17.829,1.853,0.0,0.0,-0.055,lick
65,62.171,-20.0,-25.569,0.04,0.0,0.0,-0.015,nose_poke
66,54.265,-7.907,-7.907,-0.239,0.0,0.0,-0.005,move
67,34.265,-20.0,-44.393,2.219,0.0,0.0,-0.055,lick
68,19.311,-14.954,-14.954,0.033,0.0,0.0,-0.015,nose_poke
69,0.0,-20.0,-29.666,-0.048,0.0,0.0,-0.005,move
70,0.0,-20.0,-22.421,-0.186,0.0,0.0,-0.005,move
71,0.0,-5.158,-5.158,1.286,0.0,0.0,9.945,lick
72,20.0,20.0,21.48,-1.044,0.0,0.0,-0.005,move
73,40.0,20.0,30.108,1.681,0.0,0.0,-0.055,lick
74,52.463,12.463,12.463,0.57,0.0,0.0,-0.055,lick
75,63.457,10.994,10.994,0.189,0.0,0.0,-0.015,nose_poke
76,83.457,20.0,24.966,0.498,0.0,0.0,-0.015,nose_poke
77,103.457,20.0,37.924,0.167,0.0,0.0,-0.015,nose_poke
78,105.623,2.166,2.166,2.244,0.0,0.0,-0.055,lick
79,120.0,20.0,21.062,2.833,0.0,0.0,-0.055,lick
80,100.0,-20.0,-27.596,1.145,0.0,0.0,-0.055,lick
81,80.0,-20.0,-26.332,0.185,0.0,0.0,-0.015,nose_poke
82,60.0,-20.0,-20.935,0.63,0.0,0.0,-0.055,lick
83,40.0,-20.0,-25.013,1.601,0.0,0.0,-0.055,lick
84,28.476,-11.524,-11.524,0.087,0.0,0.0,-0.015,nose_poke
85,44.553,16.077,16.077,1.802,0.0,0.0,-0.055,lick
86,24.553,-20.0,-28.288,0.666,0.0,0.0,-0.055,lick
87,6.423,-18.13,-18.13,1.619,0.0,0.0,-0.055,lick
88,0.0,-12.674,-12.674,1.893,0.0,0.0,9.945,lick
89,20.0,20.0,23.537,-2.302,0.0,0.0,-0.005,move
90,28.85,8.85,8.85,-1.257,0.0,0.0,-0.005,move
91,35.488,6.637,6.637,-1.067,0.0,0.0,-0.005,move
92,55.488,20.0,46.136,-0.151,0.0,0.0,-0.005,move
93,75.488,20.0,45.854,0.681,0.0,0.0,-0.055,lick
94,95.488,20.0,24.569,-0.273,0.0,0.0,-0.005,move
95,112.982,17.494,17.494,0.494,0.0,0.0,-0.015,nose_poke
96,120.0,20.0,34.734,0.735,0.0,0.0,-0.055,lick
97,101.823,-18.177,-18.177,1.607,0.0,0.0,-0.055,lick
98,91.519,-10.304,-10.304,0.75,0.0,0.0,-0.055,lick
99,75.084,-16.435,-16.435,1.919,0.0,0.0,-0.055,lick
100,62.491,-12.593,-12.593,1.072,0.0,0.0,-0.055,lick
101,47.879,-14.612,-14.612,0.12,0.0,0.0,-0.015,nose_poke
102,31.513,-16.367,-16.367,-0.64,0.0,0.0,-0.005,move
103,21.745,-9.767,-9.767,1.33,0.0,0.0,-0.055,lick
104,13.983,-7.762,-7.762,0.377,0.0,0.0,-0.015,nose_poke
105,0.0,-15.072,-15.072,0.545,0.0,0.0,9.945,lick
106,20.0,20.0,39.092,-1.068,0.0,0.0,-0.005,move
107,40.0,20.0,30.251,-2.308,0.0,0.0,-0.005,move
108,60.0,20.0,28.237,-0.011,0.0,0.0,-0.005,move
109,72.38,12.38,12.38,1.02,0.0,0.0,-0.055,lick
110,92.38,20.0,46.496,2.451,0.0,0.0,-0.055,lick
111,104.171,11.791,11.791,0.398,0.0,0.0,-0.015,nose_poke
112,120.0,20.0,34.562,0.334,0.0,0.0,-0.015,nose_poke
113,120.0,20.0,29.962,3.459,0.0,0.0,-0.055,lick
114,103.969,-16.031,-16.031,0.721,0.0,0.0,-0.055,lick
115,106.553,2.585,2.585,1.928,0.0,0.0,-0.055,lick
116,106.389,-0.165,-0.165,0.144,0.0,0.0,-0.015,nose_poke
117,91.998,-14.39,-14.39,2.693,0.0,0.0,-0.055,lick
118,71.998,-20.0,-36.621,2.223,0.0,0.0,-0.055,lick
119,51.998,-20.0,-30.571,3.091,0.0,0.0,-0.055,lick
120,40.736,-11.262,-11.262,1.493,0.0,0.0,-0.055,lick
121,20.736,-20.0,-36.816,1.034,0.0,0.0,-0.055,lick
122,0.736,-20.0,-35.347,0.493,0.0,0.0,-0.015,nose_poke
123,0.0,-9.561,-9.561,1.379,0.0,0.0,9.945,lick
124,20.0,20.0,28.38,-1.293,0.0,0.0,-0.005,move
125,40.0,20.0,50.188,-1.519,0.0,0.0,-0.005,move
126,52.191,12.191,12.191,-0.79,0.0,0.0,-0.005,move
127,57.428,5.236,5.236,-0.27,0.0,0.0,-0.005,move
128,67.412,9.984,9.984,-2.36,0.0,0.0,-0.005,move
129,69.1,1.688,1.688,1.702,0.0,0.0,-0.055,lick
130,89.1,20.0,36.444,1.706,0.0,0.0,-0.055,lick
131,109.1,20.0,27.646,2.628,0.0,0.0,-0.055,lick
132,120.0,16.529,16.529,0.201,0.0,0.0,-0.015,nose_poke
133,120.0,20.0,20.337,0.925,0.0,0.0,-0.055,lick
134,109.646,-10.354,-10.354,1.287,0.0,0.0,-0.055,lick
135,92.44,-17.206,-17.206,1.095,0.0,0.0,-0.055,lick
136,72.44,-20.0,-30.282,1.0,0.0,0.0,-0.055,lick
137,54.113,-18.327,-18.327,-0.214,0.0,0.0,-0.005,move
138,34.113,-20.0,-20.612,0.181,0.0,0.0,-0.015,nose_poke
139,50.185,16.071,16.071,0.162,0.0,0.0,-0.015,nose_poke
140,30.185,-20.0,-26.416,1.138,0.0,0.0,-0.055,lick
141,14.426,-15.758,-15.758,1.141,0.0,0.0,-0.055,lick
142,6.16,-8.266,-8.266,2.377,0.0,0.0,-0.055,lick
143,3.53,-2.63,-2.63,0.001,0.0,0.0,-0.015,nose_poke
144,9.234,5.704,5.704,1.601,0.0,0.0,-0.055,lick
145,0.616,-8.619,-8.619,0.877,0.0,0.0,9.945,lick
146,16.18,15.564,15.564,-1.235,0.0,0.0,-0.005,move
147,36.18,20.0,31.211,-2.166,0.0,0.0,-0.005,move
148,51.919,15.74,15.74,-1.327,0.0,0.0,-0.005,move
149,68.686,16.767,16.767,-0.161,0.0,0.0,-0.005,move
150,88.686,20.0,33.929,0.373,0.0,0.0,-0.015,nose_poke
151,90.611,1.924,1.924,0.72,0.0,0.0,-0.055,lick
152,107.773,17.163,17.163,0.518,0.0,0.0,-0.055,lick
153,115.014,7.241,7.241,1.284,0.0,0.0,-0.055,lick
154,120.0,7.478,7.478,-0.396,0.0,0.0,-0.005,move
155,120.0,6.152,6.152,2.388,0.0,0.0,-0.055,lick
156,107.833,-12.167,-12.167,1.769,0.0,0.0,-0.055,lick
157,94.941,-12.893,-12.893,0.212,0.0,0.0,-0.015,nose_poke
158,77.351,-17.589,-17.589,-0.425,0.0,0.0,-0.005,move
159,75.135,-2.216,-2.216,0.884,0.0,0.0,-0.055,lick
160,55.135,-20.0,-26.353,1.055,0.0,0.0,-0.055,lick
161,35.135,-20.0,-27.203,1.453,0.0,0.0,-0.055,lick
162,36.096,0.96,0.96,0.643,0.0,0.0,-0.055,lick
163,21.972,-14.124,-14.124,1.628,0.0,0.0,-0.055,lick
