Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,60.485,-0.853,-0.853,-0.495,0.0499,0.0,-0.005,move
2,57.661,-2.825,-2.825,-0.125,0.0697,0.0,-0.005,move
3,69.132,11.472,11.472,0.018,-0.2468,0.0,-0.034999999999999996,nose_poke
4,72.016,2.883,2.883,-0.025,-0.1107,0.0,-0.005,move
5,72.647,0.631,0.631,-0.061,-0.037,0.0,-0.005,move
6,72.428,-0.219,-0.219,-0.479,0.0197,0.0,-0.005,move
7,77.62,5.193,5.193,-0.536,-0.1623,0.0,-0.005,move
8,68.531,-9.09,-9.09,-0.116,0.1012,0.0,-0.005,move
9,63.707,-4.824,-4.824,-0.221,0.1327,0.0,-0.005,move
10,62.874,-0.833,-0.833,-0.459,0.0543,0.0,-0.005,move
11,62.117,-0.757,-0.757,-0.121,0.0278,0.0,-0.005,move
12,62.978,0.861,0.861,-0.644,-0.0227,0.0,-0.005,move
13,63.768,0.791,0.791,-0.116,-0.0353,0.0,-0.005,move
14,77.251,13.482,13.482,-0.017,-0.3626,0.0,-0.005,move
15,81.132,3.881,3.881,-0.075,-0.1337,0.0,-0.005,move
16,69.855,-11.277,-11.277,-0.048,0.1217,0.0,-0.005,move
17,68.604,-1.251,-1.251,0.513,-0.0036,0.0,-0.055,lick
18,68.012,-0.592,-0.592,0.082,0.0043,0.0,-0.034999999999999996,nose_poke
19,73.913,5.901,5.901,-0.031,-0.2043,0.0,-0.005,move
20,68.911,-5.001,-5.001,-0.125,0.0566,0.0,-0.005,move
21,70.888,1.977,1.977,-0.303,-0.0807,0.0,-0.005,move
22,79.205,8.317,8.317,-0.465,-0.2367,0.0,-0.005,move
23,77.03,-2.175,-2.175,0.204,-0.0143,0.0,-0.034999999999999996,nose_poke
24,81.368,4.338,4.338,0.429,-0.1912,0.0,-0.034999999999999996,nose_poke
25,73.044,-8.324,-8.324,0.109,0.0644,0.0,-0.034999999999999996,nose_poke
26,72.303,-0.741,-0.741,0.291,0.0008,0.0,-0.034999999999999996,nose_poke
27,67.394,-4.909,-4.909,0.109,0.0558,0.0,-0.034999999999999996,nose_poke
28,51.971,-15.423,-15.423,-0.26,0.2364,0.0,-0.005,move
29,53.694,1.723,1.723,-0.448,-0.0581,0.0,-0.005,move
30,45.997,-7.697,-7.697,0.172,0.0504,0.0,-0.034999999999999996,nose_poke
31,46.129,0.132,0.132,-0.564,0.0098,0.0,-0.005,move
32,30.33,-15.799,-15.799,-0.052,0.1797,0.0,-0.005,move
33,35.299,4.97,4.97,0.196,-0.1618,0.0,-0.034999999999999996,nose_poke
34,36.936,1.637,1.637,-0.225,-0.0481,0.0,-0.005,move
35,33.738,-3.198,-3.198,0.386,-0.0137,0.0,-0.034999999999999996,nose_poke
36,31.269,-2.469,-2.469,0.409,-0.0029,0.0,-0.034999999999999996,nose_poke
37,34.726,3.457,3.457,0.054,-0.1013,0.0,-0.034999999999999996,nose_poke
38,35.015,0.288,0.288,0.302,-0.0064,0.0,-0.034999999999999996,nose_poke
39,33.158,-1.857,-1.857,0.065,0.0172,0.0,-0.034999999999999996,nose_poke
40,34.044,0.886,0.886,0.175,-0.0316,0.0,-0.034999999999999996,nose_poke
41,30.128,-3.916,-3.916,-0.087,0.0507,0.0,-0.005,move
42,28.181,-1.947,-1.947,0.186,0.023,0.0,-0.034999999999999996,nose_poke
43,27.499,-0.682,-0.682,0.104,0.0267,0.0,-0.034999999999999996,nose_poke
44,24.777,-2.722,-2.722,-0.064,0.0412,0.0,-0.005,move
45,23.008,-1.769,-1.769,0.096,0.0284,0.0,-0.034999999999999996,nose_poke
46,31.269,8.261,8.261,-0.611,-0.1699,0.0,-0.005,move
47,32.581,1.312,1.312,0.288,-0.0462,0.0,-0.034999999999999996,nose_poke
48,40.889,8.308,8.308,0.109,-0.1759,0.0,-0.034999999999999996,nose_poke
49,42.922,2.033,2.033,0.027,-0.0667,0.0,-0.034999999999999996,nose_poke
50,55.155,12.233,12.233,0.45,-0.266,0.0,-0.034999999999999996,nose_poke
