Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward,Behaviour
1,73.145,10.614,10.614,-0.811,0.0048,0.0442,-0.005,move
2,88.711,15.565,15.565,-0.56,0.0021,0.0437,-0.005,move
3,90.695,1.984,1.984,0.907,0.0823,0.0447,-0.055,lick
4,103.139,12.444,12.444,0.918,0.0212,0.0615,-0.055,lick
5,99.65,-3.488,-3.488,0.455,-0.0718,0.0568,-0.015,nose_poke
6,80.35,-19.3,-19.3,0.844,-0.2293,0.0655,-0.055,lick
7,66.292,-14.058,-14.058,-0.401,-0.1943,0.0202,-0.005,move
8,80.176,13.884,13.884,0.789,0.0083,0.0276,-0.055,lick
9,60.674,-19.502,-19.502,0.282,-0.1804,0.0424,-0.015,nose_poke
10,45.452,-15.222,-15.222,-0.708,-0.2021,0.0127,-0.005,move
11,32.13,-13.322,-13.322,0.248,-0.1566,0.0144,-0.015,nose_poke
12,49.728,17.597,17.597,0.723,-0.0858,0.0114,-0.055,lick
13,30.91,-18.818,-18.818,-0.302,-0.1279,0.0093,-0.005,move
14,15.85,-15.059,-15.059,-0.925,-0.1601,0.0083,-0.005,move
15,24.132,8.281,8.281,-0.259,-0.0637,0.0072,-0.005,move
16,28.575,4.443,4.443,-0.734,-0.0191,0.0177,-0.005,move
17,41.87,13.295,13.295,0.142,-0.0465,0.0241,-0.015,nose_poke
18,49.016,7.146,7.146,-0.702,-0.016,0.0153,-0.005,move
19,54.349,5.333,5.333,0.47,-0.0239,0.0303,-0.015,nose_poke
20,71.85,17.501,17.501,0.977,-0.0559,0.0343,-0.055,lick
21,82.278,10.428,10.428,-0.492,0.0334,0.0317,-0.005,move
22,69.258,-13.02,-13.02,0.557,-0.1366,0.0489,-0.055,lick
23,73.83,4.572,4.572,0.354,0.0538,0.0312,-0.015,nose_poke
24,72.306,-1.524,-1.524,-0.308,-0.0528,0.05,-0.005,move
