episode,total_reward,steps,success,licked_left,licked_right,n_licks,critic_loss,actor_loss,alpha
111,0.65,20,0,0,1,5,0.000648,nan,nan
112,0.545,21,0,0,1,7,0.000612,-0.683765,nan
113,0.385,23,0,0,1,10,0.000485,nan,nan
114,0.32,26,0,0,1,11,0.00034,nan,nan
115,0.43,24,0,0,1,9,0.000601,nan,nan
116,0.605,19,0,0,1,6,0.000482,-0.680612,nan
117,0.54,22,0,0,1,7,0.000404,-0.698296,nan
118,0.44,22,0,0,1,9,0.000419,-0.692376,nan
119,0.485,23,0,0,1,8,0.000518,nan,nan
120,0.385,23,0,0,1,10,0.003866,-0.692839,nan
121,0.6,20,0,0,1,6,0.000549,-0.682456,nan
122,0.43,24,0,0,1,9,0.000489,-0.667958,nan
123,0.44,22,0,0,1,9,0.003905,-0.675249,nan
124,0.49,22,0,0,1,8,0.000482,-0.680229,nan
125,0.38,24,0,0,1,10,0.004119,-0.686681,nan
126,0.44,22,0,0,1,9,0.000312,-0.714254,nan
127,0.49,22,0,0,1,8,0.000949,-0.704463,nan
128,0.54,22,0,0,1,7,0.000403,-0.690016,nan
129,0.43,24,0,0,1,9,0.003975,-0.698774,nan
130,0.38,24,0,0,1,10,0.000305,-0.717621,nan
131,0.44,22,0,0,1,9,0.000364,-0.691717,nan
132,0.605,19,0,0,1,6,0.000219,nan,nan
133,0.485,23,0,0,1,8,0.000407,-0.662809,nan
134,0.595,21,0,0,1,6,0.00097,nan,nan
135,0.495,21,0,0,1,8,0.000265,-0.704895,nan
136,0.55,20,0,0,1,7,0.003689,-0.691719,nan
137,0.605,19,0,0,1,6,0.004004,nan,nan
138,0.49,22,0,0,1,8,0.000443,nan,nan
139,0.55,20,0,0,1,7,0.003886,nan,nan
140,0.43,24,0,0,1,9,0.000325,nan,nan
141,0.66,18,0,0,1,5,0.0003,nan,nan
142,0.385,23,0,0,1,10,0.000534,-0.695209,nan
143,0.44,22,0,0,1,9,0.000354,-0.698019,nan
144,0.545,21,0,0,1,7,0.00066,nan,nan
145,0.43,24,0,0,1,9,0.004103,nan,nan
146,0.385,23,0,0,1,10,0.000361,-0.724466,nan
147,0.44,22,0,0,1,9,0.00048,-0.687417,nan
148,0.49,22,0,0,1,8,0.006603,-0.690655,nan
149,0.6,20,0,0,1,6,0.00049,-0.716003,nan
150,0.49,22,0,0,1,8,0.000264,-0.710306,nan
151,0.49,22,0,0,1,8,0.003966,-0.708262,nan
152,0.595,21,0,0,1,6,0.000332,nan,nan
153,0.33,24,0,0,1,11,0.000366,nan,nan
154,0.595,21,0,0,1,6,0.003916,-0.686107,nan
155,0.6,20,0,0,1,6,0.000364,-0.701666,nan
156,0.55,20,0,0,1,7,0.004275,-0.6925,nan
157,0.495,21,0,0,1,8,0.004067,nan,nan
158,0.545,21,0,0,1,7,0.000274,-0.67962,nan
159,0.595,21,0,0,1,6,0.004089,nan,nan
160,0.435,23,0,0,1,9,0.00039,-0.700014,nan
161,0.595,21,0,0,1,6,0.000408,nan,nan
162,0.55,20,0,0,1,7,0.000427,nan,nan
163,0.545,21,0,0,1,7,0.00433,-0.715926,nan
164,0.605,19,0,0,1,6,0.000767,nan,nan
165,0.425,25,0,0,1,9,0.004369,-0.699599,nan
166,0.66,18,0,0,1,5,0.000336,-0.701069,nan
167,0.37,26,0,0,1,10,0.000277,-0.692699,nan
168,0.545,21,0,0,1,7,0.00065,nan,nan
169,0.55,20,0,0,1,7,0.000361,nan,nan
170,0.49,22,0,0,1,8,0.007235,nan,nan
171,0.535,23,0,0,1,7,0.000308,-0.707932,nan
172,0.435,23,0,0,1,9,0.000271,nan,nan
173,0.545,21,0,0,1,7,0.004193,-0.722583,nan
174,0.605,19,0,0,1,6,0.000329,nan,nan
175,0.54,22,0,0,1,7,0.000544,nan,nan
176,0.66,18,0,0,1,5,0.000368,nan,nan
177,0.55,20,0,0,1,7,0.00042,nan,nan
178,0.605,19,0,0,1,6,0.007621,-0.728447,nan
179,0.44,22,0,0,1,9,0.004147,-0.723884,nan
180,0.435,23,0,0,1,9,0.003974,nan,nan
181,0.495,21,0,0,1,8,0.000373,-0.727018,nan
182,0.545,21,0,0,1,7,0.000405,nan,nan
183,0.495,21,0,0,1,8,0.000518,-0.737098,nan
184,0.485,23,0,0,1,8,0.00063,nan,nan
185,0.49,22,0,0,1,8,0.004235,nan,nan
186,0.545,21,0,0,1,7,0.004472,-0.720349,nan
187,0.545,21,0,0,1,7,0.000536,nan,nan
188,0.31,28,0,0,1,11,0.000796,nan,nan
189,0.485,23,0,0,1,8,0.000861,-0.728863,nan
190,0.495,21,0,0,1,8,0.000578,nan,nan
191,0.38,24,0,0,1,10,0.000618,nan,nan
192,0.6,20,0,0,1,6,0.004334,nan,nan
193,0.55,20,0,0,1,7,0.000543,nan,nan
194,0.55,20,0,0,1,7,0.000956,nan,nan
195,0.49,22,0,0,1,8,0.004506,nan,nan
196,0.485,23,0,0,1,8,0.000531,-0.71692,nan
197,0.325,25,0,0,1,11,0.000581,nan,nan
198,0.545,21,0,0,1,7,0.004271,-0.734782,nan
199,0.43,24,0,0,1,9,0.000699,-0.72546,nan
200,0.38,24,0,0,1,10,0.004447,-0.72384,nan
201,0.485,23,0,0,1,8,0.000548,nan,nan
202,0.385,23,0,0,1,10,0.003991,-0.736426,nan
203,0.495,21,0,0,1,8,0.000705,nan,nan
204,0.49,22,0,0,1,8,0.004217,nan,nan
205,0.545,21,0,0,1,7,0.000526,-0.737913,nan
206,0.495,21,0,0,1,8,0.00045,nan,nan
207,0.595,21,0,0,1,6,0.003903,-0.73599,nan
208,0.38,24,0,0,1,10,0.00433,-0.732247,nan
209,0.495,21,0,0,1,8,0.000514,nan,nan
210,0.49,22,0,0,1,8,0.000605,nan,nan
211,0.44,22,0,0,1,9,0.000465,nan,nan
212,0.49,22,0,0,1,8,0.000638,nan,nan
213,0.545,21,0,0,1,7,0.004503,-0.740567,nan
214,0.54,22,0,0,1,7,0.00052,-0.733879,nan
215,0.6,20,0,0,1,6,0.004516,-0.728213,nan
216,0.38,24,0,0,1,10,0.000401,-0.735667,nan
217,0.435,23,0,0,1,9,0.000429,nan,nan
218,0.605,19,0,0,1,6,0.003983,-0.729694,nan
219,0.38,24,0,0,1,10,0.004392,-0.740378,nan
220,0.55,20,0,0,1,7,0.000468,-0.746659,nan
221,0.495,21,0,0,1,8,0.004514,nan,nan
222,0.49,22,0,0,1,8,0.000411,nan,nan
223,0.435,23,0,0,1,9,0.000378,-0.761256,nan
224,0.435,23,0,0,1,9,0.000723,nan,nan
225,0.49,22,0,0,1,8,0.000401,nan,nan
226,0.655,19,0,0,1,5,0.000654,-0.73603,nan
227,0.435,23,0,0,1,9,0.000387,nan,nan
228,0.44,22,0,0,1,9,0.00446,nan,nan
229,0.595,21,0,0,1,6,0.000568,-0.75125,nan
230,0.485,23,0,0,1,8,0.004484,nan,nan
231,0.38,24,0,0,1,10,0.000369,nan,nan
232,0.605,19,0,0,1,6,0.00051,-0.732976,nan
233,0.49,22,0,0,1,8,0.000366,-0.733093,nan
234,0.6,20,0,0,1,6,0.000376,-0.754126,nan
235,0.49,22,0,0,1,8,0.000498,-0.733974,nan
236,0.485,23,0,0,1,8,0.000498,nan,nan
237,0.38,24,0,0,1,10,0.000466,nan,nan
238,0.65,20,0,0,1,5,0.004409,nan,nan
239,0.44,22,0,0,1,9,0.00367,nan,nan
240,0.54,22,0,0,1,7,0.000495,nan,nan
241,0.49,22,0,0,1,8,0.000358,nan,nan
242,0.495,21,0,0,1,8,0.000369,-0.745218,nan
243,0.38,24,0,0,1,10,0.000507,-0.735853,nan
244,0.495,21,0,0,1,8,0.000617,nan,nan
245,0.6,20,0,0,1,6,0.004146,nan,nan
246,0.49,22,0,0,1,8,0.000494,nan,nan
247,0.545,21,0,0,1,7,0.004474,-0.721517,nan
248,0.435,23,0,0,1,9,0.000476,nan,nan
